"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","CHI3L2","MAPK4","CHI3L2.MAPK4",0.00316679375732166
"2","CHI3L2","IFNGR2","CHI3L2.IFNGR2",0.00309870050388952
"3","CHI3L2","ISL1","CHI3L2.ISL1",0.00369974443378409
"4","CHI3L2","PHLDA2","CHI3L2.PHLDA2",0.00302928061733865
"5","MPO","ONECUT2","MPO.ONECUT2",0.004229871183738
"6","DLC1","X9.Sep","DLC1.X9.Sep",0.00346474356277562
"7","DLC1","ISL1","DLC1.ISL1",0.00412375110287058
"8","DLC1","LIF","DLC1.LIF",0.00420794507079057
"9","DLC1","RARRES1","DLC1.RARRES1",0.00327230421553243
"10","PENK","NPY","PENK.NPY",0.00321325719360761
"11","PENK","ESR1","PENK.ESR1",0.00398124547184484
"12","PENK","ISL1","PENK.ISL1",0.00321622664367467
"13","PENK","CTLA4","PENK.CTLA4",0.00366102973541484
"14","MAPK4","LAT","MAPK4.LAT",0.00310881618129155
"15","MAPK4","CCND1","MAPK4.CCND1",0.00342809164921274
"16","DNAJC15","CASP8","DNAJC15.CASP8",0.00713529105123996
"17","DNAJC15","EGR4","DNAJC15.EGR4",0.00303833085110261
"18","PADI4","SNRPN","PADI4.SNRPN",0.00300705092972837
"19","PADI4","VAMP8","PADI4.VAMP8",0.00364357473051167
"20","PADI4","AGXT","PADI4.AGXT",0.0033633689949665
"21","CD9","HLA.DRA","CD9.HLA.DRA",0.00298145789525748
"22","CD9","GNMT","CD9.GNMT",0.00424070554835525
"23","X9.Sep","ONECUT2","X9.Sep.ONECUT2",0.00300781869780694
"24","X9.Sep","ISL1","X9.Sep.ISL1",0.00352625932759698
"25","EPO","SEMA3B","EPO.SEMA3B",0.00312421875816117
"26","EPO","CPA4","EPO.CPA4",0.00332173276016437
"27","EPO","LAT","EPO.LAT",0.00319690358502492
"28","EPO","WT1","EPO.WT1",0.00348181767332075
"29","EPO","DSG1","EPO.DSG1",0.00298724289595191
"30","EPO","SOX17","EPO.SOX17",0.0029801097192993
"31","STAT5A","PRSS1","STAT5A.PRSS1",0.0032855873094729
"32","TWIST1","EMR3","TWIST1.EMR3",0.00481980949472063
"33","TWIST1","IL12B","TWIST1.IL12B",0.00303354028077469
"34","EMR3","CTNNA1","EMR3.CTNNA1",0.00316248632622248
"35","SEMA3B","CPA4","SEMA3B.CPA4",0.0030926672178217
"36","SEMA3B","LAT","SEMA3B.LAT",0.00319680882486793
"37","SEMA3B","NPY","SEMA3B.NPY",0.00335591289282505
"38","SEMA3B","ESR1","SEMA3B.ESR1",0.00303108340423419
"39","SEMA3B","LIF","SEMA3B.LIF",0.0029845156884658
"40","SEMA3B","WT1","SEMA3B.WT1",0.00362816541464413
"41","TNFRSF10C","NPY","TNFRSF10C.NPY",0.00332905398822004
"42","TNFRSF10C","SNRPN","TNFRSF10C.SNRPN",0.00322581732556427
"43","TNFRSF10C","VAMP8","TNFRSF10C.VAMP8",0.00348089238240535
"44","TNFRSF10C","FLT4","TNFRSF10C.FLT4",0.00302191265878199
"45","CPA4","NPY","CPA4.NPY",0.00327580896826009
"46","CPA4","ESR1","CPA4.ESR1",0.00302195760223336
"47","CPA4","WT1","CPA4.WT1",0.00345294442644963
"48","LAT","WT1","LAT.WT1",0.00307036860854342
"49","LAT","RUNX3","LAT.RUNX3",0.00299494742661013
"50","ASCL2","MLF1","ASCL2.MLF1",0.00675233402524544
"51","IFNGR2","ATP10A","IFNGR2.ATP10A",0.00411860028081486
"52","IFNGR2","IL1B","IFNGR2.IL1B",0.00311559835707873
"53","PRSS1","CLDN4","PRSS1.CLDN4",0.00298942978884805
"54","NPY","ESR1","NPY.ESR1",0.00348017426793748
"55","NPY","WT1","NPY.WT1",0.00332223119499558
"56","NPY","SOX17","NPY.SOX17",0.00311012607984906
"57","NPY","SFN","NPY.SFN",0.00604103562909163
"58","ESR1","WT1","ESR1.WT1",0.00323268781845119
"59","ESR1","NTSR1","ESR1.NTSR1",0.004079779217128
"60","TP73","EPHB3","TP73.EPHB3",0.00346752647386186
"61","ISL1","LIF","ISL1.LIF",0.00584908178326811
"62","SNRPN","VAMP8","SNRPN.VAMP8",0.00324547464635125
"63","SNRPN","FLT4","SNRPN.FLT4",0.00323803199827583
"64","LIF","APP","LIF.APP",0.00328626706337992
"65","KRT1","IL1B","KRT1.IL1B",0.00309238933053924
"66","KRT1","HS3ST2","KRT1.HS3ST2",0.00449778607537262
"67","KRT1","RIPK2","KRT1.RIPK2",0.00304965121083484
"68","MUC1","PXN","MUC1.PXN",0.00311390517796816
"69","MUC1","CDKN1B","MUC1.CDKN1B",0.00638806464308871
"70","CCND1","MEG3","CCND1.MEG3",0.003086512920285
"71","CCND1","SOX17","CCND1.SOX17",0.00305729652146863
"72","CCND1","SFN","CCND1.SFN",0.00332397816610731
