"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","PI3","MPO","PI3.MPO",0.255729159913101
"2","PI3","STAT5A","PI3.STAT5A",0.255729159913101
"3","PI3","ITK","PI3.ITK",0.255729159913101
"4","PI3","PRSS1","PI3.PRSS1",0.255729159913101
"5","PI3","CD2","PI3.CD2",0.255729159913101
"6","PI3","WNT2","PI3.WNT2",0.255729159913101
"7","PI3","NOTCH3","PI3.NOTCH3",0.255729159913101
"8","PI3","EPHA5","PI3.EPHA5",0.255729159913101
"9","PI3","PRSS8","PI3.PRSS8",0.255729159913101
"10","PI3","FZD9","PI3.FZD9",0.255729159913101
"11","PI3","PLA2G2A","PI3.PLA2G2A",0.255729159913101
"12","PI3","TJP2","PI3.TJP2",0.255729159913101
"13","PI3","DIO3","PI3.DIO3",0.255729159913101
"14","PI3","SOX1","PI3.SOX1",0.255729159913101
"15","PI3","COL18A1","PI3.COL18A1",0.255729159913101
"16","PI3","DES","PI3.DES",0.255729159913101
"17","PI3","SOD3","PI3.SOD3",0.255729159913101
"18","PI3","IGF1","PI3.IGF1",0.255729159913101
"19","PI3","GDF10","PI3.GDF10",0.255729159913101
"20","PI3","FES","PI3.FES",0.255729159913101
"21","PI3","THPO","PI3.THPO",0.255729159913101
"22","PI3","LTA","PI3.LTA",0.255729159913101
"23","PI3","EGR4","PI3.EGR4",0.255729159913101
"24","PI3","CAPG","PI3.CAPG",0.255729159913101
"25","PI3","NCL","PI3.NCL",0.255729159913101
"26","PI3","MMP3","PI3.MMP3",0.255729159913101
"27","PI3","GAS7","PI3.GAS7",0.255729159913101
"28","PI3","HOXB2","PI3.HOXB2",0.255729159913101
"29","PI3","MMP2","PI3.MMP2",0.255729159913101
"30","PI3","DCN","PI3.DCN",0.255729159913101
"31","PI3","CFTR","PI3.CFTR",0.255729159913101
"32","PI3","NPR2","PI3.NPR2",0.255729159913101
"33","PI3","KDR","PI3.KDR",0.255729159913101
"34","PI3","CSF1R","PI3.CSF1R",0.255729159913101
"35","PI3","CCKAR","PI3.CCKAR",0.255729159913101
"36","PI3","TIAM1","PI3.TIAM1",0.255729159913101
"37","PI3","ASCL1","PI3.ASCL1",0.255729159913101
"38","PI3","OGG1","PI3.OGG1",0.255729159913101
"39","PI3","LYN","PI3.LYN",0.255729159913101
"40","PI3","S100A2","PI3.S100A2",0.255729159913101
"41","PI3","TNFRSF1B","PI3.TNFRSF1B",0.255729159913101
"42","PI3","IFNG","PI3.IFNG",0.255729159913101
"43","PI3","B3GALT5","PI3.B3GALT5",0.255729159913101
"44","PI3","MMP19","PI3.MMP19",0.255729159913101
"45","PI3","ALK","PI3.ALK",0.255729159913101
"46","PI3","DBC1","PI3.DBC1",0.255729159913101
"47","PI3","SPDEF","PI3.SPDEF",0.255729159913101
"48","PI3","HBEGF","PI3.HBEGF",0.255729159913101
"49","PI3","EPHA8","PI3.EPHA8",0.255729159913101
"50","PI3","MECP2","PI3.MECP2",0.255729159913101
"51","PI3","SFTPB","PI3.SFTPB",0.255729159913101
"52","PI3","MMP9","PI3.MMP9",0.255729159913101
"53","PI3","HLA.DPB1","PI3.HLA.DPB1",0.255729159913101
"54","PI3","IRAK1","PI3.IRAK1",0.255729159913101
"55","PI3","TRPM5","PI3.TRPM5",0.255729159913101
"56","PI3","CTLA4","PI3.CTLA4",0.255729159913101
"57","PI3","HLA.DQA2","PI3.HLA.DQA2",0.255729159913101
"58","PI3","HLF","PI3.HLF",0.255729159913101
"59","PI3","HCK","PI3.HCK",0.255729159913101
"60","PI3","RIPK4","PI3.RIPK4",0.255729159913101
"61","PI3","MT1A","PI3.MT1A",0.255729159913101
"62","PI3","LMO2","PI3.LMO2",0.255729159913101
"63","PI3","TGFBI","PI3.TGFBI",0.255729159913101
"64","PI3","ALPL","PI3.ALPL",0.255729159913101
"65","PI3","MAS1","PI3.MAS1",0.255729159913101
"66","PI3","CCKBR","PI3.CCKBR",0.255729159913101
"67","PI3","ABO","PI3.ABO",0.255729159913101
"68","PI3","KRT13","PI3.KRT13",0.255729159913101
"69","PI3","HDAC9","PI3.HDAC9",0.255729159913101
"70","PI3","S100A4","PI3.S100A4",0.255729159913101
"71","PI3","TFAP2C","PI3.TFAP2C",0.255729159913101
"72","PI3","LRRC32","PI3.LRRC32",0.255729159913101
"73","PI3","MAPK9","PI3.MAPK9",0.255729159913101
"74","PI3","KIT","PI3.KIT",0.255729159913101
"75","PI3","NKX3.1","PI3.NKX3.1",0.255729159913101
"76","PI3","MOS","PI3.MOS",0.255729159913101
"77","PI3","FLT1","PI3.FLT1",0.255729159913101
"78","PI3","GPC3","PI3.GPC3",0.255729159913101
"79","PI3","NR2F6","PI3.NR2F6",0.255729159913101
"80","PI3","CSF3","PI3.CSF3",0.255729159913101
"81","PI3","PTHLH","PI3.PTHLH",0.255729159913101
"82","PI3","CHGA","PI3.CHGA",0.255729159913101
"83","PI3","BMP3","PI3.BMP3",0.255729159913101
"84","PI3","PODXL","PI3.PODXL",0.255729159913101
"85","PI3","MMP7","PI3.MMP7",0.255729159913101
"86","PI3","GSTM1","PI3.GSTM1",0.255729159913101
"87","PI3","IL6","PI3.IL6",0.255729159913101
"88","PI3","AXL","PI3.AXL",0.255729159913101
"89","PI3","IRF5","PI3.IRF5",0.255729159913101
"90","PI3","EFNB3","PI3.EFNB3",0.255729159913101
"91","PI3","TUSC3","PI3.TUSC3",0.255729159913101
"92","PI3","PTPRH","PI3.PTPRH",0.255729159913101
"93","PI3","PDE1B","PI3.PDE1B",0.255729159913101
"94","PI3","NAT2","PI3.NAT2",0.255729159913101
"95","PI3","PGR","PI3.PGR",0.255729159913101
"96","PI3","F2R","PI3.F2R",0.255729159913101
"97","PI3","TGFB2","PI3.TGFB2",0.255729159913101
"98","PI3","PTK6","PI3.PTK6",0.255729159913101
"99","PI3","IL12B","PI3.IL12B",0.255729159913101
"100","PI3","PAX6","PI3.PAX6",0.255729159913101
"101","PI3","ABCG2","PI3.ABCG2",0.255729159913101
"102","PI3","MYH11","PI3.MYH11",0.255729159913101
"103","PI3","HDAC5","PI3.HDAC5",0.255729159913101
"104","PI3","BMP6","PI3.BMP6",0.255729159913101
"105","PI3","IL10","PI3.IL10",0.255729159913101
