"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","CHI3L2","ISL1","CHI3L2.ISL1",0.268038006769691
"2","CHI3L2","NRG1","CHI3L2.NRG1",0.0599963199560329
"3","IGFBP6","AOC3","IGFBP6.AOC3",0.147902462812656
"4","IGFBP6","DMP1","IGFBP6.DMP1",0.0909690574361005
"5","IGFBP6","ENC1","IGFBP6.ENC1",0.0577528220731239
"6","IGFBP6","BAX","IGFBP6.BAX",0.0648471772405794
"7","DLC1","RARRES1","DLC1.RARRES1",0.124666680836909
"8","PENK","CTLA4","PENK.CTLA4",0.5966188697911
"9","PENK","FLT1","PENK.FLT1",0.0617412782423184
"10","PENK","SPP1","PENK.SPP1",0.0570818612814344
"11","PENK","MAP3K9","PENK.MAP3K9",0.062170782198595
"12","MAPK4","CCND1","MAPK4.CCND1",0.121041266673502
"13","MAPK4","BCAM","MAPK4.BCAM",0.0686151365313431
"14","MAPK4","NKX3.1","MAPK4.NKX3.1",0.0584877046183147
"15","MAPK4","MOS","MAPK4.MOS",0.218508592658128
"16","MAPK4","FER","MAPK4.FER",0.0624659609247811
"17","MAPK4","ZNF215","MAPK4.ZNF215",0.0554691784656543
"18","DNAJC15","EGR4","DNAJC15.EGR4",0.195283884519162
"19","DNAJC15","FLI1","DNAJC15.FLI1",0.100785374827184
"20","DNAJC15","BMP3","DNAJC15.BMP3",0.0688201338851752
"21","PADI4","AGXT","PADI4.AGXT",0.226102886200537
"22","PADI4","NOS3","PADI4.NOS3",0.197779784628152
"23","CD9","ONECUT2","CD9.ONECUT2",0.255729159913101
"24","CD9","PRKCDBP","CD9.PRKCDBP",0.255729159913101
"25","CD9","TNFRSF10C","CD9.TNFRSF10C",0.255729159913101
"26","CD9","HLA.DRA","CD9.HLA.DRA",0.255729159913101
"27","CD9","SNRPN","CD9.SNRPN",0.255729159913101
"28","CD9","VAMP8","CD9.VAMP8",0.255729159913101
"29","CD9","FLT4","CD9.FLT4",0.255729159913101
"30","CD9","IL1B","CD9.IL1B",0.255729159913101
"31","CD9","BLK","CD9.BLK",0.255729159913101
"32","CD9","GALR1","CD9.GALR1",0.255729159913101
"33","CD9","EPHA5","CD9.EPHA5",0.255729159913101
"34","CD9","CYP2E1","CD9.CYP2E1",0.255729159913101
"35","CD9","SFRP1","CD9.SFRP1",0.255729159913101
"36","CD9","TJP2","CD9.TJP2",0.255729159913101
"37","CD9","RIPK3","CD9.RIPK3",0.255729159913101
"38","CD9","KCNK4","CD9.KCNK4",0.255729159913101
"39","CD9","CHFR","CD9.CHFR",0.255729159913101
"40","CD9","LTA","CD9.LTA",0.255729159913101
"41","CD9","NCL","CD9.NCL",0.255729159913101
"42","CD9","MMP14","CD9.MMP14",0.255729159913101
"43","CD9","SERPINB5","CD9.SERPINB5",0.255729159913101
"44","CD9","PYCARD","CD9.PYCARD",0.255729159913101
"45","CD9","DAPK1","CD9.DAPK1",0.255729159913101
"46","CD9","CFTR","CD9.CFTR",0.255729159913101
"47","CD9","PLAT","CD9.PLAT",0.255729159913101
"48","CD9","ACVR1","CD9.ACVR1",0.255729159913101
"49","CD9","CD86","CD9.CD86",0.255729159913101
"50","CD9","OPCML","CD9.OPCML",0.255729159913101
"51","CD9","DCC","CD9.DCC",0.255729159913101
"52","CD9","PMP22","CD9.PMP22",0.255729159913101
"53","CD9","FGF12","CD9.FGF12",0.255729159913101
"54","CD9","NBL1","CD9.NBL1",0.255729159913101
"55","CD9","TIAM1","CD9.TIAM1",0.255729159913101
"56","CD9","PTPRF","CD9.PTPRF",0.255729159913101
"57","CD9","POMC","CD9.POMC",0.255729159913101
"58","CD9","LEFTY2","CD9.LEFTY2",0.255729159913101
"59","CD9","KRT5","CD9.KRT5",0.255729159913101
"60","CD9","DBC1","CD9.DBC1",0.255729159913101
"61","CD9","TFPI2","CD9.TFPI2",0.255729159913101
"62","CD9","SPDEF","CD9.SPDEF",0.255729159913101
"63","CD9","HBEGF","CD9.HBEGF",0.255729159913101
"64","CD9","TGFBR3","CD9.TGFBR3",0.255729159913101
"65","CD9","NES","CD9.NES",0.255729159913101
"66","CD9","SFTPB","CD9.SFTPB",0.255729159913101
"67","CD9","SPI1","CD9.SPI1",0.255729159913101
"68","CD9","FRZB","CD9.FRZB",0.255729159913101
"69","CD9","MT1A","CD9.MT1A",0.255729159913101
"70","CD9","S100A4","CD9.S100A4",0.255729159913101
"71","CD9","KIT","CD9.KIT",0.255729159913101
"72","CD9","GPC3","CD9.GPC3",0.255729159913101
"73","CD9","NR2F6","CD9.NR2F6",0.255729159913101
"74","CD9","PTHLH","CD9.PTHLH",0.255729159913101
"75","CD9","ACTG2","CD9.ACTG2",0.255729159913101
"76","CD9","GABRB3","CD9.GABRB3",0.255729159913101
"77","CD9","RARA","CD9.RARA",0.255729159913101
"78","CD9","PODXL","CD9.PODXL",0.255729159913101
"79","CD9","GSTM1","CD9.GSTM1",0.255729159913101
"80","CD9","PDE1B","CD9.PDE1B",0.255729159913101
"81","CD9","TEK","CD9.TEK",0.255729159913101
"82","CD9","FGFR4","CD9.FGFR4",0.255729159913101
"83","CD9","PTK6","CD9.PTK6",0.255729159913101
"84","CD9","MYH11","CD9.MYH11",0.255729159913101
"85","CD9","TGFB3","CD9.TGFB3",0.255729159913101
"86","CD9","NQO1","CD9.NQO1",0.255729159913101
"87","CD9","GPX1","CD9.GPX1",0.255729159913101
"88","CD9","EPHB1","CD9.EPHB1",0.255729159913101
"89","CD9","ELK3","CD9.ELK3",0.255729159913101
"90","CD9","TNFRSF1A","CD9.TNFRSF1A",0.255729159913101
"91","CD9","GJB2","CD9.GJB2",0.255729159913101
"92","CD9","TNFRSF10D","CD9.TNFRSF10D",0.255729159913101
"93","CD9","PTK2","CD9.PTK2",0.255729159913101
"94","CD9","TGFB1","CD9.TGFB1",0.255729159913101
"95","CD9","HSD17B12","CD9.HSD17B12",0.255729159913101
"96","CD9","PTPN6","CD9.PTPN6",0.255729159913101
"97","CD9","ACVR1C","CD9.ACVR1C",0.255729159913101
"98","CD9","BMPR1A","CD9.BMPR1A",0.255729159913101
"99","CD9","GABRA5","CD9.GABRA5",0.255729159913101
"100","CD9","SHH","CD9.SHH",0.255729159913101
"101","CD9","PLXDC2","CD9.PLXDC2",0.255729159913101
"102","CD9","ABL1","CD9.ABL1",0.255729159913101
"103","CD9","MYB","CD9.MYB",0.255729159913101
"104","CD9","MLLT6","CD9.MLLT6",0.255729159913101
"105","CD9","XRCC1","CD9.XRCC1",0.255729159913101
"106","CD9","HIC1","CD9.HIC1",0.255729159913101
"107","CD9","TES","CD9.TES",0.255729159913101
"108","CD9","LMTK2","CD9.LMTK2",0.255729159913101
"109","CD9","STK11","CD9.STK11",0.255729159913101
"110","CD9","LIG3","CD9.LIG3",0.255729159913101
"111","CD9","FANCA","CD9.FANCA",0.255729159913101
"112","CD9","ELL","CD9.ELL",0.255729159913101
"113","CD9","TGFA","CD9.TGFA",0.255729159913101
"114","CD9","ITGB1","CD9.ITGB1",0.255729159913101
"115","CD9","LAMC1","CD9.LAMC1",0.255729159913101
