"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","CHI3L2","IFNGR2","CHI3L2.IFNGR2",0.178326739258089
"2","PENK","ESR1","PENK.ESR1",0.326152505719594
"3","PENK","ISL1","PENK.ISL1",0.302172770388307
"4","PADI4","VAMP8","PADI4.VAMP8",0.240233083118277
"5","X9.Sep","ISL1","X9.Sep.ISL1",0.158057781218324
"6","SEMA3B","LIF","SEMA3B.LIF",0.194377299571664
"7","SEMA3B","WT1","SEMA3B.WT1",0.138316270872379
"8","TNFRSF10C","NPY","TNFRSF10C.NPY",0.175931963351447
"9","ITK","TP73","ITK.TP73",0.197020050359338
"10","ITK","FLT4","ITK.FLT4",0.163538529487982
"11","NPY","ESR1","NPY.ESR1",0.139728235729404
"12","ESR1","ISL1","ESR1.ISL1",0.199304416309828
"13","KRT1","IL1B","KRT1.IL1B",0.162576301211662
"14","DSG1","KCNQ1","DSG1.KCNQ1",0.233215330583926
"15","DSG1","CASP8","DSG1.CASP8",0.172285291061047
"16","MEG3","CASP8","MEG3.CASP8",0.163876053764853
"17","NOTCH3","IL8","NOTCH3.IL8",0.16747136144226
"18","IL8","SERPINA5","IL8.SERPINA5",0.154603496203177
"19","PLA2G2A","SOD3","PLA2G2A.SOD3",0.13707502684333
"20","ZIM2","FES","ZIM2.FES",0.306170693331256
"21","EDNRB","HS3ST2","EDNRB.HS3ST2",0.150812048033483
"22","HSPA2","SOD3","HSPA2.SOD3",0.149765955126502
"23","HSPA2","GDF10","HSPA2.GDF10",0.164777099843558
"24","SFTPD","ASB4","SFTPD.ASB4",0.133116458378353
"25","SFTPD","GRB7","SFTPD.GRB7",0.25654216541461
"26","DIO3","DES","DIO3.DES",0.266452514588203
"27","DIO3","BDNF","DIO3.BDNF",0.158761413985267
"28","HPN","ASB4","HPN.ASB4",0.144557513013499
"29","HPN","PITX2","HPN.PITX2",0.195103327095158
"30","HPN","CDKN1C","HPN.CDKN1C",0.260908591808425
"31","HPN","SMAD2","HPN.SMAD2",0.213874475049367
"32","SOX1","CCND2","SOX1.CCND2",0.351172702351753
"33","ASB4","PITX2","ASB4.PITX2",0.228001954982311
"34","APOA1","VAV1","APOA1.VAV1",0.19342148583381
"35","AATK","DES","AATK.DES",0.179859354122769
"36","RIPK3","LIG4","RIPK3.LIG4",0.250923016351996
"37","COL18A1","CDKN1C","COL18A1.CDKN1C",0.156155170732091
"38","COL18A1","IGF1","COL18A1.IGF1",0.20673348022916
"39","GRB7","DES","GRB7.DES",0.140654753591515
"40","DES","BDNF","DES.BDNF",0.304291849464604
"41","EYA4","NOTCH4","EYA4.NOTCH4",0.179959610112133
"42","IL18BP","CCND2","IL18BP.CCND2",0.199045490932859
"43","NOTCH4","CCND2","NOTCH4.CCND2",0.152517251674687
"44","THPO","ALOX12","THPO.ALOX12",0.19560055423488
"45","THPO","NTSR1","THPO.NTSR1",0.198294715062472
