"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","CHI3L2","IGFBP6","CHI3L2.IGFBP6",1
"2","CHI3L2","PENK","CHI3L2.PENK",1
"3","CHI3L2","MAPK4","CHI3L2.MAPK4",1
"4","CHI3L2","PADI4","CHI3L2.PADI4",1
"5","CHI3L2","EPO","CHI3L2.EPO",1
"6","CHI3L2","SEMA3B","CHI3L2.SEMA3B",1
"7","CHI3L2","TNFRSF10C","CHI3L2.TNFRSF10C",1
"8","CHI3L2","CPA4","CHI3L2.CPA4",1
"9","CHI3L2","LAT","CHI3L2.LAT",1
"10","CHI3L2","NPY","CHI3L2.NPY",1
"11","CHI3L2","ESR1","CHI3L2.ESR1",1
"12","CHI3L2","SNRPN","CHI3L2.SNRPN",1
"13","CHI3L2","VAMP8","CHI3L2.VAMP8",1
"14","CHI3L2","FLT4","CHI3L2.FLT4",1
"15","CHI3L2","WT1","CHI3L2.WT1",1
"16","CHI3L2","CCND1","CHI3L2.CCND1",1
"17","CHI3L2","CD2","CHI3L2.CD2",1
"18","CHI3L2","MCF2","CHI3L2.MCF2",1
"19","CHI3L2","RUNX3","CHI3L2.RUNX3",1
"20","CHI3L2","DSG1","CHI3L2.DSG1",1
"21","CHI3L2","MEG3","CHI3L2.MEG3",1
"22","CHI3L2","SOX17","CHI3L2.SOX17",1
"23","CHI3L2","BLK","CHI3L2.BLK",1
"24","CHI3L2","WNT2","CHI3L2.WNT2",1
"25","CHI3L2","SLC14A1","CHI3L2.SLC14A1",1
"26","CHI3L2","SFN","CHI3L2.SFN",1
"27","CHI3L2","RASGRF1","CHI3L2.RASGRF1",1
"28","CHI3L2","TNFSF8","CHI3L2.TNFSF8",1
"29","CHI3L2","GALR1","CHI3L2.GALR1",1
"30","CHI3L2","EPHA5","CHI3L2.EPHA5",1
"31","CHI3L2","IL8","CHI3L2.IL8",1
"32","CHI3L2","KCNQ1","CHI3L2.KCNQ1",1
"33","CHI3L2","PHLDA2","CHI3L2.PHLDA2",1
"34","CHI3L2","COL1A2","CHI3L2.COL1A2",1
"35","CHI3L2","PRSS8","CHI3L2.PRSS8",1
"36","CHI3L2","SERPINA5","CHI3L2.SERPINA5",1
"37","CHI3L2","FZD9","CHI3L2.FZD9",1
