"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","CHI3L2","IGFBP6","CHI3L2.IGFBP6",0.0044777294907832
"2","CHI3L2","PI3","CHI3L2.PI3",0.00523278586768009
"3","CHI3L2","PENK","CHI3L2.PENK",0.00526303771291424
"4","CHI3L2","MAPK4","CHI3L2.MAPK4",0.00559177266581694
"5","CHI3L2","DNAJC15","CHI3L2.DNAJC15",0.00499987798958045
"6","CHI3L2","CD9","CHI3L2.CD9",0.00478470205592719
"7","CHI3L2","GFAP","CHI3L2.GFAP",0.00506815390719091
"8","CHI3L2","X9.Sep","CHI3L2.X9.Sep",0.00496747670229851
"9","CHI3L2","CD2","CHI3L2.CD2",0.00469498960407394
"10","IGFBP6","MPO","IGFBP6.MPO",0.00591741195962325
"11","IGFBP6","PENK","IGFBP6.PENK",0.00501497417985978
"12","IGFBP6","MAPK4","IGFBP6.MAPK4",0.005010004795721
"13","IGFBP6","PADI4","IGFBP6.PADI4",0.00504356607526496
"14","IGFBP6","X9.Sep","IGFBP6.X9.Sep",0.00507838518858338
"15","IGFBP6","EPO","IGFBP6.EPO",0.00537948953560879
"16","IGFBP6","STAT5A","IGFBP6.STAT5A",0.00493080200654494
"17","IGFBP6","ONECUT2","IGFBP6.ONECUT2",0.00477181190382605
"18","IGFBP6","LAT","IGFBP6.LAT",0.00459213836602128
"19","PI3","DLC1","PI3.DLC1",0.00541045242593596
"20","PI3","PENK","PI3.PENK",0.00444832768400388
"21","PI3","MAPK4","PI3.MAPK4",0.0044349713769657
"22","PI3","DNAJC15","PI3.DNAJC15",0.00530623012022226
"23","PI3","PADI4","PI3.PADI4",0.00510376381863165
"24","PI3","CD9","PI3.CD9",0.00530841842256843
"25","PI3","GFAP","PI3.GFAP",0.005481741474242
"26","PI3","X9.Sep","PI3.X9.Sep",0.00471805227124823
"27","PI3","STAT5A","PI3.STAT5A",0.00528701603408468
"28","PI3","ABCC2","PI3.ABCC2",0.00465067201485455
"29","PI3","NOTCH3","PI3.NOTCH3",0.00444481454933609
"30","MPO","DLC1","MPO.DLC1",0.00470589669433214
"31","MPO","PENK","MPO.PENK",0.0047589004662085
"32","MPO","MAPK4","MPO.MAPK4",0.0045516941885691
"33","MPO","PADI4","MPO.PADI4",0.00519975776298764
"34","MPO","X9.Sep","MPO.X9.Sep",0.0050769997455452
"35","MPO","EPO","MPO.EPO",0.00508116316417962
"36","MPO","STAT5A","MPO.STAT5A",0.004928321773008
"37","MPO","ONECUT2","MPO.ONECUT2",0.00503927492888242
"38","MPO","GNMT","MPO.GNMT",0.00462669180466366
"39","MPO","H19","MPO.H19",0.00499094664882763
"40","DLC1","PENK","DLC1.PENK",0.0048813534214041
"41","DLC1","MAPK4","DLC1.MAPK4",0.0044272106223659
"42","DLC1","GFAP","DLC1.GFAP",0.00483063454633993
"43","DLC1","X9.Sep","DLC1.X9.Sep",0.00580374249346275
"44","DLC1","EPO","DLC1.EPO",0.00485985645650962
"45","DLC1","STAT5A","DLC1.STAT5A",0.00495115363437527
"46","DLC1","ABCC2","DLC1.ABCC2",0.004564018254359
"47","DLC1","NOTCH3","DLC1.NOTCH3",0.00479775501235102
"48","PENK","MAPK4","PENK.MAPK4",0.0056625814346386
"49","PENK","DNAJC15","PENK.DNAJC15",0.00444412723855243
"50","PENK","CD9","PENK.CD9",0.0045299531307362
"51","PENK","GFAP","PENK.GFAP",0.00489272464433566
"52","PENK","X9.Sep","PENK.X9.Sep",0.00594477597769838
"53","MAPK4","PADI4","MAPK4.PADI4",0.0049510310354412
"54","MAPK4","GFAP","MAPK4.GFAP",0.00483953371465393
"55","MAPK4","X9.Sep","MAPK4.X9.Sep",0.00512435611319738
"56","MAPK4","MEG3","MAPK4.MEG3",0.00449363193089574
"57","DNAJC15","CD9","DNAJC15.CD9",0.00496894468946435
"58","DNAJC15","GFAP","DNAJC15.GFAP",0.00581424919913391
"59","DNAJC15","TNFRSF10C","DNAJC15.TNFRSF10C",0.00475420440064453
"60","DNAJC15","LIF","DNAJC15.LIF",0.00465793938609187
"61","PADI4","X9.Sep","PADI4.X9.Sep",0.00455284000554148
"62","PADI4","EPO","PADI4.EPO",0.00487810210222016
"63","PADI4","STAT5A","PADI4.STAT5A",0.00497627006059698
"64","PADI4","ONECUT2","PADI4.ONECUT2",0.00642390738011261
"65","CD9","GFAP","CD9.GFAP",0.00472630753537377
"66","CD9","STAT5A","CD9.STAT5A",0.00471434829494165
"67","CD9","CD2","CD9.CD2",0.00547716505838748
"68","X9.Sep","EPO","X9.Sep.EPO",0.00508052250187904
"69","X9.Sep","STAT5A","X9.Sep.STAT5A",0.00500209426425958
"70","EPO","STAT5A","EPO.STAT5A",0.00554174036342974
"71","EPO","ISL1","EPO.ISL1",0.0047162364957611
"72","STAT5A","ESR1","STAT5A.ESR1",0.00480913478136265
"73","PRKCDBP","ABCC2","PRKCDBP.ABCC2",0.00457122586067654
"74","PRKCDBP","SLC14A1","PRKCDBP.SLC14A1",0.00448641296577088
"75","PRKCDBP","GALR1","PRKCDBP.GALR1",0.00471652327144033
"76","PRKCDBP","IL8","PRKCDBP.IL8",0.00477247724833508
"77","TWIST1","VAMP8","TWIST1.VAMP8",0.00446696946007311
"78","TWIST1","RASGRF1","TWIST1.RASGRF1",0.00467024573636834
"79","TWIST1","PRSS8","TWIST1.PRSS8",0.00486279636774855
"80","TWIST1","EDNRB","TWIST1.EDNRB",0.00495790825695186
"81","EMR3","TNFRSF10C","EMR3.TNFRSF10C",0.00470704103212193
