"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","CHI3L2","CTLA4","CHI3L2.CTLA4",0.077398785488087
"2","CHI3L2","IL2","CHI3L2.IL2",0.122805313963891
"3","IGFBP6","CTNNA1","IGFBP6.CTNNA1",0.133720306524723
"4","PI3","ABCC2","PI3.ABCC2",0.086807618103035
"5","PENK","OSM","PENK.OSM",0.132740775589098
"6","PENK","NPR2","PENK.NPR2",0.128790727050359
"7","CD9","HDAC9","CD9.HDAC9",0.0793396238901632
"8","CD9","MAPK12","CD9.MAPK12",0.0889848869876406
"9","CD9","F2R","CD9.F2R",0.130260872044453
"10","CD9","MLLT6","CD9.MLLT6",0.143535347940866
"11","CD9","FASTK","CD9.FASTK",0.0832362306040219
"12","CD9","STK11","CD9.STK11",0.144290833138818
"13","CD9","TSG101","CD9.TSG101",0.0933411017285529
"14","GFAP","SLC22A2","GFAP.SLC22A2",0.122140756470113
"15","ONECUT2","RBP1","ONECUT2.RBP1",0.118110332700337
"16","PRKCDBP","PTK7","PRKCDBP.PTK7",0.109166218659146
"17","EMR3","SEMA3B","EMR3.SEMA3B",0.172717570157584
"18","EMR3","ASCL2","EMR3.ASCL2",0.172717570157584
"19","EMR3","TP73","EMR3.TP73",0.172717570157584
"20","EMR3","ATP10A","EMR3.ATP10A",0.172717570157584
"21","EMR3","VAMP8","EMR3.VAMP8",0.172717570157584
"22","EMR3","WT1","EMR3.WT1",0.172717570157584
"23","EMR3","MUC1","EMR3.MUC1",0.172717570157584
"24","EMR3","CCND1","EMR3.CCND1",0.172717570157584
"25","EMR3","RUNX3","EMR3.RUNX3",0.172717570157584
"26","EMR3","MEG3","EMR3.MEG3",0.172717570157584
"27","EMR3","KCNQ1","EMR3.KCNQ1",0.172717570157584
"28","EMR3","PHLDA2","EMR3.PHLDA2",0.172717570157584
"29","EMR3","CYP2E1","EMR3.CYP2E1",0.172717570157584
"30","EMR3","CASP8","EMR3.CASP8",0.172717570157584
"31","EMR3","FZD9","EMR3.FZD9",0.172717570157584
"32","EMR3","ZIM2","EMR3.ZIM2",0.172717570157584
"33","EMR3","HSPA2","EMR3.HSPA2",0.172717570157584
"34","EMR3","APOA1","EMR3.APOA1",0.172717570157584
"35","EMR3","KCNK4","EMR3.KCNK4",0.172717570157584
"36","EMR3","CHFR","EMR3.CHFR",0.172717570157584
"37","EMR3","CDKN1C","EMR3.CDKN1C",0.172717570157584
"38","EMR3","GUCY2F","EMR3.GUCY2F",0.172717570157584
"39","EMR3","MGMT","EMR3.MGMT",0.172717570157584
"40","EMR3","GRB10","EMR3.GRB10",0.172717570157584
"41","EMR3","APOC2","EMR3.APOC2",0.172717570157584
"42","EMR3","MEST","EMR3.MEST",0.172717570157584
