"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","CHI3L2","SPI1","CHI3L2.SPI1",0.0887902538080687
"2","CHI3L2","AGXT","CHI3L2.AGXT",0.0879745805180006
"3","IGFBP6","AR","IGFBP6.AR",0.118289139126257
"4","MPO","GNMT","MPO.GNMT",0.085211078731173
"5","MPO","FES","MPO.FES",0.104451259218611
"6","MPO","PLXDC1","MPO.PLXDC1",0.0780700913427428
"7","MPO","H19","MPO.H19",0.570759042348933
"8","DLC1","ABCC2","DLC1.ABCC2",0.0973850283865171
"9","DLC1","NOTCH3","DLC1.NOTCH3",0.0784690879796671
"10","DLC1","TFAP2C","DLC1.TFAP2C",0.103960069542392
"11","DLC1","ELK1","DLC1.ELK1",0.08198173579844
"12","DLC1","ETV1","DLC1.ETV1",0.140577923665602
"13","DLC1","PSIP1","DLC1.PSIP1",0.0915631662765914
"14","DLC1","MLLT6","DLC1.MLLT6",0.124733153385575
"15","DLC1","GLI3","DLC1.GLI3",0.093848107129771
"16","PENK","MCM6","PENK.MCM6",0.0916446945406024
"17","DNAJC15","PTPRH","DNAJC15.PTPRH",0.101388588709151
"18","DNAJC15","IGFBP3","DNAJC15.IGFBP3",0.0835978666961054
"19","PADI4","CCNA1","PADI4.CCNA1",0.115623899657123
"20","PADI4","MMP8","PADI4.MMP8",0.0905637296660634
"21","CD9","CD2","CD9.CD2",0.172764795339568
"22","CD9","SMAD2","CD9.SMAD2",0.0997986424558669
"23","CD9","KDR","CD9.KDR",0.0967289971970632
"24","CD9","FGFR1","CD9.FGFR1",0.0951486616363667
"25","CD9","PTPN6","CD9.PTPN6",0.0873087153553058
"26","EPO","SOD3","EPO.SOD3",0.130187498903927
"27","EPO","DKC1","EPO.DKC1",0.0808107166900291
"28","EPO","TDG","EPO.TDG",0.0867937741837917
"29","STAT5A","ESR1","STAT5A.ESR1",0.0786521563539294
"30","STAT5A","COL18A1","STAT5A.COL18A1",0.0797060331469689
"31","PRKCDBP","PGF","PRKCDBP.PGF",0.0824954068406426
"32","PRKCDBP","TIMP2","PRKCDBP.TIMP2",0.169157455302558
"33","PRKCDBP","WNT5A","PRKCDBP.WNT5A",0.0805332610331611
"34","TWIST1","PMP22","TWIST1.PMP22",0.0805015338555936
"35","EMR3","MMP7","EMR3.MMP7",0.0760613188674191
"36","EMR3","THBS1","EMR3.THBS1",0.075389063557766
"37","SEMA3B","CSF3R","SEMA3B.CSF3R",0.0969734516509448
"38","SEMA3B","HSD17B12","SEMA3B.HSD17B12",0.0752452017527779
"39","TNFRSF10C","MCM2","TNFRSF10C.MCM2",0.0821636206478188
"40","ASCL2","VAV1","ASCL2.VAV1",0.0964037117056228
"41","ITK","PODXL","ITK.PODXL",0.0947389017147041
"42","HLA.DRA","ALOX12","HLA.DRA.ALOX12",0.398023539137725
"43","HLA.DRA","XRCC2","HLA.DRA.XRCC2",0.488500713563718
"44","HLA.DRA","EPS8","HLA.DRA.EPS8",0.09711877979487
"45","HLA.DRA","KLF5","HLA.DRA.KLF5",0.105409210237257
"46","IFNGR2","ACVR1","IFNGR2.ACVR1",1
"47","IFNGR2","KRT5","IFNGR2.KRT5",1
"48","IFNGR2","TNFRSF10A","IFNGR2.TNFRSF10A",1
"49","IFNGR2","MYCL1","IFNGR2.MYCL1",1
"50","IFNGR2","BMP3","IFNGR2.BMP3",1
"51","IFNGR2","SEMA3F","IFNGR2.SEMA3F",1
"52","IFNGR2","PAX6","IFNGR2.PAX6",1
"53","IFNGR2","MYH11","IFNGR2.MYH11",1
"54","IFNGR2","IL10","IFNGR2.IL10",1
"55","IFNGR2","TNFRSF1A","IFNGR2.TNFRSF1A",1
"56","IFNGR2","ABL1","IFNGR2.ABL1",1
"57","IFNGR2","LRP2","IFNGR2.LRP2",1
"58","IFNGR2","FABP3","IFNGR2.FABP3",1
"59","IFNGR2","APP","IFNGR2.APP",1
"60","IFNGR2","CASP2","IFNGR2.CASP2",1
"61","IFNGR2","SMARCA4","IFNGR2.SMARCA4",1
"62","IFNGR2","CYP1B1","IFNGR2.CYP1B1",1
"63","NPY","MLF1","NPY.MLF1",0.0876826130866678
"64","NPY","EPHB4","NPY.EPHB4",0.105030208136728
"65","NPY","GABRA5","NPY.GABRA5",0.0919712476270627
"66","NPY","ITPR2","NPY.ITPR2",0.0781947695113903
"67","NPY","RAP1A","NPY.RAP1A",0.0901561486078808
"68","ESR1","LIF","ESR1.LIF",0.166637818331115
"69","ESR1","SLC5A5","ESR1.SLC5A5",0.129820712460614
"70","ESR1","AGXT","ESR1.AGXT",0.0931886777737149
"71","TP73","HLF","TP73.HLF",0.0800689644766492
"72","TP73","FLI1","TP73.FLI1",0.0818342801972172
"73","TP73","MLH3","TP73.MLH3",0.0906534625297182
"74","ISL1","SOD3","ISL1.SOD3",0.126454766230575
"75","ISL1","EXT1","ISL1.EXT1",0.0896702875751532
"76","ATP10A","IRAK3","ATP10A.IRAK3",0.09788025634346
"77","ATP10A","SLC22A2","ATP10A.SLC22A2",0.122830576855818
"78","ATP10A","PLXDC2","ATP10A.PLXDC2",0.106643766028852
"79","LIF","SLC5A5","LIF.SLC5A5",0.116089262935888
"80","LIF","AGXT","LIF.AGXT",0.174073120384767
"81","VAMP8","RASGRF1","VAMP8.RASGRF1",0.0785790528354498
"82","VAMP8","LOX","VAMP8.LOX",0.637816530714086
"83","FLT4","KRT1","FLT4.KRT1",0.0765271393959801
"84","FLT4","FGF12","FLT4.FGF12",0.146377925443902
"85","FLT4","KIT","FLT4.KIT",0.0762511293161164
"86","WT1","CDH1","WT1.CDH1",0.095070453637157
"87","WT1","PTGS2","WT1.PTGS2",0.0899902901790147
"88","WT1","SCGB3A1","WT1.SCGB3A1",0.0833611960941594
"89","WT1","VAV2","WT1.VAV2",0.119584971394889
"90","KRT1","FGF12","KRT1.FGF12",0.130077018192823
"91","KRT1","GPX1","KRT1.GPX1",0.0764865809249821
"92","KRT1","FGF5","KRT1.FGF5",0.0775378634463953
"93","MUC1","NTSR1","MUC1.NTSR1",0.090487370584903
"94","MUC1","HHIP","MUC1.HHIP",0.0773035474413897
"95","MUC1","EPHA8","MUC1.EPHA8",0.0904908907362516
"96","MUC1","AXIN1","MUC1.AXIN1",0.140733765495284
"97","MUC1","SHH","MUC1.SHH",0.237926698887843
"98","MUC1","CTNNA1","MUC1.CTNNA1",0.0926660626243693
"99","IL1B","LEFTY2","IL1B.LEFTY2",0.0775571182780223
"100","IL1B","HTR1B","IL1B.HTR1B",0.0805476441084488
"101","CCND1","CASP8","CCND1.CASP8",0.0790420309129048
"102","CCND1","GRB10","CCND1.GRB10",0.0900547974375479
"103","CCND1","PLAT","CCND1.PLAT",0.0827159441962269
"104","CCND1","GNAS","CCND1.GNAS",0.0897228517541731
"105","CCND1","ELK1","CCND1.ELK1",0.106637193535177
"106","CCND1","PTK6","CCND1.PTK6",0.154820267053011
"107","CCND1","DDR1","CCND1.DDR1",0.13004563361407
"108","CD2","SMAD2","CD2.SMAD2",0.0831624521820466
"109","CD2","PTPN6","CD2.PTPN6",0.0853965581521206
"110","CD2","IL12A","CD2.IL12A",0.0759262990124725
"111","RUNX3","CSF1R","RUNX3.CSF1R",0.100430209795087
"112","RUNX3","DIRAS3","RUNX3.DIRAS3",0.086187093696273
"113","RUNX3","NQO1","RUNX3.NQO1",0.0766483966322973
"114","RUNX3","PTPN6","RUNX3.PTPN6",0.0754145406682403
"115","RUNX3","KIAA0125","RUNX3.KIAA0125",0.0812481323687428
"116","RUNX3","MLH3","RUNX3.MLH3",0.0927735823011711
"117","ABCC2","RIPK3","ABCC2.RIPK3",0.135909854656433
"118","ABCC2","TFAP2C","ABCC2.TFAP2C",0.140385379164987
"119","ABCC2","NR2F6","ABCC2.NR2F6",0.233464284826081
"120","ABCC2","PSIP1","ABCC2.PSIP1",0.122800050036683
"121","ABCC2","X5.Sep","ABCC2.X5.Sep",0.0761481801191172
"122","MEG3","MLF1","MEG3.MLF1",0.0806162746569817
"123","MEG3","MYBL2","MEG3.MYBL2",0.109364190449454
"124","MEG3","YES1","MEG3.YES1",0.0904465417951738
"125","MEG3","EXT1","MEG3.EXT1",0.122797183144097
"126","GNMT","OGG1","GNMT.OGG1",0.0792172309195244
"127","GNMT","NDN","GNMT.NDN",0.39319124705283
"128","GNMT","H19","GNMT.H19",0.0991303321185542
"129","GNMT","ALPL","GNMT.ALPL",0.114579008866271
"130","GNMT","OAT","GNMT.OAT",0.0965793164243093
"131","GNMT","PTGS2","GNMT.PTGS2",0.0924106439677898
"132","GNMT","ETV1","GNMT.ETV1",0.0760489318295942
"133","GNMT","MME","GNMT.MME",0.0983528906636877
"134","GNMT","CAV2","GNMT.CAV2",0.0906507883472513
"135","SOX17","PYCARD","SOX17.PYCARD",0.418103430797536
"136","SOX17","S100A4","SOX17.S100A4",0.0777085558465839
"137","BLK","CAV1","BLK.CAV1",0.0891372766484767
"138","BLK","FLI1","BLK.FLI1",0.190920779057937
"139","BLK","TJP1","BLK.TJP1",0.615972588817949
"140","WNT2","ABO","WNT2.ABO",0.104084751098053
"141","WNT2","KIAA1804","WNT2.KIAA1804",0.565717566440211
"142","WNT2","EXT1","WNT2.EXT1",0.105937574698032
"143","NOTCH3","OSM","NOTCH3.OSM",0.0756169886307435
"144","NOTCH3","EYA4","NOTCH3.EYA4",0.0945818640144947
"145","NOTCH3","ETV1","NOTCH3.ETV1",0.0751532834279928
"146","SFN","LAMC1","SFN.LAMC1",0.075113663950272
"147","RASGRF1","IRAK1","RASGRF1.IRAK1",0.0988230171062653
"148","RASGRF1","LOX","RASGRF1.LOX",0.0758241821640276
"149","TNFSF8","SOX1","TNFSF8.SOX1",0.0841840736553286
"150","TNFSF8","CD1A","TNFSF8.CD1A",0.120595566096661
"151","TNFSF8","LCN2","TNFSF8.LCN2",0.0809841166816389
"152","TNFSF8","CTNNB1","TNFSF8.CTNNB1",0.200734539396151
"153","TNFSF8","PARP1","TNFSF8.PARP1",0.0779078523776754
"154","GALR1","SFRP1","GALR1.SFRP1",0.0999884484757031
"155","GALR1","DIO3","GALR1.DIO3",0.103221889867509
"156","GALR1","ASB4","GALR1.ASB4",0.0752346852929222
"157","GALR1","FANCE","GALR1.FANCE",0.0919310510222862
"158","GALR1","DSC2","GALR1.DSC2",0.165835864832523
"159","GALR1","AKT1","GALR1.AKT1",0.102622910257328
"160","KLK10","S100A4","KLK10.S100A4",0.0762371251253022
"161","KLK10","PROM1","KLK10.PROM1",0.10750549927354
"162","KLK10","RUNX1T1","KLK10.RUNX1T1",0.0832994806532395
"163","KLK10","FYN","KLK10.FYN",0.0892917030927097
"164","MYOD1","AHR","MYOD1.AHR",0.609222417058552
"165","MYOD1","MAPK12","MYOD1.MAPK12",0.107625261653942
"166","MYOD1","FER","MYOD1.FER",0.309021541033575
"167","MYOD1","BCL3","MYOD1.BCL3",0.583485273616552
"168","KCNQ1","RARA","KCNQ1.RARA",0.08907083997593
"169","PHLDA2","MMP3","PHLDA2.MMP3",0.0813198860920546
"170","PHLDA2","B3GALT5","PHLDA2.B3GALT5",0.0887984953414632
"171","PHLDA2","PSCA","PHLDA2.PSCA",0.0844898977279827
"172","PHLDA2","MTA1","PHLDA2.MTA1",0.622644732969403
"173","CYP2E1","PDE1B","CYP2E1.PDE1B",0.153710711364187
"174","CYP2E1","CDC25B","CYP2E1.CDC25B",0.172532290331142
"175","COL1A2","PLA2G2A","COL1A2.PLA2G2A",0.0819359381724713
"176","COL1A2","HHIP","COL1A2.HHIP",0.0866588196850861
"177","COL1A2","MT1A","COL1A2.MT1A",0.0952548529421984
"178","COL1A2","APC","COL1A2.APC",0.0843570338077862
"179","COL1A2","IL12B","COL1A2.IL12B",0.109134734934988
"180","COL1A2","CD81","COL1A2.CD81",0.078798347728536
"181","PRSS8","INSR","PRSS8.INSR",0.121735725332379
"182","PRSS8","APOC2","PRSS8.APOC2",0.340765471397499
"183","PRSS8","FGF8","PRSS8.FGF8",0.129463164866242
"184","PRSS8","MCC","PRSS8.MCC",0.084222470730338
"185","PRSS8","VIM","PRSS8.VIM",0.103887210284768
"186","PRSS8","KLF5","PRSS8.KLF5",0.0965520853553472
"187","SERPINA5","CSF3R","SERPINA5.CSF3R",0.12723566048678
"188","SERPINA5","FANCE","SERPINA5.FANCE",0.140626167642505
"189","CASP8","DDR2","CASP8.DDR2",0.099926034478832
"190","CASP8","PTK6","CASP8.PTK6",0.157216369846945
