"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","IGFBP6","MPO","IGFBP6.MPO",0.227735624557418
"2","DLC1","X9.Sep","DLC1.X9.Sep",0.197202531023224
"3","PENK","X9.Sep","PENK.X9.Sep",0.152104107466931
"4","DNAJC15","GFAP","DNAJC15.GFAP",0.165825200441502
"5","PADI4","ONECUT2","PADI4.ONECUT2",0.239451938406554
"6","PRKCDBP","ABCC2","PRKCDBP.ABCC2",0.151930532606431
"7","PRKCDBP","GALR1","PRKCDBP.GALR1",0.501440633061652
"8","PRKCDBP","KCNQ1","PRKCDBP.KCNQ1",0.182912959844225
"9","TWIST1","PRSS8","TWIST1.PRSS8",0.148445094402344
"10","TWIST1","EDNRB","TWIST1.EDNRB",0.148497176045131
"11","EMR3","TNFRSF10C","EMR3.TNFRSF10C",0.157220327364218
"12","SEMA3B","FLT4","SEMA3B.FLT4",0.14531740359021
"13","CPA4","LAT","CPA4.LAT",0.236622308753343
"14","CPA4","HLA.DRA","CPA4.HLA.DRA",0.169274282908246
"15","CPA4","FZD9","CPA4.FZD9",0.213401666732848
"16","LAT","HLA.DRA","LAT.HLA.DRA",0.163149672109274
"17","ASCL2","PRSS1","ASCL2.PRSS1",0.225103748748947
"18","ASCL2","VAMP8","ASCL2.VAMP8",0.210955445865755
"19","ITK","PRSS1","ITK.PRSS1",0.249606604860309
"20","ITK","TP73","ITK.TP73",0.239814840725119
"21","ITK","RUNX3","ITK.RUNX3",0.347085646291565
"22","IFNGR2","WT1","IFNGR2.WT1",0.192199700167288
"23","PRSS1","TP73","PRSS1.TP73",0.293956045696992
"24","PRSS1","RUNX3","PRSS1.RUNX3",0.222294336512341
"25","NPY","DSG1","NPY.DSG1",0.177294637247333
"26","NPY","PLA2G2A","NPY.PLA2G2A",0.168261253452864
"27","ESR1","WT1","ESR1.WT1",0.145313421373731
"28","ESR1","IL1B","ESR1.IL1B",0.243563245296114
"29","ISL1","MUC1","ISL1.MUC1",0.253899154597725
"30","ATP10A","TJP2","ATP10A.TJP2",0.230808826254627
"31","SNRPN","CCND1","SNRPN.CCND1",0.180856468771766
"32","SNRPN","RUNX3","SNRPN.RUNX3",0.204947581210799
"33","LIF","MEG3","LIF.MEG3",0.168593770719833
"34","LIF","GNMT","LIF.GNMT",0.200443867579909
"35","LIF","SFRP1","LIF.SFRP1",0.286903126519679
"36","VAMP8","SERPINA5","VAMP8.SERPINA5",0.213670033444874
"37","VAMP8","FRK","VAMP8.FRK",0.171011216416085
"38","FLT4","IL1B","FLT4.IL1B",0.220648058786274
"39","FLT4","GNMT","FLT4.GNMT",0.174951379999754
"40","WT1","KRT1","WT1.KRT1",0.165074985755175
"41","KRT1","CD2","KRT1.CD2",0.156110771340822
"42","MUC1","GNMT","MUC1.GNMT",0.2488912621637
"43","IL1B","MCF2","IL1B.MCF2",0.201388558923548
"44","IL1B","GNMT","IL1B.GNMT",0.285845876145039
"45","CCND1","RUNX3","CCND1.RUNX3",0.180254936034351
"46","ABCC2","BLK","ABCC2.BLK",0.207069742277194
"47","ABCC2","GALR1","ABCC2.GALR1",0.166656276069445
"48","ABCC2","EPHA5","ABCC2.EPHA5",0.230536415030657
"49","ABCC2","COL1A2","ABCC2.COL1A2",0.161244231690819
"50","DSG1","SFN","DSG1.SFN",0.155282520773947
"51","DSG1","MYOD1","DSG1.MYOD1",0.179752564223903
"52","MEG3","GNMT","MEG3.GNMT",0.160675376577706
"53","MEG3","TNFSF8","MEG3.TNFSF8",0.19559161407347
"54","MEG3","SFRP1","MEG3.SFRP1",0.149413384162559
"55","SOX17","RASGRF1","SOX17.RASGRF1",0.156303653659682
"56","SOX17","KCNQ1","SOX17.KCNQ1",0.249981638718164
"57","SOX17","COL1A2","SOX17.COL1A2",0.191196329468176
"58","BLK","SFN","BLK.SFN",0.153507247713763
"59","BLK","GALR1","BLK.GALR1",0.183236589716169
"60","WNT2","ZIM2","WNT2.ZIM2",0.225649543945694
"61","NOTCH3","PHLDA2","NOTCH3.PHLDA2",0.156505104064205
"62","SFN","TNFSF8","SFN.TNFSF8",0.151479273261693
"63","TNFSF8","ZIM2","TNFSF8.ZIM2",0.234424373797033
"64","GALR1","KCNQ1","GALR1.KCNQ1",0.205063378052975
"65","KLK10","PLA2G2A","KLK10.PLA2G2A",0.226790588217789
"66","EPHA5","FZD9","EPHA5.FZD9",0.144836750794239
"67","PHLDA2","COL1A2","PHLDA2.COL1A2",0.189316812498268
"68","PHLDA2","SFRP1","PHLDA2.SFRP1",0.150516243147717
"69","PHLDA2","PLA2G2A","PHLDA2.PLA2G2A",0.147126095351062
"70","CYP2E1","SERPINA5","CYP2E1.SERPINA5",0.200018638566621
"71","CYP2E1","FRK","CYP2E1.FRK",0.321292494285619
"72","CYP2E1","EDNRB","CYP2E1.EDNRB",0.19044066358897
"73","PRSS8","SERPINA5","PRSS8.SERPINA5",0.191641732668614
"74","PRSS8","FRK","PRSS8.FRK",0.193161024034791
"75","SERPINA5","FRK","SERPINA5.FRK",0.394817697146021
"76","SFRP1","ZIM2","SFRP1.ZIM2",0.169926060370451
"77","FRK","EDNRB","FRK.EDNRB",0.197976071672556
"78","AFF3","PLA2G2A","AFF3.PLA2G2A",0.147909776318828
"79","AFF3","TJP2","AFF3.TJP2",0.185719502935318
"80","EDNRB","TJP2","EDNRB.TJP2",0.152851843622586
