"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","CHI3L2","IGFBP6","CHI3L2.IGFBP6",1
"2","CHI3L2","PI3","CHI3L2.PI3",1
"3","CHI3L2","MPO","CHI3L2.MPO",1
"4","CHI3L2","DLC1","CHI3L2.DLC1",1
"5","CHI3L2","PENK","CHI3L2.PENK",1
"6","CHI3L2","MAPK4","CHI3L2.MAPK4",1
"7","CHI3L2","DNAJC15","CHI3L2.DNAJC15",1
"8","CHI3L2","PADI4","CHI3L2.PADI4",1
"9","CHI3L2","CD9","CHI3L2.CD9",1
"10","CHI3L2","GFAP","CHI3L2.GFAP",1
"11","CHI3L2","X9.Sep","CHI3L2.X9.Sep",1
"12","CHI3L2","EPO","CHI3L2.EPO",1
"13","CHI3L2","STAT5A","CHI3L2.STAT5A",1
"14","CHI3L2","ONECUT2","CHI3L2.ONECUT2",1
"15","CHI3L2","PRKCDBP","CHI3L2.PRKCDBP",1
"16","CHI3L2","TWIST1","CHI3L2.TWIST1",1
"17","CHI3L2","EMR3","CHI3L2.EMR3",1
"18","CHI3L2","SEMA3B","CHI3L2.SEMA3B",1
"19","CHI3L2","TNFRSF10C","CHI3L2.TNFRSF10C",1
"20","CHI3L2","CPA4","CHI3L2.CPA4",1
"21","CHI3L2","LAT","CHI3L2.LAT",1
"22","CHI3L2","ASCL2","CHI3L2.ASCL2",1
"23","CHI3L2","ITK","CHI3L2.ITK",1
"24","CHI3L2","HLA.DRA","CHI3L2.HLA.DRA",1
"25","CHI3L2","NPY","CHI3L2.NPY",1
"26","CHI3L2","ESR1","CHI3L2.ESR1",1
"27","CHI3L2","ISL1","CHI3L2.ISL1",1
"28","CHI3L2","SNRPN","CHI3L2.SNRPN",1
"29","CHI3L2","LIF","CHI3L2.LIF",1
"30","CHI3L2","VAMP8","CHI3L2.VAMP8",1
"31","CHI3L2","FLT4","CHI3L2.FLT4",1
"32","CHI3L2","KRT1","CHI3L2.KRT1",1
"33","CHI3L2","MUC1","CHI3L2.MUC1",1
"34","CHI3L2","IL1B","CHI3L2.IL1B",1
"35","CHI3L2","CD2","CHI3L2.CD2",1
"36","CHI3L2","MCF2","CHI3L2.MCF2",1
"37","CHI3L2","RUNX3","CHI3L2.RUNX3",1
"38","CHI3L2","ABCC2","CHI3L2.ABCC2",1
"39","CHI3L2","DSG1","CHI3L2.DSG1",1
"40","CHI3L2","MEG3","CHI3L2.MEG3",1
"41","CHI3L2","GNMT","CHI3L2.GNMT",1
"42","CHI3L2","SLC14A1","CHI3L2.SLC14A1",1
"43","CHI3L2","NOTCH3","CHI3L2.NOTCH3",1
"44","CHI3L2","RASGRF1","CHI3L2.RASGRF1",1
"45","CHI3L2","TNFSF8","CHI3L2.TNFSF8",1
"46","CHI3L2","MYOD1","CHI3L2.MYOD1",1
"47","CHI3L2","IL8","CHI3L2.IL8",1
"48","CHI3L2","PHLDA2","CHI3L2.PHLDA2",1
"49","CHI3L2","PRSS8","CHI3L2.PRSS8",1
"50","CHI3L2","FZD9","CHI3L2.FZD9",1
"51","CHI3L2","SFRP1","CHI3L2.SFRP1",1
"52","CHI3L2","ZIM2","CHI3L2.ZIM2",1
"53","CHI3L2","EDNRB","CHI3L2.EDNRB",1
"54","CHI3L2","TJP2","CHI3L2.TJP2",1
"55","CHI3L2","TFF2","CHI3L2.TFF2",1
"56","CHI3L2","DIO3","CHI3L2.DIO3",1
"57","CHI3L2","KCNK4","CHI3L2.KCNK4",1
"58","CHI3L2","SLC22A18","CHI3L2.SLC22A18",1
"59","CHI3L2","ST6GAL1","CHI3L2.ST6GAL1",1
"60","IGFBP6","PI3","IGFBP6.PI3",1
"61","IGFBP6","MPO","IGFBP6.MPO",1
"62","IGFBP6","DLC1","IGFBP6.DLC1",1
"63","IGFBP6","PENK","IGFBP6.PENK",1
"64","IGFBP6","MAPK4","IGFBP6.MAPK4",1
"65","IGFBP6","DNAJC15","IGFBP6.DNAJC15",1
"66","IGFBP6","PADI4","IGFBP6.PADI4",1
"67","IGFBP6","CD9","IGFBP6.CD9",1
"68","IGFBP6","GFAP","IGFBP6.GFAP",1
"69","IGFBP6","X9.Sep","IGFBP6.X9.Sep",1
"70","IGFBP6","EPO","IGFBP6.EPO",1
"71","IGFBP6","STAT5A","IGFBP6.STAT5A",1
"72","IGFBP6","ONECUT2","IGFBP6.ONECUT2",1
"73","IGFBP6","PRKCDBP","IGFBP6.PRKCDBP",1
"74","IGFBP6","TWIST1","IGFBP6.TWIST1",1
"75","IGFBP6","EMR3","IGFBP6.EMR3",1
"76","IGFBP6","SEMA3B","IGFBP6.SEMA3B",1
"77","IGFBP6","TNFRSF10C","IGFBP6.TNFRSF10C",1
"78","IGFBP6","CPA4","IGFBP6.CPA4",1
"79","IGFBP6","LAT","IGFBP6.LAT",1
"80","IGFBP6","ASCL2","IGFBP6.ASCL2",1
"81","IGFBP6","ITK","IGFBP6.ITK",1
"82","IGFBP6","HLA.DRA","IGFBP6.HLA.DRA",1
"83","IGFBP6","NPY","IGFBP6.NPY",1
"84","IGFBP6","ESR1","IGFBP6.ESR1",1
"85","IGFBP6","ISL1","IGFBP6.ISL1",1
"86","IGFBP6","SNRPN","IGFBP6.SNRPN",1
"87","IGFBP6","LIF","IGFBP6.LIF",1
"88","IGFBP6","VAMP8","IGFBP6.VAMP8",1
"89","IGFBP6","FLT4","IGFBP6.FLT4",1
"90","IGFBP6","KRT1","IGFBP6.KRT1",1
"91","IGFBP6","MUC1","IGFBP6.MUC1",1
"92","IGFBP6","IL1B","IGFBP6.IL1B",1
"93","IGFBP6","CD2","IGFBP6.CD2",1
"94","IGFBP6","MCF2","IGFBP6.MCF2",1
"95","IGFBP6","RUNX3","IGFBP6.RUNX3",1
"96","IGFBP6","ABCC2","IGFBP6.ABCC2",1
"97","IGFBP6","DSG1","IGFBP6.DSG1",1
"98","IGFBP6","MEG3","IGFBP6.MEG3",1
"99","IGFBP6","GNMT","IGFBP6.GNMT",1
"100","IGFBP6","SLC14A1","IGFBP6.SLC14A1",1
"101","IGFBP6","NOTCH3","IGFBP6.NOTCH3",1
"102","IGFBP6","RASGRF1","IGFBP6.RASGRF1",1
"103","IGFBP6","TNFSF8","IGFBP6.TNFSF8",1
"104","IGFBP6","MYOD1","IGFBP6.MYOD1",1
"105","IGFBP6","IL8","IGFBP6.IL8",1
"106","IGFBP6","PHLDA2","IGFBP6.PHLDA2",1
"107","IGFBP6","PRSS8","IGFBP6.PRSS8",1
"108","IGFBP6","FZD9","IGFBP6.FZD9",1
"109","IGFBP6","SFRP1","IGFBP6.SFRP1",1
"110","IGFBP6","ZIM2","IGFBP6.ZIM2",1
"111","IGFBP6","EDNRB","IGFBP6.EDNRB",1
"112","IGFBP6","TJP2","IGFBP6.TJP2",1
"113","IGFBP6","TFF2","IGFBP6.TFF2",1
"114","IGFBP6","DIO3","IGFBP6.DIO3",1
"115","IGFBP6","KCNK4","IGFBP6.KCNK4",1
"116","IGFBP6","SLC22A18","IGFBP6.SLC22A18",1
"117","IGFBP6","ST6GAL1","IGFBP6.ST6GAL1",1
"118","PI3","MPO","PI3.MPO",1
"119","PI3","DLC1","PI3.DLC1",1
"120","PI3","PENK","PI3.PENK",1
"121","PI3","MAPK4","PI3.MAPK4",1
"122","PI3","DNAJC15","PI3.DNAJC15",1
"123","PI3","PADI4","PI3.PADI4",1
"124","PI3","CD9","PI3.CD9",1
"125","PI3","GFAP","PI3.GFAP",1
"126","PI3","X9.Sep","PI3.X9.Sep",1
"127","PI3","EPO","PI3.EPO",1
"128","PI3","STAT5A","PI3.STAT5A",1
"129","PI3","ONECUT2","PI3.ONECUT2",1
"130","PI3","PRKCDBP","PI3.PRKCDBP",1
"131","PI3","TWIST1","PI3.TWIST1",1
"132","PI3","EMR3","PI3.EMR3",1
"133","PI3","SEMA3B","PI3.SEMA3B",1
"134","PI3","TNFRSF10C","PI3.TNFRSF10C",1
"135","PI3","CPA4","PI3.CPA4",1
"136","PI3","LAT","PI3.LAT",1
"137","PI3","ASCL2","PI3.ASCL2",1
"138","PI3","ITK","PI3.ITK",1
"139","PI3","HLA.DRA","PI3.HLA.DRA",1
"140","PI3","NPY","PI3.NPY",1
"141","PI3","ESR1","PI3.ESR1",1
"142","PI3","ISL1","PI3.ISL1",1
"143","PI3","SNRPN","PI3.SNRPN",1
"144","PI3","LIF","PI3.LIF",1
"145","PI3","VAMP8","PI3.VAMP8",1
"146","PI3","FLT4","PI3.FLT4",1
"147","PI3","KRT1","PI3.KRT1",1
"148","PI3","MUC1","PI3.MUC1",1
"149","PI3","IL1B","PI3.IL1B",1
"150","PI3","CD2","PI3.CD2",1
"151","PI3","MCF2","PI3.MCF2",1
"152","PI3","RUNX3","PI3.RUNX3",1
"153","PI3","ABCC2","PI3.ABCC2",1
"154","PI3","DSG1","PI3.DSG1",1
"155","PI3","MEG3","PI3.MEG3",1
"156","PI3","GNMT","PI3.GNMT",1
"157","PI3","SLC14A1","PI3.SLC14A1",1
"158","PI3","NOTCH3","PI3.NOTCH3",1
"159","PI3","RASGRF1","PI3.RASGRF1",1
"160","PI3","TNFSF8","PI3.TNFSF8",1
"161","PI3","MYOD1","PI3.MYOD1",1
"162","PI3","IL8","PI3.IL8",1
"163","PI3","PHLDA2","PI3.PHLDA2",1
"164","PI3","PRSS8","PI3.PRSS8",1
"165","PI3","FZD9","PI3.FZD9",1
"166","PI3","SFRP1","PI3.SFRP1",1
"167","PI3","ZIM2","PI3.ZIM2",1
"168","PI3","EDNRB","PI3.EDNRB",1
"169","PI3","TJP2","PI3.TJP2",1
"170","PI3","TFF2","PI3.TFF2",1
"171","PI3","DIO3","PI3.DIO3",1
"172","PI3","KCNK4","PI3.KCNK4",1
"173","PI3","SLC22A18","PI3.SLC22A18",1
"174","PI3","ST6GAL1","PI3.ST6GAL1",1
"175","MPO","DLC1","MPO.DLC1",1
"176","MPO","PENK","MPO.PENK",1
"177","MPO","MAPK4","MPO.MAPK4",1
"178","MPO","DNAJC15","MPO.DNAJC15",1
"179","MPO","PADI4","MPO.PADI4",1
"180","MPO","CD9","MPO.CD9",1
"181","MPO","GFAP","MPO.GFAP",1
"182","MPO","X9.Sep","MPO.X9.Sep",1
"183","MPO","EPO","MPO.EPO",1
"184","MPO","STAT5A","MPO.STAT5A",1
"185","MPO","ONECUT2","MPO.ONECUT2",1
"186","MPO","PRKCDBP","MPO.PRKCDBP",1
"187","MPO","TWIST1","MPO.TWIST1",1
"188","MPO","EMR3","MPO.EMR3",1
"189","MPO","SEMA3B","MPO.SEMA3B",1
"190","MPO","TNFRSF10C","MPO.TNFRSF10C",1
"191","MPO","CPA4","MPO.CPA4",1
"192","MPO","LAT","MPO.LAT",1
"193","MPO","ASCL2","MPO.ASCL2",1
"194","MPO","ITK","MPO.ITK",1
"195","MPO","HLA.DRA","MPO.HLA.DRA",1
"196","MPO","NPY","MPO.NPY",1
"197","MPO","ESR1","MPO.ESR1",1
"198","MPO","ISL1","MPO.ISL1",1
"199","MPO","SNRPN","MPO.SNRPN",1
"200","MPO","LIF","MPO.LIF",1
"201","MPO","VAMP8","MPO.VAMP8",1
"202","MPO","FLT4","MPO.FLT4",1
"203","MPO","KRT1","MPO.KRT1",1
"204","MPO","MUC1","MPO.MUC1",1
"205","MPO","IL1B","MPO.IL1B",1
"206","MPO","CD2","MPO.CD2",1
"207","MPO","MCF2","MPO.MCF2",1
"208","MPO","RUNX3","MPO.RUNX3",1
"209","MPO","ABCC2","MPO.ABCC2",1
"210","MPO","DSG1","MPO.DSG1",1
"211","MPO","MEG3","MPO.MEG3",1
"212","MPO","GNMT","MPO.GNMT",1
"213","MPO","SLC14A1","MPO.SLC14A1",1
"214","MPO","NOTCH3","MPO.NOTCH3",1
"215","MPO","RASGRF1","MPO.RASGRF1",1
"216","MPO","TNFSF8","MPO.TNFSF8",1
"217","MPO","MYOD1","MPO.MYOD1",1
"218","MPO","IL8","MPO.IL8",1
"219","MPO","PHLDA2","MPO.PHLDA2",1
"220","MPO","PRSS8","MPO.PRSS8",1
"221","MPO","FZD9","MPO.FZD9",1
"222","MPO","SFRP1","MPO.SFRP1",1
"223","MPO","ZIM2","MPO.ZIM2",1
"224","MPO","EDNRB","MPO.EDNRB",1
"225","MPO","TJP2","MPO.TJP2",1
"226","MPO","TFF2","MPO.TFF2",1
"227","MPO","DIO3","MPO.DIO3",1
"228","MPO","KCNK4","MPO.KCNK4",1
"229","MPO","SLC22A18","MPO.SLC22A18",1
"230","MPO","ST6GAL1","MPO.ST6GAL1",1
"231","DLC1","PENK","DLC1.PENK",1
"232","DLC1","MAPK4","DLC1.MAPK4",1
"233","DLC1","DNAJC15","DLC1.DNAJC15",1
"234","DLC1","PADI4","DLC1.PADI4",1
"235","DLC1","CD9","DLC1.CD9",1
"236","DLC1","GFAP","DLC1.GFAP",1
"237","DLC1","X9.Sep","DLC1.X9.Sep",1
"238","DLC1","EPO","DLC1.EPO",1
"239","DLC1","STAT5A","DLC1.STAT5A",1
"240","DLC1","ONECUT2","DLC1.ONECUT2",1
"241","DLC1","PRKCDBP","DLC1.PRKCDBP",1
"242","DLC1","TWIST1","DLC1.TWIST1",1
"243","DLC1","EMR3","DLC1.EMR3",1
"244","DLC1","SEMA3B","DLC1.SEMA3B",1
"245","DLC1","TNFRSF10C","DLC1.TNFRSF10C",1
"246","DLC1","CPA4","DLC1.CPA4",1
"247","DLC1","LAT","DLC1.LAT",1
"248","DLC1","ASCL2","DLC1.ASCL2",1
