"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","CHI3L2","PADI4","CHI3L2.PADI4",0.00306017017065729
"2","CHI3L2","X9.Sep","CHI3L2.X9.Sep",0.00307185636896014
"3","CHI3L2","EPO","CHI3L2.EPO",0.00316914184813984
"4","CHI3L2","STAT5A","CHI3L2.STAT5A",0.00313445096349219
"5","IGFBP6","PADI4","IGFBP6.PADI4",0.00312687130273188
"6","IGFBP6","GFAP","IGFBP6.GFAP",0.00306993521293674
"7","IGFBP6","PRKCDBP","IGFBP6.PRKCDBP",0.0030593087560407
"8","PI3","STAT5A","PI3.STAT5A",0.00298561078772906
"9","PI3","TWIST1","PI3.TWIST1",0.00296119043436987
"10","MPO","PRKCDBP","MPO.PRKCDBP",0.00298793324041393
"11","DNAJC15","DDB2","DNAJC15.DDB2",0.00310097388206178
"12","PADI4","EPO","PADI4.EPO",0.00317434406995445
"13","PADI4","STAT5A","PADI4.STAT5A",0.00340579646926129
"14","CD9","AHR","CD9.AHR",0.00347188186240319
"15","GFAP","TWIST1","GFAP.TWIST1",0.00301857590340707
"16","GFAP","EMR3","GFAP.EMR3",0.00301646890400232
"17","EPO","STAT5A","EPO.STAT5A",0.00329166598818606
"18","STAT5A","PRKCDBP","STAT5A.PRKCDBP",0.00314142806589215
"19","STAT5A","EMR3","STAT5A.EMR3",0.00307582494361762
"20","PRKCDBP","EMR3","PRKCDBP.EMR3",0.00298788552917525
"21","PRKCDBP","SEMA3B","PRKCDBP.SEMA3B",0.00324054689347262
"22","PRKCDBP","TNFRSF10C","PRKCDBP.TNFRSF10C",0.00340898292370044
"23","TWIST1","TNFRSF10C","TWIST1.TNFRSF10C",0.00302049634299294
"24","EMR3","SEMA3B","EMR3.SEMA3B",0.00299275110773616
"25","SEMA3B","TNFRSF10C","SEMA3B.TNFRSF10C",0.00332346512397897
"26","SEMA3B","TGFBR3","SEMA3B.TGFBR3",0.00307079997249122
"27","SEMA3B","NOS3","SEMA3B.NOS3",0.00303915630993923
"28","SEMA3B","TRAF4","SEMA3B.TRAF4",0.00296639663844634
"29","TNFRSF10C","CSF2","TNFRSF10C.CSF2",0.00386800201631337
"30","LAT","NOTCH3","LAT.NOTCH3",0.00309268654552013
"31","LAT","MGMT","LAT.MGMT",0.00356306957287392
"32","ITK","TP73","ITK.TP73",0.00307741740895125
"33","ITK","ATP10A","ITK.ATP10A",0.00304151525184736
"34","HLA.DRA","NPY","HLA.DRA.NPY",0.00302904837145994
"35","HLA.DRA","FLT4","HLA.DRA.FLT4",0.00312840374761777
"36","HLA.DRA","NOTCH3","HLA.DRA.NOTCH3",0.00311241861700507
"37","IFNGR2","ATP10A","IFNGR2.ATP10A",0.00364072747766475
"38","IFNGR2","CD2","IFNGR2.CD2",0.00301634320079855
"39","PRSS1","HSPA2","PRSS1.HSPA2",0.00497363230351499
"40","NPY","FLT4","NPY.FLT4",0.00316886971202666
"41","NPY","NOTCH3","NPY.NOTCH3",0.00317205687205585
"42","NPY","LMTK2","NPY.LMTK2",0.00300486093307484
"43","ESR1","DSG1","ESR1.DSG1",0.00298082424625992
"44","TP73","NOTCH3","TP73.NOTCH3",0.00299463022596545
"45","ISL1","VAMP8","ISL1.VAMP8",0.0035046669522601
"46","ISL1","IL1B","ISL1.IL1B",0.00378884862483698
"47","ISL1","GDF10","ISL1.GDF10",0.00324389111750635
"48","ISL1","DDR1","ISL1.DDR1",0.00332220017951885
"49","SNRPN","MEST","SNRPN.MEST",0.00435476537952884
"50","SNRPN","ZNF264","SNRPN.ZNF264",0.00336241236686294
"51","LIF","MUC1","LIF.MUC1",0.00422006354468897
"52","VAMP8","IL1B","VAMP8.IL1B",0.00354202958097794
"53","KRT1","RUNX3","KRT1.RUNX3",0.00377016321754935
"54","KRT1","GNMT","KRT1.GNMT",0.00329862314584561
"55","KRT1","WNT2","KRT1.WNT2",0.0031074742340214
"56","CCND1","MCF2","CCND1.MCF2",0.00299607067556744
"57","CCND1","DSG1","CCND1.DSG1",0.00329346156765694
"58","CCND1","NOTCH3","CCND1.NOTCH3",0.00305634495274911
"59","CD2","ABCC2","CD2.ABCC2",0.00307181557493356
"60","MCF2","BLK","MCF2.BLK",0.00299539203570992
"61","RUNX3","GNMT","RUNX3.GNMT",0.00332044398812475
"62","RUNX3","WNT2","RUNX3.WNT2",0.00325750640791319
"63","DSG1","NOTCH3","DSG1.NOTCH3",0.00317268170458951
"64","MEG3","MAP3K9","MEG3.MAP3K9",0.00299052971175109
"65","SOX17","SFN","SOX17.SFN",0.00340365802069064
"66","SOX17","EPHA5","SOX17.EPHA5",0.00323843573858239
"67","WNT2","MCC","WNT2.MCC",0.00305489515060376
"68","SFN","EPHA5","SFN.EPHA5",0.00299452253938711
"69","SFN","TGFB1","SFN.TGFB1",0.00317144080666935
"70","RASGRF1","IL8","RASGRF1.IL8",0.00296534738718693
"71","RASGRF1","COL1A2","RASGRF1.COL1A2",0.00303330093343134
"72","RASGRF1","SERPINA5","RASGRF1.SERPINA5",0.0029818370861109
"73","KLK10","PRSS8","KLK10.PRSS8",0.00301241970394065
"74","EPHA5","IL8","EPHA5.IL8",0.00314668401372982
"75","EPHA5","KCNQ1","EPHA5.KCNQ1",0.00329368581005029
"76","EPHA5","PHLDA2","EPHA5.PHLDA2",0.00325055592787002
"77","EPHA5","COL1A2","EPHA5.COL1A2",0.00309005150129226
"78","EPHA5","MYH11","EPHA5.MYH11",0.00298189368341697
"79","EPHA5","XRCC1","EPHA5.XRCC1",0.00311079032418636
"80","IL8","KCNQ1","IL8.KCNQ1",0.00308129762381954
"81","IL8","PHLDA2","IL8.PHLDA2",0.00303471295732432
"82","IL8","COL1A2","IL8.COL1A2",0.00300691692145911
"83","KCNQ1","PHLDA2","KCNQ1.PHLDA2",0.0041984216429844
"84","KCNQ1","COL1A2","KCNQ1.COL1A2",0.00307112717621789
"85","PHLDA2","COL1A2","PHLDA2.COL1A2",0.00297639161015415
"86","PHLDA2","TM7SF3","PHLDA2.TM7SF3",0.00361991743957387
"87","COL1A2","PRSS8","COL1A2.PRSS8",0.00304527689133718
"88","PRSS8","MAPK9","PRSS8.MAPK9",0.00304546567713658
"89","FZD9","HGF","FZD9.HGF",0.00397258760186673
"90","FRK","LIG4","FRK.LIG4",0.00336681226690753
"91","AFF3","FLT3","AFF3.FLT3",0.00331739677601679
"92","PLA2G2A","ALOX12","PLA2G2A.ALOX12",0.00313315307226686
"93","MAGEC3","OSM","MAGEC3.OSM",0.00334226981478244
"94","HSPA2","CAPG","HSPA2.CAPG",0.00398421976766015
"95","TFF2","NCL","TFF2.NCL",0.00445687702589702
"96","SOX1","SMAD2","SOX1.SMAD2",0.00300519614608022
"97","APOA1","RARA","APOA1.RARA",0.0038164032372343
"98","OSM","EPHA3","OSM.EPHA3",0.00305827329249763
"99","COL18A1","EYA4","COL18A1.EYA4",0.00296330299111233
"100","CDH1","TGFB2","CDH1.TGFB2",0.00298923559556383
"101","CDH1","RASA1","CDH1.RASA1",0.00314873846142196
"102","EYA4","NFKB2","EYA4.NFKB2",0.00329732404253047
"103","SOD3","VAV1","SOD3.VAV1",0.00321739403613102
"104","CDKN1C","APOC2","CDKN1C.APOC2",0.0029614766192757
"105","CDKN1C","MAP2K6","CDKN1C.MAP2K6",0.00352972940590635
"106","IGF1","IL4","IGF1.IL4",0.00305385229969527
"107","GDF10","DDR1","GDF10.DDR1",0.00408075505688116
"108","THPO","TFAP2C","THPO.TFAP2C",0.00385980823986122
"109","ALOX12","NCL","ALOX12.NCL",0.00307696364999325
"110","CAPG","CTNNA1","CAPG.CTNNA1",0.0033888066729866
"111","GUCY2D","HOXA5","GUCY2D.HOXA5",0.00304036632958118
"112","SERPINB5","BTK","SERPINB5.BTK",0.00426010903138169
