"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","CHI3L2","FANCE","CHI3L2.FANCE",0.198738960500172
"2","CHI3L2","CHGA","CHI3L2.CHGA",0.118880432716936
"3","CHI3L2","ERCC6","CHI3L2.ERCC6",0.101595999918481
"4","CHI3L2","PROM1","CHI3L2.PROM1",0.217453078949549
"5","CHI3L2","NQO1","CHI3L2.NQO1",0.102906415451238
"6","IGFBP6","TYRO3","IGFBP6.TYRO3",0.0806816626768924
"7","IGFBP6","ITGA2","IGFBP6.ITGA2",0.0983585565459485
"8","MPO","GRB7","MPO.GRB7",0.0799831703233345
"9","MPO","PSCA","MPO.PSCA",0.0781039860434651
"10","MPO","EPM2A","MPO.EPM2A",0.0789599196179368
"11","DLC1","PITX2","DLC1.PITX2",0.100115253670974
"12","DLC1","OAT","DLC1.OAT",0.0907101049990338
"13","DLC1","PTPRH","DLC1.PTPRH",0.0772371696640469
"14","DLC1","MAP3K8","DLC1.MAP3K8",0.0770487438336875
"15","MAPK4","YES1","MAPK4.YES1",0.0752553602994971
"16","MAPK4","TFRC","MAPK4.TFRC",0.0757928974555023
"17","MAPK4","PPARD","MAPK4.PPARD",0.0788815310586599
"18","MAPK4","EPHA1","MAPK4.EPHA1",0.103442421650421
"19","MAPK4","NEU1","MAPK4.NEU1",0.0953179225546564
"20","DNAJC15","CREB1","DNAJC15.CREB1",0.0892167755588885
"21","PADI4","ERBB3","PADI4.ERBB3",0.199505932830194
"22","CD9","MC2R","CD9.MC2R",0.0979592188913808
"23","CD9","PDGFB","CD9.PDGFB",0.0848322910893898
"24","GFAP","APOA1","GFAP.APOA1",0.0794138367945223
"25","GFAP","ASCL1","GFAP.ASCL1",0.0754158771566465
"26","GFAP","OGG1","GFAP.OGG1",0.0767243774198018
"27","GFAP","ACTG2","GFAP.ACTG2",0.0803254676810954
"28","GFAP","ICA1","GFAP.ICA1",0.0757373377353312
"29","GFAP","GRPR","GFAP.GRPR",0.0971882024442878
"30","GFAP","RAD50","GFAP.RAD50",0.079942544890472
"31","GFAP","X5.Sep","GFAP.X5.Sep",0.0815048428739052
"32","GFAP","LIG3","GFAP.LIG3",0.0862226424322198
"33","X9.Sep","DDR2","X9.Sep.DDR2",0.0783092909087241
"34","X9.Sep","NKX3.1","X9.Sep.NKX3.1",0.0803591028751144
"35","X9.Sep","IL2","X9.Sep.IL2",0.0823859990939222
"36","EPO","FZD9","EPO.FZD9",0.085627853411299
"37","EPO","PTK7","EPO.PTK7",0.0829845567938303
"38","EPO","MAP3K8","EPO.MAP3K8",0.0761851260004816
"39","STAT5A","GSTM1","STAT5A.GSTM1",0.081572166904117
"40","ONECUT2","PYCARD","ONECUT2.PYCARD",0.075783773909507
"41","ONECUT2","ETV1","ONECUT2.ETV1",0.0888603420358343
"42","ONECUT2","TEK","ONECUT2.TEK",0.11616130804377
"43","ONECUT2","EPHB1","ONECUT2.EPHB1",0.0766687595010579
"44","PRKCDBP","GSTM1","PRKCDBP.GSTM1",0.0960963424779086
"45","PRKCDBP","TRAF4","PRKCDBP.TRAF4",0.0768147851459746
"46","SEMA3B","SCGB3A1","SEMA3B.SCGB3A1",0.0924608963921312
"47","SEMA3B","IGFBP2","SEMA3B.IGFBP2",0.114726890151659
"48","SEMA3B","EPHA1","SEMA3B.EPHA1",0.0786324043731705
"49","CPA4","SLC22A2","CPA4.SLC22A2",0.0770199333370788
"50","CPA4","THBS1","CPA4.THBS1",0.0945751494128323
"51","LAT","WNT2","LAT.WNT2",0.078807400628904
"52","LAT","DLK1","LAT.DLK1",0.0852828108902629
"53","LAT","ACVR1B","LAT.ACVR1B",0.084620895582958
"54","LAT","APBA1","LAT.APBA1",0.0830806108948814
"55","LAT","GATA6","LAT.GATA6",0.0769023777328009
"56","ITK","CSF2","ITK.CSF2",0.128208641573949
"57","HLA.DRA","CASP8","HLA.DRA.CASP8",0.0841773994256583
"58","HLA.DRA","CCND2","HLA.DRA.CCND2",0.0781027028237983
"59","HLA.DRA","MEST","HLA.DRA.MEST",0.0877893332851681
"60","HLA.DRA","CD34","HLA.DRA.CD34",0.0957888827480271
"61","HLA.DRA","PTPRF","HLA.DRA.PTPRF",0.101173278447747
"62","HLA.DRA","MLF1","HLA.DRA.MLF1",0.0781249351542002
"63","HLA.DRA","NQO1","HLA.DRA.NQO1",0.0800830969689445
"64","HLA.DRA","YES1","HLA.DRA.YES1",0.0848487062367409
"65","HLA.DRA","MMP8","HLA.DRA.MMP8",0.0781348533933036
"66","NPY","FLT4","NPY.FLT4",0.114063299168591
"67","NPY","EFNB3","NPY.EFNB3",0.105535453179272
"68","ESR1","TMEFF1","ESR1.TMEFF1",0.162641874841307
"69","ESR1","TESK2","ESR1.TESK2",0.0763101681908703
"70","ISL1","IL18BP","ISL1.IL18BP",0.127048384276534
"71","ISL1","SLC6A8","ISL1.SLC6A8",0.139203052057659
"72","ISL1","RIPK2","ISL1.RIPK2",0.0801232417348532
"73","SNRPN","PARP1","SNRPN.PARP1",0.0971159200072391
"74","VAMP8","CHFR","VAMP8.CHFR",0.0862016457319021
"75","VAMP8","MCC","VAMP8.MCC",0.117476423215256
"76","VAMP8","TYRO3","VAMP8.TYRO3",0.0940791024272215
"77","VAMP8","MMP10","VAMP8.MMP10",0.0781045583721488
"78","VAMP8","WNT2B","VAMP8.WNT2B",0.0834023554606365
"79","VAMP8","TGFA","VAMP8.TGFA",0.0805702423593302
"80","FLT4","EFNB3","FLT4.EFNB3",0.186873805402572
"81","WT1","FLT1","WT1.FLT1",0.0816837271639757
"82","WT1","IRF5","WT1.IRF5",0.0787026733178705
"83","WT1","IL12B","WT1.IL12B",0.0765489662696516
"84","WT1","ACVR1C","WT1.ACVR1C",0.080360952233353
"85","KRT1","PEG10","KRT1.PEG10",0.0819045420647468
"86","KRT1","IL13","KRT1.IL13",0.0850504767739467
"87","IL1B","SFN","IL1B.SFN",0.0757412266940103
"88","CCND1","MYB","CCND1.MYB",0.0863831135439046
