"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","PI3","KIT","PI3.KIT",0.320654283952205
"2","MPO","MAPK4","MPO.MAPK4",0.335910981239162
"3","MPO","X9.Sep","MPO.X9.Sep",0.335910981239162
"4","MPO","ONECUT2","MPO.ONECUT2",0.335910981239162
"5","MPO","CPA4","MPO.CPA4",0.335910981239162
"6","MPO","HLA.DRA","MPO.HLA.DRA",0.335910981239162
"7","MPO","IFNGR2","MPO.IFNGR2",0.335910981239162
"8","MPO","NPY","MPO.NPY",0.335910981239162
"9","MPO","TP73","MPO.TP73",0.335910981239162
"10","MPO","VAMP8","MPO.VAMP8",0.335910981239162
"11","MPO","WT1","MPO.WT1",0.335910981239162
"12","MPO","CCND1","MPO.CCND1",0.335910981239162
"13","MPO","CD2","MPO.CD2",0.335910981239162
"14","MPO","MCF2","MPO.MCF2",0.335910981239162
"15","MPO","ABCC2","MPO.ABCC2",0.335910981239162
"16","MPO","DSG1","MPO.DSG1",0.335910981239162
"17","MPO","BLK","MPO.BLK",0.335910981239162
"18","MPO","NOTCH3","MPO.NOTCH3",0.335910981239162
"19","MPO","GALR1","MPO.GALR1",0.335910981239162
"20","MPO","CYP2E1","MPO.CYP2E1",0.335910981239162
"21","MPO","EDNRB","MPO.EDNRB",0.335910981239162
"22","MPO","TJP2","MPO.TJP2",0.335910981239162
"23","MPO","DIO3","MPO.DIO3",0.335910981239162
"24","MPO","HPN","MPO.HPN",0.335910981239162
"25","MPO","SOX1","MPO.SOX1",0.335910981239162
"26","MPO","CALCA","MPO.CALCA",0.335910981239162
"27","MPO","ASB4","MPO.ASB4",0.335910981239162
"28","MPO","AATK","MPO.AATK",0.335910981239162
"29","MPO","KCNK4","MPO.KCNK4",0.335910981239162
"30","MPO","COL18A1","MPO.COL18A1",0.335910981239162
"31","MPO","CHFR","MPO.CHFR",0.335910981239162
"32","MPO","IRAK3","MPO.IRAK3",0.335910981239162
"33","MPO","DES","MPO.DES",0.335910981239162
"34","MPO","EYA4","MPO.EYA4",0.335910981239162
"35","MPO","PITX2","MPO.PITX2",0.335910981239162
"36","MPO","IGF1","MPO.IGF1",0.335910981239162
"37","MPO","IL18BP","MPO.IL18BP",0.335910981239162
"38","MPO","SMAD2","MPO.SMAD2",0.335910981239162
"39","MPO","VAV1","MPO.VAV1",0.335910981239162
"40","MPO","NOTCH4","MPO.NOTCH4",0.335910981239162
"41","MPO","CCND2","MPO.CCND2",0.335910981239162
"42","MPO","EPHA3","MPO.EPHA3",0.335910981239162
"43","MPO","GUCY2D","MPO.GUCY2D",0.335910981239162
"44","MPO","HOXA5","MPO.HOXA5",0.335910981239162
"45","MPO","OPCML","MPO.OPCML",0.335910981239162
"46","MPO","BTK","MPO.BTK",0.335910981239162
"47","MPO","PMP22","MPO.PMP22",0.335910981239162
