"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","CHI3L2","PADI4","CHI3L2.PADI4",0.135904702117276
"2","CHI3L2","X9.Sep","CHI3L2.X9.Sep",0.226180100176556
"3","CHI3L2","EPO","CHI3L2.EPO",0.188179442187096
"4","CHI3L2","STAT5A","CHI3L2.STAT5A",0.168144106660561
"5","IGFBP6","MPO","IGFBP6.MPO",0.120912286182693
"6","IGFBP6","PADI4","IGFBP6.PADI4",0.162071352070842
"7","IGFBP6","GFAP","IGFBP6.GFAP",0.154444099762713
"8","IGFBP6","X9.Sep","IGFBP6.X9.Sep",0.174802671658349
"9","IGFBP6","EPO","IGFBP6.EPO",0.102613553182155
"10","IGFBP6","PRKCDBP","IGFBP6.PRKCDBP",0.128372903710478
"11","PI3","MPO","PI3.MPO",0.236822431440404
"12","PI3","MAPK4","PI3.MAPK4",0.127767492521605
"13","PI3","EPO","PI3.EPO",0.117701778732112
"14","PI3","STAT5A","PI3.STAT5A",0.135547720227889
"15","PI3","TWIST1","PI3.TWIST1",0.120567412449214
"16","PI3","CPA4","PI3.CPA4",0.191960053291188
"17","MPO","PADI4","MPO.PADI4",0.160047810222001
"18","MPO","CD9","MPO.CD9",0.191622187696058
"19","MPO","EPO","MPO.EPO",0.125411397672275
"20","MPO","STAT5A","MPO.STAT5A",0.125077967190197
"21","MPO","PRKCDBP","MPO.PRKCDBP",0.227460333515475
"22","MPO","TWIST1","MPO.TWIST1",0.10898284191485
"23","MPO","EMR3","MPO.EMR3",0.136902959634101
"24","MPO","SEMA3B","MPO.SEMA3B",0.181832224395383
"25","MPO","CPA4","MPO.CPA4",0.370124679293557
"26","DLC1","MAPK4","DLC1.MAPK4",0.110734249288641
"27","DLC1","CD9","DLC1.CD9",0.217361719453949
"28","DLC1","GFAP","DLC1.GFAP",0.145034949989913
"29","DLC1","TWIST1","DLC1.TWIST1",0.102915241021946
"30","MAPK4","TWIST1","MAPK4.TWIST1",0.119715406702873
"31","PADI4","CD9","PADI4.CD9",0.114326131498817
"32","PADI4","X9.Sep","PADI4.X9.Sep",0.15914515616756
"33","PADI4","EPO","PADI4.EPO",0.206618758113414
"34","PADI4","STAT5A","PADI4.STAT5A",0.167845524737122
"35","PADI4","SEMA3B","PADI4.SEMA3B",0.11023124242174
"36","PADI4","CPA4","PADI4.CPA4",0.119126986589182
"37","CD9","GFAP","CD9.GFAP",0.242914001630873
"38","CD9","TWIST1","CD9.TWIST1",0.128648290611731
"39","CD9","EMR3","CD9.EMR3",0.123774824507934
"40","CD9","SEMA3B","CD9.SEMA3B",0.111972266448248
"41","CD9","CPA4","CD9.CPA4",0.275974252343536
"42","GFAP","X9.Sep","GFAP.X9.Sep",0.116040882939034
"43","GFAP","TWIST1","GFAP.TWIST1",0.144286647261891
"44","GFAP","EMR3","GFAP.EMR3",0.150527928088672
"45","GFAP","CPA4","GFAP.CPA4",0.129451065413882
