"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","CHI3L2","IGFBP6","CHI3L2.IGFBP6",1
"2","CHI3L2","PI3","CHI3L2.PI3",1
"3","CHI3L2","MPO","CHI3L2.MPO",1
"4","CHI3L2","PENK","CHI3L2.PENK",1
"5","CHI3L2","MAPK4","CHI3L2.MAPK4",1
"6","CHI3L2","DNAJC15","CHI3L2.DNAJC15",1
"7","CHI3L2","PADI4","CHI3L2.PADI4",1
"8","CHI3L2","GFAP","CHI3L2.GFAP",1
"9","CHI3L2","X9.Sep","CHI3L2.X9.Sep",1
"10","CHI3L2","EPO","CHI3L2.EPO",1
"11","CHI3L2","STAT5A","CHI3L2.STAT5A",1
"12","CHI3L2","ONECUT2","CHI3L2.ONECUT2",1
"13","CHI3L2","PRKCDBP","CHI3L2.PRKCDBP",1
"14","CHI3L2","TWIST1","CHI3L2.TWIST1",1
"15","CHI3L2","EMR3","CHI3L2.EMR3",1
"16","CHI3L2","SEMA3B","CHI3L2.SEMA3B",1
"17","CHI3L2","TNFRSF10C","CHI3L2.TNFRSF10C",1
"18","CHI3L2","LAT","CHI3L2.LAT",1
"19","CHI3L2","ASCL2","CHI3L2.ASCL2",1
"20","CHI3L2","ITK","CHI3L2.ITK",1
"21","CHI3L2","HLA.DRA","CHI3L2.HLA.DRA",1
"22","CHI3L2","IFNGR2","CHI3L2.IFNGR2",1
"23","CHI3L2","NPY","CHI3L2.NPY",1
"24","CHI3L2","ESR1","CHI3L2.ESR1",1
"25","CHI3L2","TP73","CHI3L2.TP73",1
"26","CHI3L2","ATP10A","CHI3L2.ATP10A",1
"27","CHI3L2","FLT4","CHI3L2.FLT4",1
"28","CHI3L2","KRT1","CHI3L2.KRT1",1
"29","CHI3L2","CCND1","CHI3L2.CCND1",1
"30","CHI3L2","CD2","CHI3L2.CD2",1
"31","CHI3L2","MCF2","CHI3L2.MCF2",1
"32","CHI3L2","RUNX3","CHI3L2.RUNX3",1
"33","CHI3L2","ABCC2","CHI3L2.ABCC2",1
"34","CHI3L2","DSG1","CHI3L2.DSG1",1
"35","CHI3L2","GNMT","CHI3L2.GNMT",1
"36","CHI3L2","SOX17","CHI3L2.SOX17",1
"37","CHI3L2","WNT2","CHI3L2.WNT2",1
"38","CHI3L2","NOTCH3","CHI3L2.NOTCH3",1
"39","CHI3L2","SFN","CHI3L2.SFN",1
"40","CHI3L2","RASGRF1","CHI3L2.RASGRF1",1
"41","CHI3L2","GALR1","CHI3L2.GALR1",1
"42","CHI3L2","KLK10","CHI3L2.KLK10",1
"43","CHI3L2","EPHA5","CHI3L2.EPHA5",1
"44","CHI3L2","MYOD1","CHI3L2.MYOD1",1
"45","CHI3L2","IL8","CHI3L2.IL8",1
"46","CHI3L2","KCNQ1","CHI3L2.KCNQ1",1
"47","CHI3L2","PHLDA2","CHI3L2.PHLDA2",1
"48","CHI3L2","COL1A2","CHI3L2.COL1A2",1
"49","CHI3L2","PRSS8","CHI3L2.PRSS8",1
"50","CHI3L2","SERPINA5","CHI3L2.SERPINA5",1
"51","CHI3L2","FRK","CHI3L2.FRK",1
"52","CHI3L2","AFF3","CHI3L2.AFF3",1
"53","CHI3L2","HPN","CHI3L2.HPN",1
"54","CHI3L2","APOA1","CHI3L2.APOA1",1
"55","CHI3L2","COL18A1","CHI3L2.COL18A1",1
"56","CHI3L2","LIG4","CHI3L2.LIG4",1
"57","CHI3L2","DES","CHI3L2.DES",1
"58","CHI3L2","LTA","CHI3L2.LTA",1
"59","CHI3L2","PYCARD","CHI3L2.PYCARD",1
"60","CHI3L2","HOXB2","CHI3L2.HOXB2",1
"61","CHI3L2","SLC5A8","CHI3L2.SLC5A8",1
"62","CHI3L2","TERT","CHI3L2.TERT",1
"63","CHI3L2","OPCML","CHI3L2.OPCML",1
"64","CHI3L2","DCC","CHI3L2.DCC",1
"65","CHI3L2","FGF1","CHI3L2.FGF1",1
"66","CHI3L2","CAV1","CHI3L2.CAV1",1
"67","CHI3L2","SPARC","CHI3L2.SPARC",1
"68","CHI3L2","ADCYAP1","CHI3L2.ADCYAP1",1
"69","CHI3L2","LEFTY2","CHI3L2.LEFTY2",1
"70","CHI3L2","ABL2","CHI3L2.ABL2",1
"71","CHI3L2","EPHX1","CHI3L2.EPHX1",1
"72","CHI3L2","SPDEF","CHI3L2.SPDEF",1
"73","CHI3L2","SFTPB","CHI3L2.SFTPB",1
"74","CHI3L2","CDH3","CHI3L2.CDH3",1
"75","CHI3L2","MMP7","CHI3L2.MMP7",1
"76","CHI3L2","GSTM1","CHI3L2.GSTM1",1
"77","CHI3L2","XRCC2","CHI3L2.XRCC2",1
"78","CHI3L2","PTGS2","CHI3L2.PTGS2",1
"79","CHI3L2","MFAP4","CHI3L2.MFAP4",1
"80","CHI3L2","SCGB3A1","CHI3L2.SCGB3A1",1
"81","CHI3L2","TUSC3","CHI3L2.TUSC3",1
"82","CHI3L2","ESR2","CHI3L2.ESR2",1
"83","CHI3L2","GFI1","CHI3L2.GFI1",1
"84","CHI3L2","APC","CHI3L2.APC",1
"85","CHI3L2","ARHGDIB","CHI3L2.ARHGDIB",1
"86","CHI3L2","PLS3","CHI3L2.PLS3",1
"87","CHI3L2","CASP10","CHI3L2.CASP10",1
"88","CHI3L2","ELK3","CHI3L2.ELK3",1
"89","CHI3L2","LMTK2","CHI3L2.LMTK2",1
"90","CHI3L2","MAPK14","CHI3L2.MAPK14",1
"91","CHI3L2","NOTCH1","CHI3L2.NOTCH1",1
"92","CHI3L2","EXT1","CHI3L2.EXT1",1
"93","CHI3L2","GATA6","CHI3L2.GATA6",1
"94","CHI3L2","CYP1B1","CHI3L2.CYP1B1",1
"95","CHI3L2","BAX","CHI3L2.BAX",1
"96","CHI3L2","ETS2","CHI3L2.ETS2",1
"97","IGFBP6","PI3","IGFBP6.PI3",1
"98","IGFBP6","MPO","IGFBP6.MPO",1
"99","IGFBP6","PENK","IGFBP6.PENK",1
"100","IGFBP6","MAPK4","IGFBP6.MAPK4",1
"101","IGFBP6","DNAJC15","IGFBP6.DNAJC15",1
"102","IGFBP6","PADI4","IGFBP6.PADI4",1
"103","IGFBP6","GFAP","IGFBP6.GFAP",1
"104","IGFBP6","X9.Sep","IGFBP6.X9.Sep",1
"105","IGFBP6","EPO","IGFBP6.EPO",1
"106","IGFBP6","STAT5A","IGFBP6.STAT5A",1
"107","IGFBP6","ONECUT2","IGFBP6.ONECUT2",1
"108","IGFBP6","PRKCDBP","IGFBP6.PRKCDBP",1
"109","IGFBP6","TWIST1","IGFBP6.TWIST1",1
"110","IGFBP6","EMR3","IGFBP6.EMR3",1
"111","IGFBP6","SEMA3B","IGFBP6.SEMA3B",1
"112","IGFBP6","TNFRSF10C","IGFBP6.TNFRSF10C",1
"113","IGFBP6","LAT","IGFBP6.LAT",1
"114","IGFBP6","ASCL2","IGFBP6.ASCL2",1
"115","IGFBP6","ITK","IGFBP6.ITK",1
"116","IGFBP6","HLA.DRA","IGFBP6.HLA.DRA",1
"117","IGFBP6","IFNGR2","IGFBP6.IFNGR2",1
"118","IGFBP6","NPY","IGFBP6.NPY",1
"119","IGFBP6","ESR1","IGFBP6.ESR1",1
"120","IGFBP6","TP73","IGFBP6.TP73",1
"121","IGFBP6","ATP10A","IGFBP6.ATP10A",1
"122","IGFBP6","FLT4","IGFBP6.FLT4",1
"123","IGFBP6","KRT1","IGFBP6.KRT1",1
"124","IGFBP6","CCND1","IGFBP6.CCND1",1
"125","IGFBP6","CD2","IGFBP6.CD2",1
"126","IGFBP6","MCF2","IGFBP6.MCF2",1
"127","IGFBP6","RUNX3","IGFBP6.RUNX3",1
"128","IGFBP6","ABCC2","IGFBP6.ABCC2",1
"129","IGFBP6","DSG1","IGFBP6.DSG1",1
"130","IGFBP6","GNMT","IGFBP6.GNMT",1
"131","IGFBP6","SOX17","IGFBP6.SOX17",1
"132","IGFBP6","WNT2","IGFBP6.WNT2",1
"133","IGFBP6","NOTCH3","IGFBP6.NOTCH3",1
"134","IGFBP6","SFN","IGFBP6.SFN",1
"135","IGFBP6","RASGRF1","IGFBP6.RASGRF1",1
"136","IGFBP6","GALR1","IGFBP6.GALR1",1
"137","IGFBP6","KLK10","IGFBP6.KLK10",1
"138","IGFBP6","EPHA5","IGFBP6.EPHA5",1
"139","IGFBP6","MYOD1","IGFBP6.MYOD1",1
"140","IGFBP6","IL8","IGFBP6.IL8",1
"141","IGFBP6","KCNQ1","IGFBP6.KCNQ1",1
"142","IGFBP6","PHLDA2","IGFBP6.PHLDA2",1
"143","IGFBP6","COL1A2","IGFBP6.COL1A2",1
"144","IGFBP6","PRSS8","IGFBP6.PRSS8",1
"145","IGFBP6","SERPINA5","IGFBP6.SERPINA5",1
"146","IGFBP6","FRK","IGFBP6.FRK",1
"147","IGFBP6","AFF3","IGFBP6.AFF3",1
"148","IGFBP6","HPN","IGFBP6.HPN",1
"149","IGFBP6","APOA1","IGFBP6.APOA1",1
"150","IGFBP6","COL18A1","IGFBP6.COL18A1",1
"151","IGFBP6","LIG4","IGFBP6.LIG4",1
"152","IGFBP6","DES","IGFBP6.DES",1
"153","IGFBP6","LTA","IGFBP6.LTA",1
"154","IGFBP6","PYCARD","IGFBP6.PYCARD",1
"155","IGFBP6","HOXB2","IGFBP6.HOXB2",1
"156","IGFBP6","SLC5A8","IGFBP6.SLC5A8",1
"157","IGFBP6","TERT","IGFBP6.TERT",1
"158","IGFBP6","OPCML","IGFBP6.OPCML",1
"159","IGFBP6","DCC","IGFBP6.DCC",1
"160","IGFBP6","FGF1","IGFBP6.FGF1",1
"161","IGFBP6","CAV1","IGFBP6.CAV1",1
"162","IGFBP6","SPARC","IGFBP6.SPARC",1
"163","IGFBP6","ADCYAP1","IGFBP6.ADCYAP1",1
"164","IGFBP6","LEFTY2","IGFBP6.LEFTY2",1
"165","IGFBP6","ABL2","IGFBP6.ABL2",1
"166","IGFBP6","EPHX1","IGFBP6.EPHX1",1
"167","IGFBP6","SPDEF","IGFBP6.SPDEF",1
"168","IGFBP6","SFTPB","IGFBP6.SFTPB",1
"169","IGFBP6","CDH3","IGFBP6.CDH3",1
"170","IGFBP6","MMP7","IGFBP6.MMP7",1
"171","IGFBP6","GSTM1","IGFBP6.GSTM1",1
"172","IGFBP6","XRCC2","IGFBP6.XRCC2",1
"173","IGFBP6","PTGS2","IGFBP6.PTGS2",1
"174","IGFBP6","MFAP4","IGFBP6.MFAP4",1
"175","IGFBP6","SCGB3A1","IGFBP6.SCGB3A1",1
"176","IGFBP6","TUSC3","IGFBP6.TUSC3",1
"177","IGFBP6","ESR2","IGFBP6.ESR2",1
"178","IGFBP6","GFI1","IGFBP6.GFI1",1
"179","IGFBP6","APC","IGFBP6.APC",1
"180","IGFBP6","ARHGDIB","IGFBP6.ARHGDIB",1
"181","IGFBP6","PLS3","IGFBP6.PLS3",1
"182","IGFBP6","CASP10","IGFBP6.CASP10",1
"183","IGFBP6","ELK3","IGFBP6.ELK3",1
"184","IGFBP6","LMTK2","IGFBP6.LMTK2",1
"185","IGFBP6","MAPK14","IGFBP6.MAPK14",1
"186","IGFBP6","NOTCH1","IGFBP6.NOTCH1",1
"187","IGFBP6","EXT1","IGFBP6.EXT1",1
"188","IGFBP6","GATA6","IGFBP6.GATA6",1
"189","IGFBP6","CYP1B1","IGFBP6.CYP1B1",1
"190","IGFBP6","BAX","IGFBP6.BAX",1
"191","IGFBP6","ETS2","IGFBP6.ETS2",1
"192","PI3","MPO","PI3.MPO",1
"193","PI3","PENK","PI3.PENK",1
"194","PI3","MAPK4","PI3.MAPK4",1
"195","PI3","DNAJC15","PI3.DNAJC15",1
"196","PI3","PADI4","PI3.PADI4",1
"197","PI3","GFAP","PI3.GFAP",1
"198","PI3","X9.Sep","PI3.X9.Sep",1
"199","PI3","EPO","PI3.EPO",1
"200","PI3","STAT5A","PI3.STAT5A",1
"201","PI3","ONECUT2","PI3.ONECUT2",1
"202","PI3","PRKCDBP","PI3.PRKCDBP",1
"203","PI3","TWIST1","PI3.TWIST1",1
"204","PI3","EMR3","PI3.EMR3",1
"205","PI3","SEMA3B","PI3.SEMA3B",1
"206","PI3","TNFRSF10C","PI3.TNFRSF10C",1
"207","PI3","LAT","PI3.LAT",1
"208","PI3","ASCL2","PI3.ASCL2",1
"209","PI3","ITK","PI3.ITK",1
"210","PI3","HLA.DRA","PI3.HLA.DRA",1
"211","PI3","IFNGR2","PI3.IFNGR2",1
"212","PI3","NPY","PI3.NPY",1
"213","PI3","ESR1","PI3.ESR1",1
"214","PI3","TP73","PI3.TP73",1
"215","PI3","ATP10A","PI3.ATP10A",1
"216","PI3","FLT4","PI3.FLT4",1
"217","PI3","KRT1","PI3.KRT1",1
"218","PI3","CCND1","PI3.CCND1",1
"219","PI3","CD2","PI3.CD2",1
"220","PI3","MCF2","PI3.MCF2",1
"221","PI3","RUNX3","PI3.RUNX3",1
"222","PI3","ABCC2","PI3.ABCC2",1
"223","PI3","DSG1","PI3.DSG1",1
"224","PI3","GNMT","PI3.GNMT",1
"225","PI3","SOX17","PI3.SOX17",1
"226","PI3","WNT2","PI3.WNT2",1
"227","PI3","NOTCH3","PI3.NOTCH3",1
"228","PI3","SFN","PI3.SFN",1
"229","PI3","RASGRF1","PI3.RASGRF1",1
"230","PI3","GALR1","PI3.GALR1",1
"231","PI3","KLK10","PI3.KLK10",1
"232","PI3","EPHA5","PI3.EPHA5",1
"233","PI3","MYOD1","PI3.MYOD1",1
"234","PI3","IL8","PI3.IL8",1
