"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","CHI3L2","DLC1","CHI3L2.DLC1",0.00411670735740319
"2","CHI3L2","CD34","CHI3L2.CD34",0.00413261928001453
"3","PI3","CPA4","PI3.CPA4",0.00401005890797521
"4","MPO","MAPK4","MPO.MAPK4",0.00549698627607481
"5","MPO","X9.Sep","MPO.X9.Sep",0.00438648367097342
"6","DLC1","PADI4","DLC1.PADI4",0.00429191536293681
"7","DLC1","PEG10","DLC1.PEG10",0.00529621924921581
"8","PENK","PRSS1","PENK.PRSS1",0.00487859392468979
"9","PENK","HSPA2","PENK.HSPA2",0.00399975029658825
"10","DNAJC15","GFAP","DNAJC15.GFAP",0.00589483549181195
"11","PADI4","LIF","PADI4.LIF",0.00404822325064592
"12","CD9","TNFRSF10C","CD9.TNFRSF10C",0.00521760539003071
"13","GFAP","X9.Sep","GFAP.X9.Sep",0.00479613299922876
"14","EPO","STAT5A","EPO.STAT5A",0.00474264182456971
"15","EPO","ONECUT2","EPO.ONECUT2",0.00528544166597104
"16","EPO","PRSS1","EPO.PRSS1",0.00390276819664161
"17","EPO","TP73","EPO.TP73",0.0041629456287379
"18","EPO","ATP10A","EPO.ATP10A",0.00399849849973282
"19","EPO","WT1","EPO.WT1",0.00393879256008191
"20","EPO","DES","EPO.DES",0.00474926338557679
"21","STAT5A","ONECUT2","STAT5A.ONECUT2",0.00511636357158155
"22","STAT5A","ITK","STAT5A.ITK",0.00426294887900725
"23","STAT5A","HLA.DRA","STAT5A.HLA.DRA",0.00394269332328759
"24","STAT5A","TP73","STAT5A.TP73",0.00410370775135329
"25","STAT5A","ISL1","STAT5A.ISL1",0.00399269679367013
"26","STAT5A","WT1","STAT5A.WT1",0.00425020607910679
"27","STAT5A","PDE1B","STAT5A.PDE1B",0.00406276093211434
"28","ONECUT2","PRSS1","ONECUT2.PRSS1",0.00396464180297235
"29","ONECUT2","TP73","ONECUT2.TP73",0.00424521061390024
"30","ONECUT2","WT1","ONECUT2.WT1",0.00419619032665025
"31","PRKCDBP","CPA4","PRKCDBP.CPA4",0.00456457315038606
"32","PRKCDBP","LAT","PRKCDBP.LAT",0.00442137741765671
"33","PRKCDBP","ITK","PRKCDBP.ITK",0.00438328104475519
"34","PRKCDBP","IFNGR2","PRKCDBP.IFNGR2",0.00415574912823941
"35","PRKCDBP","ESR1","PRKCDBP.ESR1",0.00412637719384622
"36","PRKCDBP","ATP10A","PRKCDBP.ATP10A",0.00422213133909886
"37","PRKCDBP","LIF","PRKCDBP.LIF",0.0050114112320966
"38","TWIST1","EMR3","TWIST1.EMR3",0.00429436646686879
"39","TWIST1","TNFRSF10C","TWIST1.TNFRSF10C",0.00394191394518197
"40","TWIST1","CPA4","TWIST1.CPA4",0.00439936516589588
"41","TWIST1","LAT","TWIST1.LAT",0.00417526297339074
"42","TWIST1","ASCL2","TWIST1.ASCL2",0.00406239123739333
"43","TWIST1","NPY","TWIST1.NPY",0.00410577121383167
"44","TWIST1","ESR1","TWIST1.ESR1",0.00422390130013157
"45","TWIST1","LIF","TWIST1.LIF",0.00400509040077009
"46","TWIST1","VAMP8","TWIST1.VAMP8",0.00470405573254945
"47","TWIST1","FLT4","TWIST1.FLT4",0.00411640254727888
"48","EMR3","ITK","EMR3.ITK",0.00398305017255082
"49","EMR3","HLA.DRA","EMR3.HLA.DRA",0.00463291592790523
"50","EMR3","IFNGR2","EMR3.IFNGR2",0.00407766771976194
"51","EMR3","NPY","EMR3.NPY",0.00442860547208225
"52","EMR3","ESR1","EMR3.ESR1",0.0043964091998983
"53","EMR3","LIF","EMR3.LIF",0.00422876774228562
"54","SEMA3B","SNRPN","SEMA3B.SNRPN",0.00469940455171003
"55","SEMA3B","VAMP8","SEMA3B.VAMP8",0.00404062319353731
"56","TNFRSF10C","NPY","TNFRSF10C.NPY",0.00436472796393573
"57","TNFRSF10C","ESR1","TNFRSF10C.ESR1",0.00420233294667883
"58","TNFRSF10C","LIF","TNFRSF10C.LIF",0.00429914116861167
"59","TNFRSF10C","FLT4","TNFRSF10C.FLT4",0.00393316379431888
"60","CPA4","LAT","CPA4.LAT",0.00501800483434992
"61","CPA4","ASCL2","CPA4.ASCL2",0.00413997005969471
"62","CPA4","IFNGR2","CPA4.IFNGR2",0.00398409679029633
"63","CPA4","VAMP8","CPA4.VAMP8",0.00415751241641847
"64","LAT","ESR1","LAT.ESR1",0.00409192362629064
"65","LAT","LIF","LAT.LIF",0.00422262127735636
"66","ASCL2","ATP10A","ASCL2.ATP10A",0.00407052618432017
"67","ASCL2","VAMP8","ASCL2.VAMP8",0.00392651217457644
"68","ASCL2","FLT4","ASCL2.FLT4",0.00405421980973443
"69","ASCL2","PYCARD","ASCL2.PYCARD",0.00441065968252933
"70","ITK","HLA.DRA","ITK.HLA.DRA",0.00390992814116457
"71","ITK","IFNGR2","ITK.IFNGR2",0.00412877507067905
"72","ITK","PRSS1","ITK.PRSS1",0.00415504463518799
"73","ITK","ISL1","ITK.ISL1",0.00449624956535213
"74","ITK","ATP10A","ITK.ATP10A",0.00418680447112565
"75","ITK","LIF","ITK.LIF",0.00466316327109628
"76","ITK","RIPK3","ITK.RIPK3",0.00405793837897961
"77","HLA.DRA","IFNGR2","HLA.DRA.IFNGR2",0.00434788171543599
"78","HLA.DRA","PRSS1","HLA.DRA.PRSS1",0.00422263131845635
"79","HLA.DRA","NPY","HLA.DRA.NPY",0.0040527410513971
"80","HLA.DRA","ESR1","HLA.DRA.ESR1",0.00425108625851524
"81","HLA.DRA","TP73","HLA.DRA.TP73",0.00394712836129174
"82","HLA.DRA","ISL1","HLA.DRA.ISL1",0.00395360329619948
"83","HLA.DRA","WT1","HLA.DRA.WT1",0.00504980065413251
"84","IFNGR2","ISL1","IFNGR2.ISL1",0.00461537606469643
"85","IFNGR2","LIF","IFNGR2.LIF",0.00421205786272791
"86","IFNGR2","WT1","IFNGR2.WT1",0.00429344614943385
"87","PRSS1","ATP10A","PRSS1.ATP10A",0.00404825357553709
"88","PRSS1","WT1","PRSS1.WT1",0.00394222715885228
"89","PRSS1","HSPA2","PRSS1.HSPA2",0.00397122664476521
"90","NPY","ESR1","NPY.ESR1",0.00412499427618199
"91","NPY","LIF","NPY.LIF",0.00419919535491492
"92","NPY","TGFB2","NPY.TGFB2",0.00391635701680903
"93","ESR1","LIF","ESR1.LIF",0.00424391676217117
"94","ESR1","FLT4","ESR1.FLT4",0.00423838397502338
"95","ESR1","MYCL1","ESR1.MYCL1",0.00475405201301794
"96","TP73","ATP10A","TP73.ATP10A",0.00411848015780505
"97","TP73","WT1","TP73.WT1",0.00453757914473302
"98","ISL1","LIF","ISL1.LIF",0.00425719459452313
"99","ISL1","WT1","ISL1.WT1",0.00442400523946542
"100","ATP10A","FLT4","ATP10A.FLT4",0.0042658630710523
"101","ATP10A","SERPINB5","ATP10A.SERPINB5",0.0040124751050413
"102","KRT1","CD2","KRT1.CD2",0.00413296407590967
"103","KRT1","ETV1","KRT1.ETV1",0.00598201511971719
"104","IL1B","ABCC2","IL1B.ABCC2",0.00552459152901818
"105","IL1B","EIF2AK2","IL1B.EIF2AK2",0.0043152288452512
"106","MCF2","BLK","MCF2.BLK",0.00472797658439186
"107","ABCC2","CD44","ABCC2.CD44",0.00465856762413815
"108","DSG1","SFRP1","DSG1.SFRP1",0.00423455289910783
"109","DSG1","SPDEF","DSG1.SPDEF",0.00456971131504799
"110","DSG1","PROK2","DSG1.PROK2",0.00434190475308058
"111","DSG1","MAP3K9","DSG1.MAP3K9",0.00447846460051486
"112","MEG3","LTA","MEG3.LTA",0.0040159387392088
"113","MEG3","SPI1","MEG3.SPI1",0.00404682733222904
"114","SOX17","SFN","SOX17.SFN",0.00414658362690926
"115","SOX17","CYP2E1","SOX17.CYP2E1",0.00437338153005492
"116","BLK","SFN","BLK.SFN",0.00422542699695438
"117","NOTCH3","TFAP2C","NOTCH3.TFAP2C",0.00441116550062102
"118","RASGRF1","IL8","RASGRF1.IL8",0.00392999772661892
"119","KLK10","COL1A2","KLK10.COL1A2",0.00429868245044946
"120","KLK10","CSF2","KLK10.CSF2",0.0041669578135185
"121","PRSS8","SFRP1","PRSS8.SFRP1",0.00424315763836618
"122","PRSS8","TESK2","PRSS8.TESK2",0.00409512702965776
"123","SERPINA5","CASP8","SERPINA5.CASP8",0.00480598342847026
