"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","CHI3L2","IGFBP6","CHI3L2.IGFBP6",0.091307806713739
"2","CHI3L2","CD34","CHI3L2.CD34",0.308599443093581
"3","IGFBP6","MEST","IGFBP6.MEST",0.13751563386609
"4","IGFBP6","LMO2","IGFBP6.LMO2",0.0759635268929948
"5","PI3","PLAT","PI3.PLAT",0.227276469876948
"6","PI3","ACVR1","PI3.ACVR1",0.0779384978018287
"7","PI3","KRT13","PI3.KRT13",0.0751832523192574
"8","PI3","NRG1","PI3.NRG1",0.109931990015879
"9","PI3","MMP10","PI3.MMP10",0.0751401542212899
"10","MPO","X9.Sep","MPO.X9.Sep",0.0769389392605553
"11","MPO","AOC3","MPO.AOC3",0.0988845855327203
"12","MPO","PAX6","MPO.PAX6",0.078822687112153
"13","DLC1","FER","DLC1.FER",0.115444025763654
"14","PENK","PRSS1","PENK.PRSS1",0.413804076523765
"15","PENK","HSPA2","PENK.HSPA2",0.457875186272054
"16","PENK","ERCC6","PENK.ERCC6",0.0863618343291063
"17","PENK","MSH2","PENK.MSH2",0.650017811087342
"18","PENK","APOC1","PENK.APOC1",0.093186773202554
"19","PENK","GRPR","PENK.GRPR",0.0998497529411622
"20","PENK","RAP1A","PENK.RAP1A",0.476950887637623
"21","MAPK4","TNFRSF10C","MAPK4.TNFRSF10C",0.257988902209531
"22","MAPK4","FLT4","MAPK4.FLT4",0.257988902209531
"23","MAPK4","TNFSF8","MAPK4.TNFSF8",0.257988902209531
"24","MAPK4","MYOD1","MAPK4.MYOD1",0.257988902209531
"25","MAPK4","EDNRB","MAPK4.EDNRB",0.257988902209531
"26","MAPK4","KCNK4","MAPK4.KCNK4",0.257988902209531
"27","MAPK4","EYA4","MAPK4.EYA4",0.257988902209531
"28","MAPK4","SOD3","MAPK4.SOD3",0.257988902209531
"29","MAPK4","BDNF","MAPK4.BDNF",0.257988902209531
"30","MAPK4","NOTCH4","MAPK4.NOTCH4",0.257988902209531
"31","MAPK4","PDGFRB","MAPK4.PDGFRB",0.257988902209531
"32","MAPK4","HOXB13","MAPK4.HOXB13",0.257988902209531
"33","MAPK4","TERT","MAPK4.TERT",0.257988902209531
"34","MAPK4","DCC","MAPK4.DCC",0.257988902209531
"35","MAPK4","PMP22","MAPK4.PMP22",0.257988902209531
"36","MAPK4","CSF3R","MAPK4.CSF3R",0.257988902209531
"37","MAPK4","LYN","MAPK4.LYN",0.257988902209531
"38","MAPK4","APBA2","MAPK4.APBA2",0.257988902209531
"39","MAPK4","ALK","MAPK4.ALK",0.257988902209531
"40","MAPK4","EPHA2","MAPK4.EPHA2",0.257988902209531
"41","MAPK4","SLC6A8","MAPK4.SLC6A8",0.257988902209531
"42","MAPK4","NES","MAPK4.NES",0.257988902209531
"43","MAPK4","HLA.DQA2","MAPK4.HLA.DQA2",0.257988902209531
"44","MAPK4","CEACAM1","MAPK4.CEACAM1",0.257988902209531
"45","MAPK4","SLC22A2","MAPK4.SLC22A2",0.257988902209531
"46","MAPK4","MAS1","MAPK4.MAS1",0.257988902209531
"47","MAPK4","MST1R","MAPK4.MST1R",0.257988902209531
"48","MAPK4","CSF3","MAPK4.CSF3",0.257988902209531
"49","MAPK4","TFF1","MAPK4.TFF1",0.257988902209531
"50","MAPK4","TBX1","MAPK4.TBX1",0.257988902209531
"51","MAPK4","ACTG2","MAPK4.ACTG2",0.257988902209531
"52","MAPK4","PODXL","MAPK4.PODXL",0.257988902209531
"53","MAPK4","PRKAR1A","MAPK4.PRKAR1A",0.257988902209531
"54","MAPK4","PTGS2","MAPK4.PTGS2",0.257988902209531
"55","MAPK4","MAPK12","MAPK4.MAPK12",0.257988902209531
"56","MAPK4","APC","MAPK4.APC",0.257988902209531
"57","MAPK4","NAT2","MAPK4.NAT2",0.257988902209531
"58","MAPK4","ARHGDIB","MAPK4.ARHGDIB",0.257988902209531
"59","MAPK4","PTK6","MAPK4.PTK6",0.257988902209531
"60","MAPK4","RARRES1","MAPK4.RARRES1",0.257988902209531
"61","MAPK4","BMP6","MAPK4.BMP6",0.257988902209531
"62","MAPK4","TGFB3","MAPK4.TGFB3",0.257988902209531
"63","MAPK4","IGFBP2","MAPK4.IGFBP2",0.257988902209531
"64","MAPK4","LCN2","MAPK4.LCN2",0.257988902209531
"65","MAPK4","RUNX1T1","MAPK4.RUNX1T1",0.257988902209531
"66","MAPK4","IGFBP3","MAPK4.IGFBP3",0.257988902209531
"67","MAPK4","LAMB1","MAPK4.LAMB1",0.257988902209531
"68","MAPK4","FGF5","MAPK4.FGF5",0.257988902209531
"69","MAPK4","HSD17B12","MAPK4.HSD17B12",0.257988902209531
"70","MAPK4","DDIT3","MAPK4.DDIT3",0.257988902209531
"71","MAPK4","ITGB4","MAPK4.ITGB4",0.257988902209531
"72","MAPK4","GABRA5","MAPK4.GABRA5",0.257988902209531
"73","MAPK4","MPL","MAPK4.MPL",0.257988902209531
"74","MAPK4","EPM2A","MAPK4.EPM2A",0.257988902209531
"75","MAPK4","TYRO3","MAPK4.TYRO3",0.257988902209531
"76","MAPK4","AKT1","MAPK4.AKT1",0.257988902209531
"77","MAPK4","TRAF4","MAPK4.TRAF4",0.257988902209531
"78","MAPK4","NOTCH1","MAPK4.NOTCH1",0.257988902209531
"79","MAPK4","STK11","MAPK4.STK11",0.257988902209531
"80","MAPK4","EPS8","MAPK4.EPS8",0.257988902209531
"81","MAPK4","CTTN","MAPK4.CTTN",0.257988902209531
"82","MAPK4","TM7SF3","MAPK4.TM7SF3",0.257988902209531
"83","MAPK4","PLAUR","MAPK4.PLAUR",0.257988902209531
"84","MAPK4","TSG101","MAPK4.TSG101",0.257988902209531
"85","MAPK4","IGF2R","MAPK4.IGF2R",0.257988902209531
"86","MAPK4","FGF9","MAPK4.FGF9",0.257988902209531
"87","MAPK4","CDK6","MAPK4.CDK6",0.257988902209531
"88","MAPK4","JAG1","MAPK4.JAG1",0.257988902209531
"89","MAPK4","BAX","MAPK4.BAX",0.257988902209531
"90","MAPK4","CRIP1","MAPK4.CRIP1",0.257988902209531
"91","DNAJC15","DDR2","DNAJC15.DDR2",0.167378845227604
"92","DNAJC15","HGF","DNAJC15.HGF",0.163350186248059
"93","DNAJC15","ARAF","DNAJC15.ARAF",0.0885143732006989
"94","DNAJC15","TES","DNAJC15.TES",0.110865071290236
"95","DNAJC15","DNMT3B","DNAJC15.DNMT3B",0.418426555501905
"96","PADI4","IGF1","PADI4.IGF1",0.0772193820119455
"97","PADI4","FANCA","PADI4.FANCA",0.087342358661311
"98","GFAP","ASB4","GFAP.ASB4",0.0756930097651629
"99","GFAP","HS3ST2","GFAP.HS3ST2",0.115072358358904
"100","GFAP","AR","GFAP.AR",0.109467968713324
"101","GFAP","OAT","GFAP.OAT",0.100804990241871
"102","X9.Sep","HHIP","X9.Sep.HHIP",0.0803499294811475
"103","X9.Sep","H19","X9.Sep.H19",0.117145665665393
"104","EPO","DES","EPO.DES",0.657967247570317
"105","EPO","CSF1R","EPO.CSF1R",0.249953027359257
"106","STAT5A","ZIM2","STAT5A.ZIM2",0.148568588175368
"107","STAT5A","NKX3.1","STAT5A.NKX3.1",0.114799122292352
"108","STAT5A","PDE1B","STAT5A.PDE1B",0.426778374739827
"109","STAT5A","NGFR","STAT5A.NGFR",0.0750828321256382
"110","STAT5A","MAP2K6","STAT5A.MAP2K6",0.0871554125864019
"111","STAT5A","PTPN6","STAT5A.PTPN6",0.0771708659087361
"112","STAT5A","PPARD","STAT5A.PPARD",0.0885491826352062
"113","STAT5A","E2F5","STAT5A.E2F5",0.0942332603420631
"114","STAT5A","ETS2","STAT5A.ETS2",0.0779150021863259
"115","ONECUT2","FGFR4","ONECUT2.FGFR4",0.142738942948599
"116","ONECUT2","PSIP1","ONECUT2.PSIP1",0.0990561418241378
"117","EMR3","MYH11","EMR3.MYH11",0.0852197669023305
"118","TNFRSF10C","FLT4","TNFRSF10C.FLT4",0.257988902209531
"119","TNFRSF10C","TNFSF8","TNFRSF10C.TNFSF8",0.257988902209531
"120","TNFRSF10C","MYOD1","TNFRSF10C.MYOD1",0.257988902209531
"121","TNFRSF10C","EDNRB","TNFRSF10C.EDNRB",0.257988902209531
"122","TNFRSF10C","KCNK4","TNFRSF10C.KCNK4",0.257988902209531
"123","TNFRSF10C","EYA4","TNFRSF10C.EYA4",0.257988902209531
"124","TNFRSF10C","SOD3","TNFRSF10C.SOD3",0.257988902209531
"125","TNFRSF10C","BDNF","TNFRSF10C.BDNF",0.257988902209531
"126","TNFRSF10C","NOTCH4","TNFRSF10C.NOTCH4",0.257988902209531
"127","TNFRSF10C","PDGFRB","TNFRSF10C.PDGFRB",0.257988902209531
"128","TNFRSF10C","HOXB13","TNFRSF10C.HOXB13",0.257988902209531
"129","TNFRSF10C","TERT","TNFRSF10C.TERT",0.257988902209531
"130","TNFRSF10C","DCC","TNFRSF10C.DCC",0.257988902209531
"131","TNFRSF10C","PMP22","TNFRSF10C.PMP22",0.257988902209531
"132","TNFRSF10C","CSF3R","TNFRSF10C.CSF3R",0.257988902209531
"133","TNFRSF10C","LYN","TNFRSF10C.LYN",0.257988902209531
"134","TNFRSF10C","APBA2","TNFRSF10C.APBA2",0.257988902209531
"135","TNFRSF10C","ALK","TNFRSF10C.ALK",0.257988902209531
"136","TNFRSF10C","EPHA2","TNFRSF10C.EPHA2",0.257988902209531
"137","TNFRSF10C","SLC6A8","TNFRSF10C.SLC6A8",0.257988902209531
"138","TNFRSF10C","NES","TNFRSF10C.NES",0.257988902209531
"139","TNFRSF10C","HLA.DQA2","TNFRSF10C.HLA.DQA2",0.257988902209531
"140","TNFRSF10C","CEACAM1","TNFRSF10C.CEACAM1",0.257988902209531
"141","TNFRSF10C","SLC22A2","TNFRSF10C.SLC22A2",0.257988902209531
"142","TNFRSF10C","MAS1","TNFRSF10C.MAS1",0.257988902209531
"143","TNFRSF10C","MST1R","TNFRSF10C.MST1R",0.257988902209531
"144","TNFRSF10C","CSF3","TNFRSF10C.CSF3",0.257988902209531
"145","TNFRSF10C","TFF1","TNFRSF10C.TFF1",0.257988902209531
