"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","IGFBP6","MAPK4","IGFBP6.MAPK4",0.130733689396373
"2","MPO","MAPK4","MPO.MAPK4",0.18758540961596
"3","DLC1","PADI4","DLC1.PADI4",0.112221771598963
"4","PENK","MAPK4","PENK.MAPK4",0.102836657842594
"5","PENK","DNAJC15","PENK.DNAJC15",0.11117705363957
"6","PADI4","X9.Sep","PADI4.X9.Sep",0.139501162716719
"7","GFAP","X9.Sep","GFAP.X9.Sep",0.170030980504725
"8","EPO","STAT5A","EPO.STAT5A",0.215901740938857
"9","EPO","ONECUT2","EPO.ONECUT2",0.28685720052803
"10","STAT5A","ONECUT2","STAT5A.ONECUT2",0.279299877223678
"11","STAT5A","WT1","STAT5A.WT1",0.120334428215678
"12","PRKCDBP","CPA4","PRKCDBP.CPA4",0.125592536191848
"13","PRKCDBP","LAT","PRKCDBP.LAT",0.128609986986225
"14","PRKCDBP","ITK","PRKCDBP.ITK",0.100764104779275
"15","PRKCDBP","IFNGR2","PRKCDBP.IFNGR2",0.114401751772423
"16","PRKCDBP","ATP10A","PRKCDBP.ATP10A",0.115627209424226
"17","PRKCDBP","LIF","PRKCDBP.LIF",0.147493120454249
"18","TWIST1","SNRPN","TWIST1.SNRPN",0.118682386117955
"19","EMR3","HLA.DRA","EMR3.HLA.DRA",0.132008422517239
"20","EMR3","NPY","EMR3.NPY",0.124775083734224
"21","EMR3","ESR1","EMR3.ESR1",0.120430229503601
"22","SEMA3B","VAMP8","SEMA3B.VAMP8",0.168031394341774
"23","TNFRSF10C","NPY","TNFRSF10C.NPY",0.209728441514771
"24","TNFRSF10C","ESR1","TNFRSF10C.ESR1",0.173821961377217
"25","TNFRSF10C","LIF","TNFRSF10C.LIF",0.191092937206323
"26","CPA4","LAT","CPA4.LAT",0.226118276122512
"27","LAT","ESR1","LAT.ESR1",0.108820582706948
"28","LAT","LIF","LAT.LIF",0.11619261983689
"29","ASCL2","FLT4","ASCL2.FLT4",0.117121982673399
"30","ITK","PRSS1","ITK.PRSS1",0.100958303486516
"31","ITK","ISL1","ITK.ISL1",0.117092281974734
"32","ITK","LIF","ITK.LIF",0.16010901833412
"33","HLA.DRA","IFNGR2","HLA.DRA.IFNGR2",0.132891010307115
"34","HLA.DRA","PRSS1","HLA.DRA.PRSS1",0.110594702870541
"35","HLA.DRA","ESR1","HLA.DRA.ESR1",0.104232411845088
"36","HLA.DRA","WT1","HLA.DRA.WT1",0.199948231688251
"37","IFNGR2","ISL1","IFNGR2.ISL1",0.182642355892234
"38","IFNGR2","LIF","IFNGR2.LIF",0.10856470083593
"39","IFNGR2","WT1","IFNGR2.WT1",0.138172819286983
"40","PRSS1","ATP10A","PRSS1.ATP10A",0.101697499353555
"41","NPY","LIF","NPY.LIF",0.104662579545166
"42","TP73","WT1","TP73.WT1",0.122384327377059
"43","ISL1","WT1","ISL1.WT1",0.108214631815402
"44","ATP10A","FLT4","ATP10A.FLT4",0.176250943640137
"45","KRT1","CCND1","KRT1.CCND1",0.162309435149455
"46","KRT1","KLK10","KRT1.KLK10",0.104115597425062
"47","KRT1","COL1A2","KRT1.COL1A2",0.14125179865902
"48","MUC1","PHLDA2","MUC1.PHLDA2",0.137309778181363
"49","MUC1","FZD9","MUC1.FZD9",0.203398233334246
"50","IL1B","ABCC2","IL1B.ABCC2",0.545115022199624
"51","IL1B","COL1A2","IL1B.COL1A2",0.210214670591483
"52","IL1B","CASP8","IL1B.CASP8",0.113466859855846
"53","IL1B","FZD9","IL1B.FZD9",0.155954121669372
"54","CCND1","CYP2E1","CCND1.CYP2E1",0.128553989458324
"55","CD2","RUNX3","CD2.RUNX3",0.10351392203194
"56","CD2","GNMT","CD2.GNMT",0.103810528653382
"57","CD2","WNT2","CD2.WNT2",0.134921394728591
"58","CD2","NOTCH3","CD2.NOTCH3",0.121857969060113
"59","CD2","KLK10","CD2.KLK10",0.119123733546044
"60","MCF2","BLK","MCF2.BLK",0.274868409404455
"61","MCF2","SFN","MCF2.SFN",0.146375284291291
"62","MCF2","TNFSF8","MCF2.TNFSF8",0.19312936527319
"63","MCF2","PRSS8","MCF2.PRSS8",0.115022108813109
"64","MCF2","SFRP1","MCF2.SFRP1",0.229887928267332
"65","RUNX3","WNT2","RUNX3.WNT2",0.106478334975582
"66","ABCC2","COL1A2","ABCC2.COL1A2",0.199422366281219
"67","ABCC2","CASP8","ABCC2.CASP8",0.114341278557754
"68","ABCC2","FZD9","ABCC2.FZD9",0.101823757130174
"69","DSG1","BLK","DSG1.BLK",0.136042945590937
"70","DSG1","RASGRF1","DSG1.RASGRF1",0.135576770624733
"71","DSG1","PRSS8","DSG1.PRSS8",0.120287437466732
"72","DSG1","SFRP1","DSG1.SFRP1",0.130451455397488
"73","GNMT","NOTCH3","GNMT.NOTCH3",0.148787869521852
"74","GNMT","SFN","GNMT.SFN",0.224967833871058
"75","GNMT","RASGRF1","GNMT.RASGRF1",0.145322030986601
"76","GNMT","TNFSF8","GNMT.TNFSF8",0.118721391228277
"77","GNMT","EPHA5","GNMT.EPHA5",0.112761669893763
"78","GNMT","IL8","GNMT.IL8",0.103293367292977
"79","GNMT","KCNQ1","GNMT.KCNQ1",0.141737446950944
"80","SOX17","CYP2E1","SOX17.CYP2E1",0.196979587127463
"81","BLK","TNFSF8","BLK.TNFSF8",0.155123200511608
"82","BLK","PRSS8","BLK.PRSS8",0.160551144089953
"83","BLK","SFRP1","BLK.SFRP1",0.149961474309109
"84","SLC14A1","MYOD1","SLC14A1.MYOD1",0.122328648238706
"85","SLC14A1","PHLDA2","SLC14A1.PHLDA2",0.128716036259689
"86","NOTCH3","SFN","NOTCH3.SFN",0.12385483946577
"87","NOTCH3","EPHA5","NOTCH3.EPHA5",0.150502307994666
"88","NOTCH3","KCNQ1","NOTCH3.KCNQ1",0.164258962246494
"89","SFN","RASGRF1","SFN.RASGRF1",0.142374010064505
"90","SFN","TNFSF8","SFN.TNFSF8",0.171206192368512
"91","SFN","KCNQ1","SFN.KCNQ1",0.114676518732408
"92","SFN","PRSS8","SFN.PRSS8",0.134042959021974
"93","SFN","SFRP1","SFN.SFRP1",0.166513185910572
"94","RASGRF1","TNFSF8","RASGRF1.TNFSF8",0.120332025395203
"95","RASGRF1","GALR1","RASGRF1.GALR1",0.126340537589944
"96","RASGRF1","EPHA5","RASGRF1.EPHA5",0.106463062543307
"97","RASGRF1","KCNQ1","RASGRF1.KCNQ1",0.22803647824011
"98","RASGRF1","PRSS8","RASGRF1.PRSS8",0.133357025261644
