"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","CHI3L2","PI3","CHI3L2.PI3",1
"2","CHI3L2","DLC1","CHI3L2.DLC1",1
"3","CHI3L2","PENK","CHI3L2.PENK",1
"4","CHI3L2","PADI4","CHI3L2.PADI4",1
"5","CHI3L2","CD9","CHI3L2.CD9",1
"6","CHI3L2","EPO","CHI3L2.EPO",1
"7","CHI3L2","STAT5A","CHI3L2.STAT5A",1
"8","CHI3L2","ONECUT2","CHI3L2.ONECUT2",1
"9","CHI3L2","PRKCDBP","CHI3L2.PRKCDBP",1
"10","CHI3L2","TWIST1","CHI3L2.TWIST1",1
"11","CHI3L2","EMR3","CHI3L2.EMR3",1
"12","CHI3L2","SEMA3B","CHI3L2.SEMA3B",1
"13","CHI3L2","TNFRSF10C","CHI3L2.TNFRSF10C",1
"14","CHI3L2","CPA4","CHI3L2.CPA4",1
"15","CHI3L2","LAT","CHI3L2.LAT",1
"16","CHI3L2","ASCL2","CHI3L2.ASCL2",1
"17","CHI3L2","ITK","CHI3L2.ITK",1
"18","CHI3L2","HLA.DRA","CHI3L2.HLA.DRA",1
"19","CHI3L2","IFNGR2","CHI3L2.IFNGR2",1
"20","CHI3L2","PRSS1","CHI3L2.PRSS1",1
"21","CHI3L2","NPY","CHI3L2.NPY",1
"22","CHI3L2","ESR1","CHI3L2.ESR1",1
"23","CHI3L2","TP73","CHI3L2.TP73",1
"24","CHI3L2","ISL1","CHI3L2.ISL1",1
"25","CHI3L2","ATP10A","CHI3L2.ATP10A",1
"26","CHI3L2","SNRPN","CHI3L2.SNRPN",1
"27","CHI3L2","LIF","CHI3L2.LIF",1
"28","CHI3L2","VAMP8","CHI3L2.VAMP8",1
"29","CHI3L2","FLT4","CHI3L2.FLT4",1
"30","CHI3L2","WT1","CHI3L2.WT1",1
"31","CHI3L2","PLA2G2A","CHI3L2.PLA2G2A",1
"32","CHI3L2","EDNRB","CHI3L2.EDNRB",1
"33","CHI3L2","HSPA2","CHI3L2.HSPA2",1
"34","CHI3L2","RIPK3","CHI3L2.RIPK3",1
"35","CHI3L2","GFI1","CHI3L2.GFI1",1
"36","CHI3L2","KRAS","CHI3L2.KRAS",1
"37","PI3","DLC1","PI3.DLC1",1
"38","PI3","PENK","PI3.PENK",1
"39","PI3","PADI4","PI3.PADI4",1
"40","PI3","CD9","PI3.CD9",1
"41","PI3","EPO","PI3.EPO",1
"42","PI3","STAT5A","PI3.STAT5A",1
"43","PI3","ONECUT2","PI3.ONECUT2",1
"44","PI3","PRKCDBP","PI3.PRKCDBP",1
"45","PI3","TWIST1","PI3.TWIST1",1
"46","PI3","EMR3","PI3.EMR3",1
"47","PI3","SEMA3B","PI3.SEMA3B",1
"48","PI3","TNFRSF10C","PI3.TNFRSF10C",1
"49","PI3","CPA4","PI3.CPA4",1
"50","PI3","LAT","PI3.LAT",1
"51","PI3","ASCL2","PI3.ASCL2",1
"52","PI3","ITK","PI3.ITK",1
"53","PI3","HLA.DRA","PI3.HLA.DRA",1
"54","PI3","IFNGR2","PI3.IFNGR2",1
"55","PI3","PRSS1","PI3.PRSS1",1
"56","PI3","NPY","PI3.NPY",1
"57","PI3","ESR1","PI3.ESR1",1
"58","PI3","TP73","PI3.TP73",1
"59","PI3","ISL1","PI3.ISL1",1
"60","PI3","ATP10A","PI3.ATP10A",1
"61","PI3","SNRPN","PI3.SNRPN",1
"62","PI3","LIF","PI3.LIF",1
"63","PI3","VAMP8","PI3.VAMP8",1
"64","PI3","FLT4","PI3.FLT4",1
"65","PI3","WT1","PI3.WT1",1
"66","PI3","PLA2G2A","PI3.PLA2G2A",1
