"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","MAPK4","HLA.DRA","MAPK4.HLA.DRA",0.00223846386698074
"2","GFAP","PRKCDBP","GFAP.PRKCDBP",0.00223271884429522
"3","CPA4","SLC14A1","CPA4.SLC14A1",0.0024289423288293
"4","LAT","ASCL2","LAT.ASCL2",0.0022575986558576
"5","ATP10A","S100A4","ATP10A.S100A4",0.00216632636003068
"6","MEG3","FGF1","MEG3.FGF1",0.00210916629415394
"7","WNT2","PGR","WNT2.PGR",0.00226679538422005
"8","SLC14A1","FGF6","SLC14A1.FGF6",0.00224022821520363
"9","MYOD1","CYP2E1","MYOD1.CYP2E1",0.00212821763032722
"10","FZD9","PLA2G2A","FZD9.PLA2G2A",0.00211714662970557
"11","SOX1","CD86","SOX1.CD86",0.00216507178869593
"12","CALCA","ASB4","CALCA.ASB4",0.00217766817120787
"13","RIPK3","CDC25B","RIPK3.CDC25B",0.00217398069990891
"14","KCNK4","LTA","KCNK4.LTA",0.00216382738265944
"15","GUCY2F","TJP1","GUCY2F.TJP1",0.00217617239539835
"16","GDF10","NEFL","GDF10.NEFL",0.00215026872861875
"17","THPO","CAPG","THPO.CAPG",0.00217436836958843
"18","SERPINB5","FHIT","SERPINB5.FHIT",0.00231935738274413
"19","NTSR1","CD34","NTSR1.CD34",0.00210464495731186
"20","NTSR1","ERBB3","NTSR1.ERBB3",0.00213650210360529
"21","MEST","MAF","MEST.MAF",0.0021077666512506
"22","MMP2","SLC5A8","MMP2.SLC5A8",0.0021075754867861
"23","SLC5A8","CD34","SLC5A8.CD34",0.0021225813431714
"24","CD34","TBX1","CD34.TBX1",0.0024704525624955
"25","SLC22A18","PLAT","SLC22A18.PLAT",0.00223485162554949
"26","SLC22A18","ACVR1","SLC22A18.ACVR1",0.00211992379905142
"27","OPCML","CSF1R","OPCML.CSF1R",0.00231950793565971
"28","DCC","CDKN1B","DCC.CDKN1B",0.0023520040054608
"29","HHIP","CSF1R","HHIP.CSF1R",0.0021211804190898
"30","FGF12","CCKAR","FGF12.CCKAR",0.00212357629298793
"31","CSF1R","CCKAR","CSF1R.CCKAR",0.00217681182838346
"32","NBL1","MALT1","NBL1.MALT1",0.00211164112531379
"33","ADCYAP1","LIMK1","ADCYAP1.LIMK1",0.00211955503338075
"34","ADCYAP1","PPARD","ADCYAP1.PPARD",0.00213687454887925
