"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","PI3","MPO","PI3.MPO",0.680712398323385
"2","PI3","MAPK4","PI3.MAPK4",0.680712398323385
"3","PI3","DNAJC15","PI3.DNAJC15",0.680712398323385
"4","PI3","GFAP","PI3.GFAP",0.680712398323385
"5","PI3","STAT5A","PI3.STAT5A",0.680712398323385
"6","PI3","ITK","PI3.ITK",0.680712398323385
"7","PI3","HLA.DRA","PI3.HLA.DRA",0.680712398323385
"8","PI3","PRSS1","PI3.PRSS1",0.680712398323385
"9","PI3","KRT1","PI3.KRT1",0.680712398323385
"10","PI3","MUC1","PI3.MUC1",0.680712398323385
"11","PI3","CD2","PI3.CD2",0.680712398323385
"12","PI3","SOX17","PI3.SOX17",0.680712398323385
"13","PI3","WNT2","PI3.WNT2",0.680712398323385
"14","PI3","NOTCH3","PI3.NOTCH3",0.680712398323385
"15","PI3","EPHA5","PI3.EPHA5",0.680712398323385
"16","PI3","PRSS8","PI3.PRSS8",0.680712398323385
"17","PI3","FZD9","PI3.FZD9",0.680712398323385
"18","PI3","PLA2G2A","PI3.PLA2G2A",0.680712398323385
"19","PI3","MAGEC3","PI3.MAGEC3",0.680712398323385
"20","PI3","SFTPD","PI3.SFTPD",0.680712398323385
"21","PI3","DIO3","PI3.DIO3",0.680712398323385
"22","PI3","HPN","PI3.HPN",0.680712398323385
"23","PI3","SOX1","PI3.SOX1",0.680712398323385
"24","PI3","RIPK3","PI3.RIPK3",0.680712398323385
"25","PI3","KCNK4","PI3.KCNK4",0.680712398323385
"26","PI3","COL18A1","PI3.COL18A1",0.680712398323385
"27","PI3","DES","PI3.DES",0.680712398323385
"28","PI3","SOD3","PI3.SOD3",0.680712398323385
"29","PI3","IGF1","PI3.IGF1",0.680712398323385
"30","PI3","IL18BP","PI3.IL18BP",0.680712398323385
"31","PI3","BDNF","PI3.BDNF",0.680712398323385
"32","PI3","VAV1","PI3.VAV1",0.680712398323385
"33","PI3","GDF10","PI3.GDF10",0.680712398323385
"34","PI3","FES","PI3.FES",0.680712398323385
"35","PI3","THPO","PI3.THPO",0.680712398323385
"36","PI3","LTA","PI3.LTA",0.680712398323385
"37","PI3","EGR4","PI3.EGR4",0.680712398323385
"38","PI3","CAPG","PI3.CAPG",0.680712398323385
"39","PI3","NCL","PI3.NCL",0.680712398323385
"40","PI3","MMP14","PI3.MMP14",0.680712398323385
"41","PI3","MMP3","PI3.MMP3",0.680712398323385
"42","PI3","GAS7","PI3.GAS7",0.680712398323385
"43","PI3","HOXB2","PI3.HOXB2",0.680712398323385
"44","PI3","MMP2","PI3.MMP2",0.680712398323385
"45","PI3","NPR2","PI3.NPR2",0.680712398323385
"46","PI3","OPCML","PI3.OPCML",0.680712398323385
"47","PI3","ERG","PI3.ERG",0.680712398323385
"48","PI3","HHIP","PI3.HHIP",0.680712398323385
"49","PI3","CSF1R","PI3.CSF1R",0.680712398323385
"50","PI3","CCKAR","PI3.CCKAR",0.680712398323385
"51","PI3","NBL1","PI3.NBL1",0.680712398323385
"52","PI3","TIAM1","PI3.TIAM1",0.680712398323385
"53","PI3","AIM2","PI3.AIM2",0.680712398323385
"54","PI3","MCAM","PI3.MCAM",0.680712398323385
"55","PI3","ROR2","PI3.ROR2",0.680712398323385
"56","PI3","PIK3R1","PI3.PIK3R1",0.680712398323385
"57","PI3","ADCYAP1","PI3.ADCYAP1",0.680712398323385
"58","PI3","ASCL1","PI3.ASCL1",0.680712398323385
"59","PI3","AHR","PI3.AHR",0.680712398323385
"60","PI3","OGG1","PI3.OGG1",0.680712398323385
"61","PI3","LIMK1","PI3.LIMK1",0.680712398323385
"62","PI3","LYN","PI3.LYN",0.680712398323385
"63","PI3","FOLR1","PI3.FOLR1",0.680712398323385
"64","PI3","S100A2","PI3.S100A2",0.680712398323385
"65","PI3","TNFRSF1B","PI3.TNFRSF1B",0.680712398323385
"66","PI3","IFNG","PI3.IFNG",0.680712398323385
"67","PI3","TRIM29","PI3.TRIM29",0.680712398323385
"68","PI3","MMP19","PI3.MMP19",0.680712398323385
"69","PI3","ALK","PI3.ALK",0.680712398323385
"70","PI3","FGR","PI3.FGR",0.680712398323385
"71","PI3","DBC1","PI3.DBC1",0.680712398323385
"72","PI3","HBEGF","PI3.HBEGF",0.680712398323385
"73","PI3","EPHA8","PI3.EPHA8",0.680712398323385
"74","PI3","SLC6A8","PI3.SLC6A8",0.680712398323385
"75","PI3","MECP2","PI3.MECP2",0.680712398323385
"76","PI3","RAD54B","PI3.RAD54B",0.680712398323385
"77","PI3","FGFR1","PI3.FGFR1",0.680712398323385
"78","PI3","MATK","PI3.MATK",0.680712398323385
"79","PI3","SFTPB","PI3.SFTPB",0.680712398323385
"80","PI3","MMP9","PI3.MMP9",0.680712398323385
"81","PI3","HLA.DPB1","PI3.HLA.DPB1",0.680712398323385
"82","PI3","IRAK1","PI3.IRAK1",0.680712398323385
"83","PI3","TRPM5","PI3.TRPM5",0.680712398323385
"84","PI3","CTLA4","PI3.CTLA4",0.680712398323385
"85","PI3","HLA.DQA2","PI3.HLA.DQA2",0.680712398323385
"86","PI3","CEACAM1","PI3.CEACAM1",0.680712398323385
"87","PI3","AXIN1","PI3.AXIN1",0.680712398323385
"88","PI3","HLF","PI3.HLF",0.680712398323385
"89","PI3","SPI1","PI3.SPI1",0.680712398323385
"90","PI3","PGF","PI3.PGF",0.680712398323385
"91","PI3","RET","PI3.RET",0.680712398323385
"92","PI3","IL1A","PI3.IL1A",0.680712398323385
"93","PI3","SLC5A5","PI3.SLC5A5",0.680712398323385
"94","PI3","HCK","PI3.HCK",0.680712398323385
"95","PI3","RIPK4","PI3.RIPK4",0.680712398323385
"96","PI3","MT1A","PI3.MT1A",0.680712398323385
"97","PI3","LMO2","PI3.LMO2",0.680712398323385
"98","PI3","TUBB3","PI3.TUBB3",0.680712398323385
"99","PI3","TGFBI","PI3.TGFBI",0.680712398323385
"100","PI3","ALPL","PI3.ALPL",0.680712398323385
"101","PI3","CCKBR","PI3.CCKBR",0.680712398323385
"102","PI3","ABO","PI3.ABO",0.680712398323385
"103","PI3","KRT13","PI3.KRT13",0.680712398323385
"104","PI3","HDAC9","PI3.HDAC9",0.680712398323385
"105","PI3","S100A4","PI3.S100A4",0.680712398323385
"106","PI3","TFAP2C","PI3.TFAP2C",0.680712398323385
