"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","CHI3L2","TNFRSF10C","CHI3L2.TNFRSF10C",0.223705339900079
"2","CHI3L2","NCL","CHI3L2.NCL",0.181790954867043
"3","CHI3L2","ZNF215","CHI3L2.ZNF215",0.219531716000374
"4","CHI3L2","NFKB1","CHI3L2.NFKB1",0.248889750381399
"5","IGFBP6","ASB4","IGFBP6.ASB4",0.135292669383495
"6","IGFBP6","ASCL1","IGFBP6.ASCL1",0.132396937356641
"7","IGFBP6","MMP9","IGFBP6.MMP9",0.245165911051057
"8","IGFBP6","MMP7","IGFBP6.MMP7",0.168619217096588
"9","IGFBP6","F2R","IGFBP6.F2R",0.175204437590492
"10","IGFBP6","EPHB6","IGFBP6.EPHB6",0.136324544688643
"11","IGFBP6","DDR1","IGFBP6.DDR1",0.16291296560051
"12","IGFBP6","MLLT6","IGFBP6.MLLT6",0.145971751290964
"13","PI3","PIK3R1","PI3.PIK3R1",0.151783074069239
"14","PI3","SLC5A5","PI3.SLC5A5",0.322863752023959
"15","PI3","CD44","PI3.CD44",0.374213607487459
"16","PI3","LRP2","PI3.LRP2",0.315210860330751
"17","MPO","HOXB13","MPO.HOXB13",0.187116753249445
"18","MPO","APC","MPO.APC",0.128622781845954
"19","MPO","TNFRSF1A","MPO.TNFRSF1A",0.159982031732839
"20","MPO","ACVR1B","MPO.ACVR1B",0.135411204395887
"21","MPO","TNC","MPO.TNC",0.144997475395476
"22","DLC1","DCC","DLC1.DCC",0.166208746780238
"23","DLC1","RARB","DLC1.RARB",0.21850346688754
"24","DLC1","CDKN1B","DLC1.CDKN1B",0.240629950829888
"25","PENK","CTNNB1","PENK.CTNNB1",0.214130592755345
"26","DNAJC15","CDKN1C","DNAJC15.CDKN1C",0.133649970128197
"27","DNAJC15","FGF12","DNAJC15.FGF12",0.642961388549147
"28","DNAJC15","VBP1","DNAJC15.VBP1",0.138808054367046
"29","PADI4","X9.Sep","PADI4.X9.Sep",0.155940024577511
"30","PADI4","EYA4","PADI4.EYA4",0.176953859369405
"31","PADI4","AHR","PADI4.AHR",0.129036839024621
"32","PADI4","TGFBI","PADI4.TGFBI",0.137747185748721
"33","PADI4","IRF5","PADI4.IRF5",0.133265348468771
"34","PADI4","PXN","PADI4.PXN",0.447868217387197
"35","GFAP","ISL1","GFAP.ISL1",0.402890321529133
"36","GFAP","MUC1","GFAP.MUC1",0.402890321529133
"37","GFAP","DSG1","GFAP.DSG1",0.402890321529133
"38","GFAP","BLK","GFAP.BLK",0.402890321529133
"39","GFAP","SFN","GFAP.SFN",0.402890321529133
"40","GFAP","TNFSF8","GFAP.TNFSF8",0.402890321529133
"41","GFAP","COL1A2","GFAP.COL1A2",0.402890321529133
"42","GFAP","SFRP1","GFAP.SFRP1",0.402890321529133
"43","GFAP","AFF3","GFAP.AFF3",0.402890321529133
"44","GFAP","PLA2G2A","GFAP.PLA2G2A",0.402890321529133
"45","GFAP","DIO3","GFAP.DIO3",0.402890321529133
"46","GFAP","CALCA","GFAP.CALCA",0.402890321529133
"47","GFAP","CHFR","GFAP.CHFR",0.402890321529133
"48","GFAP","THPO","GFAP.THPO",0.402890321529133
"49","GFAP","MGMT","GFAP.MGMT",0.402890321529133
"50","GFAP","ALOX12","GFAP.ALOX12",0.402890321529133
"51","GFAP","MMP3","GFAP.MMP3",0.402890321529133
"52","GFAP","NTSR1","GFAP.NTSR1",0.402890321529133
"53","GFAP","MMP2","GFAP.MMP2",0.402890321529133
"54","GFAP","SLC5A8","GFAP.SLC5A8",0.402890321529133
"55","GFAP","CD34","GFAP.CD34",0.402890321529133
"56","GFAP","SLC22A18","GFAP.SLC22A18",0.402890321529133
"57","GFAP","PLAT","GFAP.PLAT",0.402890321529133
"58","GFAP","HOXA5","GFAP.HOXA5",0.402890321529133
"59","GFAP","NBL1","GFAP.NBL1",0.402890321529133
"60","GFAP","LCK","GFAP.LCK",0.402890321529133
"61","GFAP","TIAM1","GFAP.TIAM1",0.402890321529133
"62","GFAP","MLF1","GFAP.MLF1",0.402890321529133
"63","GFAP","LIMK1","GFAP.LIMK1",0.402890321529133
"64","GFAP","EPHX1","GFAP.EPHX1",0.402890321529133
"65","GFAP","AOC3","GFAP.AOC3",0.402890321529133
"66","GFAP","SLIT2","GFAP.SLIT2",0.402890321529133
"67","GFAP","AR","GFAP.AR",0.402890321529133
"68","GFAP","MMP19","GFAP.MMP19",0.402890321529133
"69","GFAP","HTR1B","GFAP.HTR1B",0.402890321529133
"70","GFAP","FGR","GFAP.FGR",0.402890321529133
"71","GFAP","DBC1","GFAP.DBC1",0.402890321529133
"72","GFAP","RAD54B","GFAP.RAD54B",0.402890321529133
"73","GFAP","CTLA4","GFAP.CTLA4",0.402890321529133
"74","GFAP","PDGFRA","GFAP.PDGFRA",0.402890321529133
"75","GFAP","BCAM","GFAP.BCAM",0.402890321529133
"76","GFAP","HLF","GFAP.HLF",0.402890321529133
"77","GFAP","FRZB","GFAP.FRZB",0.402890321529133
"78","GFAP","DLG3","GFAP.DLG3",0.402890321529133
"79","GFAP","ABO","GFAP.ABO",0.402890321529133
"80","GFAP","CREB1","GFAP.CREB1",0.402890321529133
"81","GFAP","TBX1","GFAP.TBX1",0.402890321529133
"82","GFAP","ICA1","GFAP.ICA1",0.402890321529133
"83","GFAP","AXL","GFAP.AXL",0.402890321529133
"84","GFAP","PTPRH","GFAP.PTPRH",0.402890321529133
"85","GFAP","TGFB2","GFAP.TGFB2",0.402890321529133
"86","GFAP","DAB2","GFAP.DAB2",0.402890321529133
"87","GFAP","DKC1","GFAP.DKC1",0.402890321529133
"88","GFAP","WNT5A","GFAP.WNT5A",0.402890321529133
"89","GFAP","NOS3","GFAP.NOS3",0.402890321529133
"90","GFAP","MAP2K6","GFAP.MAP2K6",0.402890321529133
"91","GFAP","MMP1","GFAP.MMP1",0.402890321529133
"92","GFAP","PTPN6","GFAP.PTPN6",0.402890321529133
"93","GFAP","PPARG","GFAP.PPARG",0.402890321529133
"94","GFAP","TMEFF1","GFAP.TMEFF1",0.402890321529133
"95","GFAP","BMPR1A","GFAP.BMPR1A",0.402890321529133
"96","GFAP","DDB2","GFAP.DDB2",0.402890321529133
"97","GFAP","MCC","GFAP.MCC",0.402890321529133
"98","GFAP","ETS1","GFAP.ETS1",0.402890321529133
"99","GFAP","MPL","GFAP.MPL",0.402890321529133
"100","GFAP","TYRO3","GFAP.TYRO3",0.402890321529133
"101","GFAP","ITGA2","GFAP.ITGA2",0.402890321529133
"102","GFAP","LMTK2","GFAP.LMTK2",0.402890321529133
"103","GFAP","EPHA1","GFAP.EPHA1",0.402890321529133
"104","GFAP","MAD2L1","GFAP.MAD2L1",0.402890321529133
"105","GFAP","LMO1","GFAP.LMO1",0.402890321529133
"106","GFAP","MTA1","GFAP.MTA1",0.402890321529133
"107","GFAP","TM7SF3","GFAP.TM7SF3",0.402890321529133
"108","GFAP","KIAA1804","GFAP.KIAA1804",0.402890321529133
"109","GFAP","DNMT3B","GFAP.DNMT3B",0.402890321529133
"110","GFAP","CRK","GFAP.CRK",0.402890321529133
"111","GFAP","PLAUR","GFAP.PLAUR",0.402890321529133
"112","GFAP","RAF1","GFAP.RAF1",0.402890321529133
"113","GFAP","MALT1","GFAP.MALT1",0.402890321529133
"114","GFAP","CASP6","GFAP.CASP6",0.402890321529133
"115","X9.Sep","KRT1","X9.Sep.KRT1",0.127720530028351
"116","X9.Sep","PXN","X9.Sep.PXN",0.20501576726475
"117","EPO","ERG","EPO.ERG",0.138862306380042
"118","EPO","RASSF1","EPO.RASSF1",0.188574970965323
"119","EPO","HBEGF","EPO.HBEGF",0.130868246661361
"120","EPO","EPHA8","EPO.EPHA8",0.343830799900061
"121","EPO","IGFBP1","EPO.IGFBP1",0.179214847977579
"122","EPO","CTGF","EPO.CTGF",0.197499654415202
"123","EPO","FANCA","EPO.FANCA",0.156443490148874
"124","STAT5A","LAT","STAT5A.LAT",0.129969994665613
"125","STAT5A","PLXDC2","STAT5A.PLXDC2",0.17885434030773
"126","ONECUT2","CDKN1C","ONECUT2.CDKN1C",0.128457624207415
"127","ONECUT2","SPDEF","ONECUT2.SPDEF",0.138023867420442
"128","ONECUT2","TSG101","ONECUT2.TSG101",0.359452071452244
"129","TWIST1","ERG","TWIST1.ERG",0.127573511160591
"130","EMR3","SH3BP2","EMR3.SH3BP2",0.138561473198823
"131","SEMA3B","ELK1","SEMA3B.ELK1",0.182466215617826
"132","TNFRSF10C","NCL","TNFRSF10C.NCL",0.170151453710782
"133","CPA4","IL8","CPA4.IL8",0.125965325252829
"134","CPA4","DCN","CPA4.DCN",0.134459957357063
"135","CPA4","TFAP2C","CPA4.TFAP2C",0.259516771732366
"136","LAT","ASCL2","LAT.ASCL2",0.13711415173187
"137","LAT","PLXDC2","LAT.PLXDC2",0.155582942992255
"138","ASCL2","OSM","ASCL2.OSM",0.247564536304233
"139","ITK","FGF8","ITK.FGF8",0.373669257168065
"140","HLA.DRA","TFF2","HLA.DRA.TFF2",0.257440412022034
"141","HLA.DRA","PDGFB","HLA.DRA.PDGFB",0.562238454756999
"142","HLA.DRA","THBS1","HLA.DRA.THBS1",0.36377552918284
"143","HLA.DRA","HPSE","HLA.DRA.HPSE",0.398736646511762
"144","IFNGR2","CDH1","IFNGR2.CDH1",0.138457290261968
"145","IFNGR2","FGF5","IFNGR2.FGF5",0.137646405645047
"146","PRSS1","BCR","PRSS1.BCR",0.126570224406991
"147","ESR1","LIG4","ESR1.LIG4",0.159104115172016
"148","ESR1","SPI1","ESR1.SPI1",0.17793290530299
"149","ESR1","MFAP4","ESR1.MFAP4",0.264675071204272
"150","ESR1","CD1A","ESR1.CD1A",0.160244035003226
"151","ESR1","FANCA","ESR1.FANCA",0.264779932755444
"152","TP73","ARAF","TP73.ARAF",0.135611396742122
"153","TP73","CRIP1","TP73.CRIP1",0.287076652429132
"154","ISL1","MUC1","ISL1.MUC1",0.402890321529133
"155","ISL1","DSG1","ISL1.DSG1",0.402890321529133
