"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","CHI3L2","PI3","CHI3L2.PI3",0.284560146436257
"2","CHI3L2","PRSS1","CHI3L2.PRSS1",0.470026226190685
"3","CHI3L2","ATP10A","CHI3L2.ATP10A",0.415587606108807
"4","CHI3L2","DSG1","CHI3L2.DSG1",0.287973936758353
"5","CHI3L2","MEG3","CHI3L2.MEG3",0.450533582896526
"6","IGFBP6","PI3","IGFBP6.PI3",0.388444205563443
"7","PI3","TWIST1","PI3.TWIST1",0.294937891638339
"8","PI3","CPA4","PI3.CPA4",0.278476004566486
"9","MPO","GFAP","MPO.GFAP",0.307681146584601
"10","MPO","STAT5A","MPO.STAT5A",0.313262924801713
"11","MPO","WT1","MPO.WT1",0.297615173102774
"12","MPO","CD2","MPO.CD2",0.322181976741863
"13","MPO","NOTCH3","MPO.NOTCH3",0.336199534309162
"14","PENK","WT1","PENK.WT1",0.308898442800762
"15","MAPK4","GFAP","MAPK4.GFAP",0.381379139245209
"16","MAPK4","HLA.DRA","MAPK4.HLA.DRA",0.585290896836698
"17","MAPK4","GNMT","MAPK4.GNMT",0.316542639146312
"18","DNAJC15","PRKCDBP","DNAJC15.PRKCDBP",0.282343614029744
"19","DNAJC15","TNFRSF10C","DNAJC15.TNFRSF10C",0.426450878108034
"20","DNAJC15","KRT1","DNAJC15.KRT1",0.341413674167524
"21","DNAJC15","MUC1","DNAJC15.MUC1",0.43345874339456
"22","PADI4","DMP1","PADI4.DMP1",0.287710389524822
"23","PADI4","ITGA2","PADI4.ITGA2",0.323568260023844
"24","PADI4","PCDH1","PADI4.PCDH1",0.340039331152623
"25","CD9","HLA.DRA","CD9.HLA.DRA",0.298288456111488
"26","CD9","CD2","CD9.CD2",0.292161652877311
"27","GFAP","STAT5A","GFAP.STAT5A",0.345470186758464
"28","GFAP","HLA.DRA","GFAP.HLA.DRA",0.378032562916755
"29","GFAP","SNRPN","GFAP.SNRPN",0.359880997259669
"30","GFAP","NOTCH3","GFAP.NOTCH3",0.627813570059466
"31","X9.Sep","SEMA3B","X9.Sep.SEMA3B",0.32364318606679
"32","EPO","SEMA3B","EPO.SEMA3B",0.279803956903321
"33","STAT5A","ITK","STAT5A.ITK",0.321839486670537
"34","STAT5A","HLA.DRA","STAT5A.HLA.DRA",0.355970829222485
"35","STAT5A","CD2","STAT5A.CD2",0.514044702090771
"36","ONECUT2","LAT","ONECUT2.LAT",0.523871343144795
"37","ONECUT2","ASCL2","ONECUT2.ASCL2",0.600104818983572
"38","ONECUT2","CCND1","ONECUT2.CCND1",0.277786925632935
"39","PRKCDBP","TP73","PRKCDBP.TP73",0.298655737969061
"40","TWIST1","FLT4","TWIST1.FLT4",0.277497760741997
"41","TWIST1","BLK","TWIST1.BLK",0.525180668592347
"42","EMR3","SLC14A1","EMR3.SLC14A1",0.287304632137997
"43","SEMA3B","IL1B","SEMA3B.IL1B",0.338086583045574
"44","TNFRSF10C","ITK","TNFRSF10C.ITK",0.284064440647067
"45","TNFRSF10C","WT1","TNFRSF10C.WT1",0.426432037214813
"46","TNFRSF10C","MUC1","TNFRSF10C.MUC1",0.643919315549716
"47","TNFRSF10C","CD2","TNFRSF10C.CD2",0.288590652372271
"48","CPA4","LAT","CPA4.LAT",0.303339456670525
"49","CPA4","ASCL2","CPA4.ASCL2",0.317804206833506
"50","CPA4","CCND1","CPA4.CCND1",0.448539850882882
"51","LAT","ASCL2","LAT.ASCL2",0.594705990934865
"52","ASCL2","CCND1","ASCL2.CCND1",0.395479340201872
"53","HLA.DRA","GNMT","HLA.DRA.GNMT",0.284765493860823
"54","IFNGR2","NPY","IFNGR2.NPY",0.363807326648306
"55","IFNGR2","MCF2","IFNGR2.MCF2",0.372843824435239
"56","IFNGR2","WNT2","IFNGR2.WNT2",0.337483954219775
"57","PRSS1","ATP10A","PRSS1.ATP10A",0.601301415213112
"58","PRSS1","MEG3","PRSS1.MEG3",0.277178654611821
"59","NPY","ESR1","NPY.ESR1",0.384249392887696
"60","ESR1","TP73","ESR1.TP73",0.381112039131834
"61","TP73","PCDH1","TP73.PCDH1",0.288255401487542
"62","ATP10A","MEG3","ATP10A.MEG3",0.344708855522045
"63","SNRPN","NOTCH3","SNRPN.NOTCH3",0.447468518035465
"64","LIF","VAMP8","LIF.VAMP8",0.439092138480138
"65","FLT4","IL1B","FLT4.IL1B",0.345531517470586
"66","FLT4","SLC14A1","FLT4.SLC14A1",0.456192654739829
"67","WT1","MUC1","WT1.MUC1",0.302422618858377
"68","WT1","CD2","WT1.CD2",0.325887643804851
"69","KRT1","MUC1","KRT1.MUC1",0.397639744312502
"70","IL1B","SLC14A1","IL1B.SLC14A1",0.314048649647632
"71","ABCC2","DMP1","ABCC2.DMP1",0.299875000268227
"72","ABCC2","ITGA2","ABCC2.ITGA2",0.33907810963767
"73","ABCC2","PCDH1","ABCC2.PCDH1",0.356285413935539
"74","DSG1","MEG3","DSG1.MEG3",0.418072209121499
"75","WNT2","SLC14A1","WNT2.SLC14A1",0.343618490188086
"76","RASGRF1","PHLDA2","RASGRF1.PHLDA2",0.330007746792467
"77","RASGRF1","PRSS8","RASGRF1.PRSS8",0.489884461175249
"78","GALR1","CASP8","GALR1.CASP8",0.277894010741111
"79","MYOD1","IL8","MYOD1.IL8",0.285238923161345
"80","MYOD1","KCNQ1","MYOD1.KCNQ1",0.384092983667952
"81","MYOD1","CYP2E1","MYOD1.CYP2E1",0.50012091218283
"82","MYOD1","COL1A2","MYOD1.COL1A2",0.320071024909946
"83","IL8","KCNQ1","IL8.KCNQ1",0.344967794125558
"84","KCNQ1","CYP2E1","KCNQ1.CYP2E1",0.527757680696948
"85","KCNQ1","PRSS8","KCNQ1.PRSS8",0.291990576799082
"86","KCNQ1","FZD9","KCNQ1.FZD9",0.353594883442082
"87","KCNQ1","PLA2G2A","KCNQ1.PLA2G2A",0.457043154280362
"88","PHLDA2","PRSS8","PHLDA2.PRSS8",0.282594918765667
"89","CYP2E1","COL1A2","CYP2E1.COL1A2",0.291156228864556
"90","COL1A2","FZD9","COL1A2.FZD9",0.310076236487748
"91","PRSS8","CASP8","PRSS8.CASP8",0.479692742350499
"92","PRSS8","FZD9","PRSS8.FZD9",0.363857333583612
"93","PRSS8","PLA2G2A","PRSS8.PLA2G2A",0.303427058860719
"94","FZD9","PLA2G2A","FZD9.PLA2G2A",0.576014989078762
"95","AFF3","DIO3","AFF3.DIO3",0.294072690100869
"96","MAGEC3","HSPA2","MAGEC3.HSPA2",0.754913830274322
"97","HSPA2","TFF2","HSPA2.TFF2",0.430976989404349
"98","SFTPD","DIO3","SFTPD.DIO3",0.300708949556323
"99","HPN","CALCA","HPN.CALCA",0.31582751052463
"100","CALCA","ASB4","CALCA.ASB4",0.48802685413261
"101","HS3ST2","LIG4","HS3ST2.LIG4",0.394388982428132
"102","COL18A1","LIG4","COL18A1.LIG4",0.448582158109262
"103","COL18A1","CHFR","COL18A1.CHFR",0.453201151884001
"104","LIG4","CHFR","LIG4.CHFR",0.33104941145305
"105","NOTCH4","FES","NOTCH4.FES",0.405886505759909
"106","THPO","TAL1","THPO.TAL1",0.369381673858998
