"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","CHI3L2","IL1B","CHI3L2.IL1B",0.136720220745026
"2","IGFBP6","SEMA3B","IGFBP6.SEMA3B",0.25175211535233
"3","IGFBP6","MEG3","IGFBP6.MEG3",0.25175211535233
"4","IGFBP6","NOTCH4","IGFBP6.NOTCH4",0.25175211535233
"5","IGFBP6","POMC","IGFBP6.POMC",0.25175211535233
"6","IGFBP6","GNAS","IGFBP6.GNAS",0.25175211535233
"7","IGFBP6","B3GALT5","IGFBP6.B3GALT5",0.25175211535233
"8","IGFBP6","ALK","IGFBP6.ALK",0.25175211535233
"9","IGFBP6","FGR","IGFBP6.FGR",0.25175211535233
"10","IGFBP6","ZNF264","IGFBP6.ZNF264",0.25175211535233
"11","IGFBP6","DLK1","IGFBP6.DLK1",0.25175211535233
"12","IGFBP6","SH3BP2","IGFBP6.SH3BP2",0.25175211535233
"13","IGFBP6","FGFR1","IGFBP6.FGFR1",0.25175211535233
"14","IGFBP6","PDGFRA","IGFBP6.PDGFRA",0.25175211535233
"15","IGFBP6","BCAM","IGFBP6.BCAM",0.25175211535233
"16","IGFBP6","MAPK9","IGFBP6.MAPK9",0.25175211535233
"17","IGFBP6","LAMB1","IGFBP6.LAMB1",0.25175211535233
"18","IGFBP6","DDIT3","IGFBP6.DDIT3",0.25175211535233
"19","IGFBP6","GABRA5","IGFBP6.GABRA5",0.25175211535233
"20","IGFBP6","ACVR1B","IGFBP6.ACVR1B",0.25175211535233
"21","IGFBP6","SHH","IGFBP6.SHH",0.25175211535233
"22","IGFBP6","MLLT6","IGFBP6.MLLT6",0.25175211535233
"23","IGFBP6","ITPR2","IGFBP6.ITPR2",0.25175211535233
"24","IGFBP6","GLI3","IGFBP6.GLI3",0.25175211535233
"25","IGFBP6","EPM2A","IGFBP6.EPM2A",0.25175211535233
"26","IGFBP6","AKT1","IGFBP6.AKT1",0.25175211535233
"27","IGFBP6","SEMA3C","IGFBP6.SEMA3C",0.25175211535233
"28","IGFBP6","TNC","IGFBP6.TNC",0.25175211535233
