"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","CHI3L2","EMR3","CHI3L2.EMR3",0.002520338902725
"2","IGFBP6","PI3","IGFBP6.PI3",0.00258754642646958
"3","IGFBP6","PENK","IGFBP6.PENK",0.00252056551354935
"4","IGFBP6","EPO","IGFBP6.EPO",0.00264133003077537
"5","IGFBP6","PRKCDBP","IGFBP6.PRKCDBP",0.00259368419254278
"6","IGFBP6","TWIST1","IGFBP6.TWIST1",0.002504320545444
"7","PI3","PENK","PI3.PENK",0.00260932635537886
"8","PI3","EPO","PI3.EPO",0.00258106991685567
"9","PI3","PRKCDBP","PI3.PRKCDBP",0.00271767976760452
"10","PI3","EDNRB","PI3.EDNRB",0.00255034436585871
"11","MPO","CPA4","MPO.CPA4",0.00254518929701416
"12","PENK","EPO","PENK.EPO",0.00261798821703787
"13","PENK","EGFR","PENK.EGFR",0.00253566223550957
"14","PADI4","EMR3","PADI4.EMR3",0.00251453361659637
"15","EPO","ONECUT2","EPO.ONECUT2",0.0025287764535786
"16","EPO","PRKCDBP","EPO.PRKCDBP",0.00256618015881527
"17","ONECUT2","TWIST1","ONECUT2.TWIST1",0.00261659053843653
"18","ONECUT2","IFNGR2","ONECUT2.IFNGR2",0.00257288787474461
"19","ONECUT2","RASSF1","ONECUT2.RASSF1",0.00251265530366813
"20","TWIST1","IFNGR2","TWIST1.IFNGR2",0.00256279726042684
"21","TWIST1","NES","TWIST1.NES",0.00254591149714928
"22","PRSS1","NPY","PRSS1.NPY",0.00258528379341548
"23","PRSS1","ESR1","PRSS1.ESR1",0.00252383177087371
"24","PRSS1","TP73","PRSS1.TP73",0.00268573765242015
"25","PRSS1","ATP10A","PRSS1.ATP10A",0.00251865986806633
"26","PRSS1","LIF","PRSS1.LIF",0.00253265146073412
"27","PRSS1","VAMP8","PRSS1.VAMP8",0.00253324138656021
"28","PRSS1","WT1","PRSS1.WT1",0.00250892061785361
"29","PRSS1","KRT1","PRSS1.KRT1",0.00250465072276916
"30","PRSS1","IL1B","PRSS1.IL1B",0.00250944570718434
"31","PRSS1","MCF2","PRSS1.MCF2",0.00254806760874827
"32","PRSS1","BLK","PRSS1.BLK",0.00262253567663322
"33","NPY","ESR1","NPY.ESR1",0.00254107367892955
"34","NPY","TP73","NPY.TP73",0.00256199729898733
"35","NPY","LIF","NPY.LIF",0.00253101773896537
"36","NPY","VAMP8","NPY.VAMP8",0.00250160323153
"37","NPY","WT1","NPY.WT1",0.00255619512146985
"38","NPY","KRT1","NPY.KRT1",0.00255842436082604
"39","NPY","IL1B","NPY.IL1B",0.00253252957128322
"40","NPY","MCF2","NPY.MCF2",0.00259516250868786
"41","NPY","BLK","NPY.BLK",0.00251994187242032
"42","NPY","SLC14A1","NPY.SLC14A1",0.00254728603607288
"43","NPY","SFN","NPY.SFN",0.00254669140773682
"44","NPY","RASGRF1","NPY.RASGRF1",0.0025078557801982
"45","NPY","EPHA5","NPY.EPHA5",0.00251877514972636
"46","ESR1","LIF","ESR1.LIF",0.00251709583566145
"47","ESR1","VAMP8","ESR1.VAMP8",0.00250084700806985
"48","ESR1","WT1","ESR1.WT1",0.00252171009162581
"49","ESR1","KRT1","ESR1.KRT1",0.00257556883350345
"50","ESR1","MCF2","ESR1.MCF2",0.00259877884905066
