"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","IGFBP6","PI3","IGFBP6.PI3",1
"2","IGFBP6","PENK","IGFBP6.PENK",1
"3","IGFBP6","EPO","IGFBP6.EPO",1
"4","IGFBP6","ONECUT2","IGFBP6.ONECUT2",1
"5","IGFBP6","PRKCDBP","IGFBP6.PRKCDBP",1
"6","IGFBP6","TWIST1","IGFBP6.TWIST1",1
"7","IGFBP6","IFNGR2","IGFBP6.IFNGR2",1
"8","IGFBP6","ISL1","IGFBP6.ISL1",1
"9","IGFBP6","FLT4","IGFBP6.FLT4",1
"10","IGFBP6","MUC1","IGFBP6.MUC1",1
"11","IGFBP6","CD2","IGFBP6.CD2",1
"12","IGFBP6","GNMT","IGFBP6.GNMT",1
"13","IGFBP6","SOX17","IGFBP6.SOX17",1
"14","IGFBP6","WNT2","IGFBP6.WNT2",1
"15","IGFBP6","GALR1","IGFBP6.GALR1",1
"16","IGFBP6","MYOD1","IGFBP6.MYOD1",1
"17","IGFBP6","PHLDA2","IGFBP6.PHLDA2",1
"18","IGFBP6","COL1A2","IGFBP6.COL1A2",1
"19","IGFBP6","SFRP1","IGFBP6.SFRP1",1
"20","IGFBP6","EDNRB","IGFBP6.EDNRB",1
"21","IGFBP6","HS3ST2","IGFBP6.HS3ST2",1
"22","IGFBP6","LIG4","IGFBP6.LIG4",1
"23","IGFBP6","CHFR","IGFBP6.CHFR",1
"24","IGFBP6","EYA4","IGFBP6.EYA4",1
"25","IGFBP6","CDKN1C","IGFBP6.CDKN1C",1
"26","IGFBP6","EGR4","IGFBP6.EGR4",1
"27","IGFBP6","EPHA3","IGFBP6.EPHA3",1
"28","IGFBP6","FLT3","IGFBP6.FLT3",1
"29","IGFBP6","GRB10","IGFBP6.GRB10",1
"30","IGFBP6","GAS7","IGFBP6.GAS7",1
"31","IGFBP6","MMP2","IGFBP6.MMP2",1
"32","IGFBP6","CD34","IGFBP6.CD34",1
"33","IGFBP6","SLC22A18","IGFBP6.SLC22A18",1
"34","IGFBP6","HOXB13","IGFBP6.HOXB13",1
"35","IGFBP6","KDR","IGFBP6.KDR",1
"36","IGFBP6","BTK","IGFBP6.BTK",1
"37","IGFBP6","DCC","IGFBP6.DCC",1
"38","IGFBP6","ERG","IGFBP6.ERG",1
"39","IGFBP6","FGF12","IGFBP6.FGF12",1
"40","IGFBP6","NBL1","IGFBP6.NBL1",1
"41","IGFBP6","TIAM1","IGFBP6.TIAM1",1
"42","IGFBP6","ROR2","IGFBP6.ROR2",1
"43","IGFBP6","ASCL1","IGFBP6.ASCL1",1
"44","IGFBP6","AHR","IGFBP6.AHR",1
"45","IGFBP6","OGG1","IGFBP6.OGG1",1
"46","IGFBP6","MLF1","IGFBP6.MLF1",1
"47","IGFBP6","LIMK1","IGFBP6.LIMK1",1
"48","IGFBP6","LYN","IGFBP6.LYN",1
"49","IGFBP6","ABL2","IGFBP6.ABL2",1
"50","IGFBP6","S100A2","IGFBP6.S100A2",1
"51","IGFBP6","GNAS","IGFBP6.GNAS",1
"52","IGFBP6","SLIT2","IGFBP6.SLIT2",1
"53","IGFBP6","ALK","IGFBP6.ALK",1
"54","IGFBP6","MYBL2","IGFBP6.MYBL2",1
"55","IGFBP6","RASSF1","IGFBP6.RASSF1",1
"56","IGFBP6","CD40","IGFBP6.CD40",1
"57","IGFBP6","ZNF264","IGFBP6.ZNF264",1
"58","IGFBP6","DBC1","IGFBP6.DBC1",1
"59","IGFBP6","DLK1","IGFBP6.DLK1",1
"60","IGFBP6","DUSP4","IGFBP6.DUSP4",1
"61","IGFBP6","HBEGF","IGFBP6.HBEGF",1
"62","IGFBP6","EPHA2","IGFBP6.EPHA2",1
"63","IGFBP6","MECP2","IGFBP6.MECP2",1
"64","IGFBP6","WNT1","IGFBP6.WNT1",1
"65","IGFBP6","SH3BP2","IGFBP6.SH3BP2",1
"66","IGFBP6","RAD54B","IGFBP6.RAD54B",1
"67","IGFBP6","NES","IGFBP6.NES",1
"68","IGFBP6","HLA.DPB1","IGFBP6.HLA.DPB1",1
"69","IGFBP6","TNK1","IGFBP6.TNK1",1
"70","IGFBP6","PDGFRA","IGFBP6.PDGFRA",1
"71","IGFBP6","BCAM","IGFBP6.BCAM",1
"72","IGFBP6","AXIN1","IGFBP6.AXIN1",1
"73","IGFBP6","HLF","IGFBP6.HLF",1
"74","IGFBP6","PGF","IGFBP6.PGF",1
