"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","IGFBP6","GFAP","IGFBP6.GFAP",0.542568436074685
"2","SFN","PHLDA2","SFN.PHLDA2",0.525708753941712
"3","CYP2E1","FZD9","CYP2E1.FZD9",0.503374224242582
"4","PLA2G2A","TJP2","PLA2G2A.TJP2",0.506725758638175
"5","CDKN1C","PYCARD","CDKN1C.PYCARD",0.500936459997782
"6","SMAD2","PYCARD","SMAD2.PYCARD",0.543827193663616
"7","NOTCH4","ALOX12","NOTCH4.ALOX12",0.515460010896747
"8","NOTCH4","PDGFRB","NOTCH4.PDGFRB",0.512666940170126
"9","GDF10","EGR4","GDF10.EGR4",0.650051730708806
"10","THPO","EPHA3","THPO.EPHA3",0.618578159625502
"11","TAL1","GAS7","TAL1.GAS7",0.571264497571807
"12","TAL1","APOC2","TAL1.APOC2",0.515529328584067
"13","MMP3","GRB10","MMP3.GRB10",0.615345235346579
"14","GAS7","HOXB2","GAS7.HOXB2",0.626550351977045
"15","GAS7","APOC2","GAS7.APOC2",0.496063928806619
"16","GAS7","SLC22A18","GAS7.SLC22A18",0.582075707448247
"17","HOXB2","SLC22A18","HOXB2.SLC22A18",0.576167441878136
"18","AIM2","PTPRF","AIM2.PTPRF",0.611698846269903
"19","AIM2","AHR","AIM2.AHR",0.853075200035229
"20","AIM2","MMP19","AIM2.MMP19",0.611198271734668
"21","PTPRF","AHR","PTPRF.AHR",0.644053971893423
"22","PTPRF","MMP19","PTPRF.MMP19",0.589510359078898
"23","MCAM","LEFTY2","MCAM.LEFTY2",0.552019103634843
"24","POMC","FOLR1","POMC.FOLR1",0.678814503116934
"25","SPARC","EGF","SPARC.EGF",0.54809135075375
"26","PIK3R1","NGFR","PIK3R1.NGFR",0.506853690174699
"27","PIK3R1","BCL2A1","PIK3R1.BCL2A1",0.525303266467211
"28","ASCL1","FOLR1","ASCL1.FOLR1",0.652081373177909
"29","ASCL1","MMP19","ASCL1.MMP19",0.529134865503482
"30","OGG1","LIMK1","OGG1.LIMK1",0.539976386889685
"31","LYN","ABL2","LYN.ABL2",0.776961366633821
"32","S100A2","DDR2","S100A2.DDR2",0.570996715612053
"33","S100A2","TNFRSF1B","S100A2.TNFRSF1B",0.572650282895792
"34","S100A2","KRT5","S100A2.KRT5",0.679534535783303
"35","GSTP1","TNFRSF1B","GSTP1.TNFRSF1B",0.765360386578595
"36","GSTP1","IFNG","GSTP1.IFNG",0.746609199090895
"37","DDR2","KRT5","DDR2.KRT5",0.519191807606831
"38","TNFRSF1B","KRT5","TNFRSF1B.KRT5",0.496570272442528
"39","TNFRSF1B","IFNG","TNFRSF1B.IFNG",0.571552940915248
"40","HTR1B","MYBL2","HTR1B.MYBL2",0.548289282081526
"41","HTR1B","WNT1","HTR1B.WNT1",0.497153731448474
"42","DBC1","PRDM2","DBC1.PRDM2",0.496938515611751
