"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"1","IGFBP6","TNFRSF10C","IGFBP6.TNFRSF10C",0.218908873669682
"2","PI3","PRKCDBP","PI3.PRKCDBP",0.357189915108648
"3","MPO","LAT","MPO.LAT",0.246394599135203
"4","DLC1","SEMA3B","DLC1.SEMA3B",0.218197564134693
"5","MAPK4","NOTCH4","MAPK4.NOTCH4",0.210210224569908
"6","MAPK4","ALOX12","MAPK4.ALOX12",0.207777381036827
"7","MAPK4","PLXDC1","MAPK4.PLXDC1",0.203422867287089
"8","MAPK4","FGF2","MAPK4.FGF2",0.211062134418235
"9","MAPK4","PTK2","MAPK4.PTK2",0.206483001725511
"10","PADI4","ONECUT2","PADI4.ONECUT2",0.33368395529388
"11","PADI4","TWIST1","PADI4.TWIST1",0.33368395529388
"12","PADI4","IFNGR2","PADI4.IFNGR2",0.33368395529388
"13","PADI4","PRSS1","PADI4.PRSS1",0.33368395529388
"14","PADI4","NPY","PADI4.NPY",0.33368395529388
"15","PADI4","ESR1","PADI4.ESR1",0.33368395529388
"16","PADI4","TP73","PADI4.TP73",0.33368395529388
"17","PADI4","ISL1","PADI4.ISL1",0.33368395529388
"18","PADI4","ATP10A","PADI4.ATP10A",0.33368395529388
"19","PADI4","SNRPN","PADI4.SNRPN",0.33368395529388
"20","PADI4","LIF","PADI4.LIF",0.33368395529388
"21","PADI4","VAMP8","PADI4.VAMP8",0.33368395529388
"22","PADI4","FLT4","PADI4.FLT4",0.33368395529388
"23","PADI4","WT1","PADI4.WT1",0.33368395529388
"24","PADI4","KRT1","PADI4.KRT1",0.33368395529388
"25","PADI4","MUC1","PADI4.MUC1",0.33368395529388
"26","PADI4","IL1B","PADI4.IL1B",0.33368395529388
"27","PADI4","CD2","PADI4.CD2",0.33368395529388
"28","PADI4","MCF2","PADI4.MCF2",0.33368395529388
"29","PADI4","RUNX3","PADI4.RUNX3",0.33368395529388
"30","PADI4","ABCC2","PADI4.ABCC2",0.33368395529388
"31","PADI4","MEG3","PADI4.MEG3",0.33368395529388
"32","PADI4","GNMT","PADI4.GNMT",0.33368395529388
"33","PADI4","SOX17","PADI4.SOX17",0.33368395529388
"34","PADI4","BLK","PADI4.BLK",0.33368395529388
"35","PADI4","WNT2","PADI4.WNT2",0.33368395529388
