,ABI1,ABL1,ABL2,ACSL3,AKAP9,AKT1,AKT2,ALDH2,ALK,APC,ARHGEF12,ARID1A,ARNT,ASPSCR1,ASXL1,ATF1,ATIC,ATM,ATP1A1,ATP2B3,ATRX,AXIN1,BAP1,BCL10,BCL11A,BCL11B,BCL2,BCL3,BCL6,BCL7A,BCL9,BCOR,BCR,BIRC3,BLM,BMPR1A,BRAF,BRCA1,BRCA2,BRD3,BRD4,BRIP1,BTG1,BUB1B,C2orf44,CACNA1D,CALR,CAMTA1,CANT1,CARS,CASP8,CBFA2T3,CBFB,CBLB,CBLC,CCDC6,CCNB1IP1,CCND1,CCND2,CCND3,CCNE1,CD74,CD79A,CD79B,CDC73,CDH1,CDH11,CDK4,CDK6,CDKN2A,CDKN2C,CEBPA,CHCHD7,CHEK2,CHIC2,CHN1,CIC,CIITA,CLTC,CLTCL1,CNOT3,COL1A1,COX6C,CREB1,CREB3L1,CREB3L2,CREBBP,CRTC3,CSF3R,CTNNB1,CYLD,DAXX,DDB2,DDIT3,DDX10,DDX5,DDX6,DICER1,DNM2,DNMT3A,EGFR,EIF4A2,ELF4,ELK4,ELN,EML4,EP300,EPS15,ERBB2,ERCC2,ERCC3,ERCC4,ERCC5,ERG,ETV1,ETV4,ETV5,ETV6,EWSR1,EXT1,EXT2,EZH2,FAM46C,FANCA,FANCC,FANCE,FANCF,FANCG,FBXO11,FBXW7,FCGR2B,FGFR1,FGFR1OP,FGFR2,FGFR3,FH,FHIT,FIP1L1,FLI1,FLT3,FNBP1,FSTL3,FUBP1,FUS,GAS7,GATA1,GATA2,GATA3,GMPS,GNA11,GNAS,GOLGA5,GPC3,GPHN,H3F3A,H3F3B,HERPUD1,HEY1,HIP1,HIST1H4I,HLF,HMGA1,HMGA2,HNRNPA2B1,HOXA11,HOXA9,HOXC11,HOXC13,HOXD11,HOXD13,HRAS,IDH1,IDH2,IKZF1,IL21R,IL6ST,IL7R,IRF4,ITK,JAK1,JAK2,JAK3,JUN,KCNJ5,KDR,KIF5B,KIT,KLF4,KRAS,KTN1,LASP1,LCK,LCP1,LHFP,LIFR,LMO1,LMO2,LPP,LYL1,MAF,MAFB,MALT1,MAP2K1,MAP2K2,MAP2K4,MAX,MDM2,MDM4,MED12,MEN1,MET,MITF,MKL1,MLF1,MLH1,MLLT1,MLLT10,MLLT3,MLLT4,MN1,MSH2,MSH6,MSN,MTCP1,MUC1,MUTYH,MYB,MYC,MYCL1,MYCN,MYD88,MYH11,MYH9,MYST4,NACA,NCOA1,NCOA2,NCOA4,NDRG1,NF1,NF2,NFE2L2,NFIB,NFKB2,NONO,NOTCH1,NOTCH2,NPM1,NR4A3,NRAS,NSD1,NT5C2,NTRK1,NTRK3,NUMA1,NUP214,NUP98,OMD,PAFAH1B2,PALB2,PAX5,PAX8,PBRM1,PBX1,PCM1,PCSK7,PDE4DIP,PDGFB,PDGFRA,PDGFRB,PER1,PICALM,PIK3CA,PIK3R1,PIM1,PLAG1,PMS1,PMS2,POT1,POU2AF1,PPARG,PPP2R1A,PRCC,PRDM1,PRDM16,PRF1,PRKAR1A,PTEN,PTPN11,PTPRC,RAC1,RAD21,RAD51L1,RAF1,RALGDS,RANBP17,RAP1GDS1,RARA,RB1,RBM15,RECQL4,RET,RNF43,RPL10,RPL22,RPL5,RPN1,RUNX1,SDC4,SDHB,SDHC,SDHD,6-Sep,SET,SETBP1,SETD2,SF3B1,SFPQ,SFRS3,SH2B3,SH3GL1,SLC34A2,SMARCA4,SMARCB1,SMARCE1,SMO,SOCS1,SOX2,SRGAP3,SS18,SS18L1,SSX2,STAG2,STAT3,STAT5B,STK11,SUZ12,SYK,TAF15,TAL1,TBL1XR1,TCEA1,TCF12,TCF3,TCF7L2,TCL6,TERT,TFE3,TFEB,TFG,TFPT,TFRC,THRAP3,TMPRSS2,TNFAIP3,TNFRSF14,TNFRSF17,TOP1,TP53,TPM3,TPM4,TPR,TRIM27,TRIM33,TRIP11,TRRAP,TSC1,TSC2,TSHR,U2AF1,UBR5,USP6,WAS,WHSC1,WHSC1L1,WRN,WT1,WWTR1,XPA,XPC,XPO1,YWHAE,ZNF331,ZNF384,ZRSR2
CHI3L2,0,0.048735,0,0,0,0.031924,0,0,0,0.02894,0.034163,0.048602,0,0,0.041678,0,0,0,0,0,0.036919,0,0.042763,0,0,0,0,0,0.024085,0.048097,0.054334,0.0279,0.026068,-0.01693,0.023518,0,0,0,0,0.049133,0.04225,0.0045214,0,0,0.047417,0,0,0.022744,0,0.028725,-0.0033545,0,0.0088604,0,-0.0097062,0,0,0.0079104,0.060141,0,0,0,0,0,0,0,0.0034344,0,0.0054461,0,0,0,0,0,0.056845,0,0.039088,-0.087739,0.021128,0,0.0030401,0,0,0.036336,0,0,0.03853,0.037476,0,0,0,0.008809,0,0,0,0.042719,0,0.041435,0,0,0,0,0,-0.00075594,0,0,0.045428,0,0,0,0.03728,0.0010224,0.049388,0,0.073082,0,0.020573,0,0.004089,0,0,0.010571,-0.0072828,0,0.022458,0,0,0,0.051401,0.034006,-0.0013416,0.001339,0,0,0,0,0.012775,0.060779,0,0,0.12976,0,0,0.035521,0,0,0,0,0,0.043044,0.047789,0,0,0.050855,0.0094134,0.045541,0,0.024175,0.046849,0,0,0,0,0.038976,0,0,0,0,0,0,0,0,0,0,0,0.0070132,0,0,0,0,0,-0.04248,0.0034092,0,0,0.035685,0,0,0.068404,0,0.053355,0,0,0.020513,0,0,0.010392,0,0,0,0,0,0,0.040817,0.011988,0,0,0,0.038882,0.04745,0,0,0,0,0.036957,0,0,0,0,0.069713,0,0.011172,0,0,0,0,0,0,0,0,0,0,0,0.049855,0,0.032763,0,0,0,0,0,0,0.035814,0,0.029797,0.069052,0,0,0,0,0.073511,0,-0.022173,0.033724,0,0,0,0,0,0.017377,0,0,0.052003,0.024526,0.04148,0,0,-0.037355,0.071358,0,0,0,0.040649,0.021214,0,0,0.036029,0,0,0,0,0.051591,0.043165,0,0,0,0.035764,0,0.041444,0,0.028406,0.009773,0,0.048769,0.043749,0,0,0.13295,0,0.038526,0,0,0,0,0.050454,0,-0.017493,0,0,0,0,0,0,0.049734,0.027875,0.048919,0.052425,0.035979,0.0090508,0,0.032082,0,0.047698,0.047124,0.036051,0,0,0.02419,0.04319,0,0.046764,0,0,0.03724,0.010108,0,0.040629,-0.014972,0.014361,0,0.0084126,0.014067,0.050587,0.05923,0.14164,-0.028847,-0.009238,0,0,0.14359,0,0,0,0,0,0,0,0.041939,0.084932,0,0,0.03838,0.038609,0.042439,0,0.039326,0.051708,0.048751,0,0.041204,0.0068898,0,-0.0056382,0.014721,0,0,0,0,0.047025,0.05024,0.014756,0.030824,0,0,0
IGFBP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020432,0.0024691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025176,0,0,0,0,0,0,0,0,0,0,0,0,-0.014259,0,0.00086442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00071491,0,0,0,0.00052577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00043345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0062904,0,0,0,0,0,0,0,0.11624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00097666,0,0,0,0,0,0,0,0,0,0,0.00037193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075903,0.00043922,0,0,0,0.001711,0.0041312,0,0,0,0,0.0010245,0.003378,0,0,0,0,0,3.07E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00053687,0,0,0.0011304,0,0,0
PI3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013124,0,0.006315,0,0,0,0,0,0,0,0,0,-0.0054471,0,0,0,0,0,0,0,0,0,0,0,-0.0011133,0,0,0,-0.0057264,0.051458,0,0,0,0,0.0064105,0.030352,0,0,0,0,0,0,0,0,0,0,0.032026,0.004265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.067567,0,0,0.0018955,0,0,0,-0.006056,0,0,0,0,0,0,0,-0.012422,0,0,0,0,0,0,-0.0051495,0.0050367,0,0,0,0,0,0,0,0,0,0,0,0,0.037079,0,0,0.0079833,0,0,0.019506,0,0,0,0,0.0095297,0,0,0,0,0,0.079777,0,0,0,0,-0.002435,-0.00021447,0,0.070853,0,0,0,0,0,0,0,-0.040905,0,0,0,0,0.051084,0.016182,0,0,0.0037208,0,0,0,0,0,0,0,0,0,0.0047416,0,0,0,0.023494,0.011694,0,0,0,0,0,0.06325,0,0,0.0026983,0,0,0,0,0,-0.001293,0,0,0,0.028858,-0.051033,0,0,0,0,0,0,0,0,0,0,0,0.0074438,0,0,0,0,-0.015284,0,0.084195,0,0,0,0,0,0,0,-0.080525,0,0,0,0.017947,0,-0.0025668,0,0,0,0,0,0,0,-0.0005823,0,0,0,0,0,0,0,0,0,-0.0044104,0,0,0,0,-0.12139,0,0,0,0,0,0,0,0,0,0,0.013736,0.065256,0,0,0,0,0,0,0,0,0.0015712,0,0,0,0,0,0,0,0,0,0,0,0,0.017577,0,0,0,0.0020648,0,0.019458,0,0,0,0.087255,0,-0.0042582,0,0,0,0,0,-0.00096544,0.034859,0,-0.00050809,0,0,0,-0.0073666,0,0,0,0,0,0,0,0,-0.0013402,0.0044965,0,0,0,0,-0.0075023,-0.0016366,0,0,0,0,0,0,0,0,0,0.067199,0,0,0.0050506,0,0,0,0,0,0,0,0.0028228,0,0,0,0,0,0,-0.028184,0,0,0,0,0,0,0,0,0,0,0,0,0
DLC1,0,0,0,0.031142,0,0,0,0,0,0.0010834,0.023825,0.0023895,0,0,0,0,0,0,0.04993,0,0.01456,0,0.0031545,0,0,0,0,0,0,0,0.0021109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021776,0,0,0.011416,0,0,0,0,0,0.0044404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019047,0,0,0,0,0.0018975,0,0.011867,0,0.0042101,0,0,0.018491,0,0.039368,0,0,0.0098966,0,0.016317,0,0,0,0,0,0,0,0,0.00033433,0.072141,0,0,0.0016281,0,0,0,0,0,0.0049861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048154,0,0.15336,0,0,0.0015208,0,0,0,0,0,0.0023386,0.0070093,0.019275,0,0.0028789,0,0.0043923,0,0,0.001441,0,0,0,0,0.0022203,0,0,0,0,0,0,0.0044876,0,0,0,0,0.0070963,0,0,0,0,0,0,0.0048398,0,0,0,0,0,0,0.019772,0.01899,0,0,0.0045692,0,0,0.0075175,0.023595,0,0,0,0.014439,0,0,0.0079917,0,0,0,0.0034323,0,0,0.016113,0,0,0,0,0,0,0,0,0,0,0.084516,0,0,0,0,0,0,-0.018732,0.091931,0,0.01984,0,0,0.003564,0,0,0,0,0,0.014844,0,0,0.0010201,0,0,0,0,0,0,0,0,0,0,0,7.54E-05,0,0,0,0,0,0.0037454,0,0.0047353,0.025196,0,0,0,0,0,5.65E-06,0.0010035,0,0,0,0,0,0,0,0,0.009195,0,0,0,0,0.019084,0,0.0065599,0.0010323,0,0,-0.0033922,0,0.0023883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035366,0,0,0,0.014144,0,0,0.00064573,0,0,0,0,0,0,0,0,-0.0004915,0.022216,0.075634,0,0,0,0,0,0,0,0,0,0,0,-0.0027858,0,0.01179,0,0,0.03229,0,0,0,0.00063156,0,0,0.0014991,0,0,0,0.0049938,0,0,0,0.008455,0,0,0,0.0013491,0.0032612,0,0,0,0,0,0,0.0012041,0.0037227,0.012763,0,0,0.052829,0,0.012383
PENK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042649,0,0,0,0,0,0.00026509,0,0,0,0,0,0,0,0,0.001174,0,0,0,0,0,0,0,0,0.0012606,0,0,0,0,0,0,0,0,0,0,-0.050546,0,0,0,0,0,0,0,0,0,0,0,0,-0.0046854,0,0,0,0,0.0036058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044421,0,0,0,0,0,0,0,0,0.0030988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001318,0,0,0,0,0,0,0,0.0025398,0,0,0.0048746,0,0,0,0,0,0,0,0,0,0.046261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038802,0,0,0,0,0,0,0,0,0,0,0,-0.0052685,0,0,-0.039982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038168,0,0,0.028908,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK4,0,0,-0.03757,0,0.10475,0,0,0,0,0.0033456,0,0.0040573,0,0,0.0056193,0,0,0.051091,0,0,0.0075735,0,0,0,0,0,0,0,0,0,0.0085377,0.0089915,0,0,0,0,0,0.0094161,0.0013737,0,0,0.0087704,0,0,0,0,0,0,0,0,0,0,0,0,-0.0075267,0.0035771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017889,0,0,0,0,0.0086003,0,0,0.016347,0,0,0.008731,0,0,0,0,0,0.0068865,0,0.0041014,0,0,0,0,0,0,0,0.012066,0,0,0,0,0.0055904,0,0,0,0,0,0,0,0.0056553,0,0,0,0,0,0,0,0,0.0065942,0.0083137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056259,0.00079191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0015874,0,0,0,0.0090426,0,0,0.0087669,0,0,0,0,0,0.05314,0,0,0,0,0,0,0,0,0,0.0037894,0,0,0,0,0,0,0,0,0,0,0,0,0.02729,0,0,0.0058856,0.0021807,0,-0.059027,0,0,0,0,0,0,0.0037539,0,0,0,0,0,0.025423,0,0,0,0,0.012716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0074234,0,0,0.014376,0,0.0039171,0.0089662,0,0,0,0,0,0,0,0,0,0,0.014324,0,0,0,0,0.0013632,0,0,-0.052728,0,0.015707,0,0.0022562,0,0,0.011523,0,0.0032008,0,0,0,0,0,0.012566,0,0,0,0,0,0,0,0,0,0,0,0,0.0017948,0,0,0.0051711,0.0086978,0.0015074,0.0011701,0,0,0,0.00084192,0,0.00039582,0,0,0,0.0038755,0.0051583,0.0046695,0,0,0.015045,0,0,0.0036523,0,0,0,0.0091805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001803,0.0050381,0.010212,0,0.003298,0,0.0024993,0,0,0.018983,0,0,0.00419,0.0027296,0.0074265,0,0,0,0,0.013767,0,0,0,0
DNAJC15,0,0.0017717,0,0,0,0,0,0,0,0,0.0060174,0.00029778,0,0,0,0,0,0,0,0,0,0,0.0038126,0,0,0,0,0,0,0,0.0016411,0,0,0,0,0,0,0,0,0.0029273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0065734,0,0,0,0,0,-0.1528,0,0,-0.022447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023017,0,0.023582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015401,0,0.020551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00072476,0,0,0,0,0,0,0,0,0.00034931,0,0,0,0,0,0,0,-0.07347,0,0,0,0.0030077,0,0,0,0,0,0.011452,0,0,0.0053179,0,0,0,0,0,0.034845,0.085199,0,0,0,0,0,0,0,0,0,0,0,-0.001596,0,0,0,0,0,0,0,0,0,0,0,0.0053344,0.010834,-0.0022862,-0.002529,0,0,0,0,0,-0.00033605,0,0,0,0,0,0,0,-0.024917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00077513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012023,0,0,0,0,0,0,0,-0.0029766,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00046721,0.0025168,0,0,0.00025029,0.00089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037984,0,0,0,0,0,0,0,0,0,0.0015742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031419,0.0042572,0,0,0,0,0
PADI4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011483,0,0,0,0,0,0.00078994,0,0,0,0,0,0,0.018288,0,0,0,0,0.013259,0,0.030185,0,0,0,0,0,0.046278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0027948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026913,0,0.0027361,0,0,0,0,0,0.00087653,0,0,0,0,0,0,0,0,0,0,0,0,0.0035601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0021456,0.0024633,0,0.0079817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00090402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00033384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0066533,-0.0015924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0038286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
