,ABI1,ABL1,ABL2,ACSL3,AKAP9,AKT1,AKT2,ALDH2,ALK,APC,ARHGEF12,ARID1A,ARNT,ASPSCR1,ASXL1,ATF1,ATIC,ATM,ATP1A1,ATP2B3,ATRX,AXIN1,BAP1,BCL10,BCL11A,BCL11B,BCL2,BCL3,BCL6,BCL7A,BCL9,BCOR,BCR,BIRC3,BLM,BMPR1A,BRAF,BRCA1,BRCA2,BRD3,BRD4,BRIP1,BTG1,BUB1B,C2orf44,CACNA1D,CALR,CAMTA1,CANT1,CARS,CASP8,CBFA2T3,CBFB,CBLB,CBLC,CCDC6,CCNB1IP1,CCND1,CCND2,CCND3,CCNE1,CD74,CD79A,CD79B,CDC73,CDH1,CDH11,CDK4,CDK6,CDKN2A,CDKN2C,CEBPA,CHCHD7,CHEK2,CHIC2,CHN1,CIC,CIITA,CLTC,CLTCL1,CNOT3,COL1A1,COX6C,CREB1,CREB3L1,CREB3L2,CREBBP,CRTC3,CSF3R,CTNNB1,CYLD,DAXX,DDB2,DDIT3,DDX10,DDX5,DDX6,DICER1,DNM2,DNMT3A,EGFR,EIF4A2,ELF4,ELK4,ELN,EML4,EP300,EPS15,ERBB2,ERCC2,ERCC3,ERCC4,ERCC5,ERG,ETV1,ETV4,ETV5,ETV6,EWSR1,EXT1,EXT2,EZH2,FAM46C,FANCA,FANCC,FANCE,FANCF,FANCG,FBXO11,FBXW7,FCGR2B,FGFR1,FGFR1OP,FGFR2,FGFR3,FH,FHIT,FIP1L1,FLI1,FLT3,FNBP1,FSTL3,FUBP1,FUS,GAS7,GATA1,GATA2,GATA3,GMPS,GNA11,GNAS,GOLGA5,GPC3,GPHN,H3F3A,H3F3B,HERPUD1,HEY1,HIP1,HIST1H4I,HLF,HMGA1,HMGA2,HNRNPA2B1,HOXA11,HOXA9,HOXC11,HOXC13,HOXD11,HOXD13,HRAS,IDH1,IDH2,IKZF1,IL21R,IL6ST,IL7R,IRF4,ITK,JAK1,JAK2,JAK3,JUN,KCNJ5,KDR,KIF5B,KIT,KLF4,KRAS,KTN1,LASP1,LCK,LCP1,LHFP,LIFR,LMO1,LMO2,LPP,LYL1,MAF,MAFB,MALT1,MAP2K1,MAP2K2,MAP2K4,MAX,MDM2,MDM4,MED12,MEN1,MET,MITF,MKL1,MLF1,MLH1,MLLT1,MLLT10,MLLT3,MLLT4,MN1,MSH2,MSH6,MSN,MTCP1,MUC1,MUTYH,MYB,MYC,MYCL1,MYCN,MYD88,MYH11,MYH9,MYST4,NACA,NCOA1,NCOA2,NCOA4,NDRG1,NF1,NF2,NFE2L2,NFIB,NFKB2,NONO,NOTCH1,NOTCH2,NPM1,NR4A3,NRAS,NSD1,NT5C2,NTRK1,NTRK3,NUMA1,NUP214,NUP98,OMD,PAFAH1B2,PALB2,PAX5,PAX8,PBRM1,PBX1,PCM1,PCSK7,PDE4DIP,PDGFB,PDGFRA,PDGFRB,PER1,PICALM,PIK3CA,PIK3R1,PIM1,PLAG1,PMS1,PMS2,POT1,POU2AF1,PPARG,PPP2R1A,PRCC,PRDM1,PRDM16,PRF1,PRKAR1A,PTEN,PTPN11,PTPRC,RAC1,RAD21,RAD51L1,RAF1,RALGDS,RANBP17,RAP1GDS1,RARA,RB1,RBM15,RECQL4,RET,RNF43,RPL10,RPL22,RPL5,RPN1,RUNX1,SDC4,SDHB,SDHC,SDHD,6-Sep,SET,SETBP1,SETD2,SF3B1,SFPQ,SFRS3,SH2B3,SH3GL1,SLC34A2,SMARCA4,SMARCB1,SMARCE1,SMO,SOCS1,SOX2,SRGAP3,SS18,SS18L1,SSX2,STAG2,STAT3,STAT5B,STK11,SUZ12,SYK,TAF15,TAL1,TBL1XR1,TCEA1,TCF12,TCF3,TCF7L2,TCL6,TERT,TFE3,TFEB,TFG,TFPT,TFRC,THRAP3,TMPRSS2,TNFAIP3,TNFRSF14,TNFRSF17,TOP1,TP53,TPM3,TPM4,TPR,TRIM27,TRIM33,TRIP11,TRRAP,TSC1,TSC2,TSHR,U2AF1,UBR5,USP6,WAS,WHSC1,WHSC1L1,WRN,WT1,WWTR1,XPA,XPC,XPO1,YWHAE,ZNF331,ZNF384,ZRSR2
CHI3L2,-0.0061338,0,-0.0086309,0.066485,0,0,0,0,0,0,0,-0.0022335,-0.02006,0,0,0,0,-0.012628,0.16416,0,0,0,0.31892,0,0,0,0,0,-0.019396,0,-0.023659,0,0.1024,0,0,0,0.012627,-0.0037223,-0.0054137,0,0,0,0,0,0,0,0,0,0,0.063703,-0.091125,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014821,0.11654,0,0,0,0,0,0,0.21313,-0.025168,0,0,-0.0033045,0,0,0,0,0,0.21447,-0.0078383,0.22329,-0.00777,0,-0.0011703,0,0,0,-0.0025074,-0.26886,0.21346,0,0,0,0,0,-0.008842,0,0,0,0,0,-0.016039,0,0,0,0,-0.011611,0,-0.021639,0,0,0.033281,0,-0.0097941,-0.00072318,0,0,0,0,0,0,0,0,0,0,-0.0013612,0,0,0,0,0,0.17109,0,0,0,0,0,0,-0.0011634,-0.0027584,0,0,0.21922,0,0,0.26258,0.11539,0,0.16128,0.00089171,0,-0.0096769,0.18273,0,-0.0094803,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22642,0,0,0,0,0,0,0,0,-0.0040848,0,0,0,0,0.27314,0,0,0.074385,-0.023951,0,0,0,0,0,0,-0.00058197,0,0,0,-0.029647,0,0,0,0,0,-0.0012934,-0.0045485,0,0,0.063534,0,0,0,0,-0.012792,0,0,0,-0.012723,-0.017882,-0.016073,0,0,0,0,0,0,0,-0.013017,0,0,0,-0.042338,0,0,0,-0.1864,0,0,0,0,-0.00074962,-0.033172,-9.72E-05,-0.015715,0,0,-0.017127,-0.005364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053962,0,0,0,0.165,-0.0011151,0,0,0,0.19033,0,-0.068616,0,0.2321,0,0.0011168,-0.004983,0,0,0,0,0,0.18706,0,0,0.196,0,-0.010419,-0.0086992,0,0,0,0,-0.016441,0,0,0,0.19994,0,0,0.21313,0,0,0,0.0078056,-0.008018,0,0,-0.0031411,-0.19315,0,0,0,0,0,0.067816,0,0,0,0,0,0,-0.018034,0,0,0.0037989,0,0,0,-0.08081,0,0,0,0,0,0,-0.021468,0.12674,0,0,0,-0.0079031,0.22654,0,0,0,0,0,-0.051244,0,-0.0028545,0,-0.0031613,0,0,0,0,0,0,0,0,0,0,0,0.05278,0,-0.023655,0,0,0,0,0,-0.023168,0
IGFBP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI3,0,0,-0.0047972,0.004335,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00030597,0.0019291,0,0,0,0.0061901,0,0,0,0,0,0,0,-0.0080021,0,0.012417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019219,0,0,0,0,0,0,0,0,-0.0053229,0,0,0,0,0,0,0,0,0,0.070039,0,0,0,0,0.050932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046793,0,0,0,0,0,0,0,0.065027,0,0,0,0,0,0,0,0,0.18928,0,0,0,0,0,0,0,0,0,0.005605,0.020245,0,0,0.079126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02703,-0.00069078,0,0,0.15929,0,0,0,0,0,0,0,0,0,0,0.0012346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016287,0,0,0,0,0,0,0,-0.0012558,0,0,0,0,0,0,0,0,-0.0028778,0,-0.0025433,0,0,0.013551,0,0,0.19764,0,0,0.027676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0097812,0,0,0,0,0,0,0.0040628,0,0,0,0,0,0,0,0,0,0.18906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037324,0,0,0,0,0,0,0,0,-0.0052067,0,0,0,0,0,0,0,0.13083,0,0,0,0,0,0,0,0,0.18402,0,0,0,0,0,0,0,0,0,0,0,0.001547,0,0,0,0,0,0,0,0,0,0,0,0,0.061281,-0.0015708,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002153,0,0,0,0,0,-0.0050173,0
MPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0010337,0,0,0,0,0.0052981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052188,0,0,0,0,0,-0.10805,0,0,0,0,0,0,0,0,0,0,0,0.020138,0,0,-0.13294,0,0,0.0013424,0,0,0,0,0,0.003126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053544,0,0,0,0,0,0,-0.0020827,0,0,-0.01331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0081855,0,-0.00037657,0,0.028593,0,0,0,-0.0016792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0083814,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0012914,0,0,0,0,0,0,-0.0047404,0,0,0,0,0,0,0,0,0,0,0,-0.0017721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032657,0,0,0,0,-0.0022981,0,0,0,0,0,-0.010313,0,0,0,0,0,0,0,0,0,0.0026603,0,0,0,0,0,0,-0.0072705,0,0,0,0,0.0065291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018017,0,0,0.010222,0,0,0,0,0.046586,-0.015112,0,0.026759,0,0,-0.0055475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0030255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0011423,0.00037601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026098,0,0
DLC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0004438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0025531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037226,0,0,0,0,0,0,0,0,0
PENK,0,0,0,0,-0.010492,0,0,0,0,0,-0.0021278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034472,0,-0.024146,0,0,0,-0.005453,0,0,-0.020936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00034353,0,0,0,0,0,-0.0075733,0,0,0,0,0,0,0,0,0,0,0,0,-0.00072501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00041237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00039539,0,0,0,-0.054009,-0.029023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00873,0,0,0,-0.00146,0.0083448,-0.0058552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0056327,0,0,0,0,0,0,-0.003046,0,0,0,0,0,0,0,0,-0.014679,-0.00083616,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0059248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015471,0,0,0,0,0,0,0,0,0,-0.087002,0,-0.011701,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016133,0,0,0,0,-0.0073842,0,-0.011481,0,0,0,0,0,0,0,0,0,0,0,-0.0017155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0040434,0,-0.04466,0,0,0,0,0,-0.0015892,0,0,-0.003147,0,0,-0.17629,0,0,0,0,0,0
MAPK4,0,0,0,0,0,0,0,0,0,0,0,0,-0.0012881,0,0,0,0,-0.0077549,0.0011183,0,0,0,0,0,0,0,0,-0.020345,0,0,0,-0.017925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016865,0,0,-0.0065226,0,0,0,-0.035787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016889,0,0,0.0052887,0,-0.00027979,0,0,0,0,0,-0.090019,0,0,-0.0084387,0,0,0,0,0,0,0,0,0,-0.0037357,0,0,0,0,-0.0063328,0,-0.0086054,0,0,0,0,0,-0.0055297,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13895,0,-0.10812,0.00021078,0,0,0,0,0,-0.10138,-0.007132,-0.011064,0,0,0,0,0,0,0.00066144,-1.14E-07,0,0,0,-0.018893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0038227,0,0,0,0,0,-0.020242,0,0,0,0,0,0,0,0,-0.0025976,0,0,0,0,0,0,0,0,-0.1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0069634,0,-0.0063254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020353,0,0,0,0,0,0,0,-0.013132,0,0,0,0,0,0,0,0,-0.0084836,0,0,0,0,0,0,0,0,-0.0060765,0,0,-0.22659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0078768,-0.016058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0055681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0048929,0,0,-0.10751,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25947,0,0,0,0,0,0,0,0,0,-0.0030865,0,0,0,-0.0075067,0
DNAJC15,0,0,0,0.0078297,0,0,0,0,0,0,0,0,0,0,0,0.021925,0,-0.00482,0,0,0,0,0,0,0,0,0,-0.054474,-0.0051805,0,-0.0023327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0050456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018217,0,0,0.002259,0,0,0,-0.016604,0,0.0006422,0,0,0,0,0,0,-0.0030131,-0.00019533,0,0,0.0016993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00015373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036477,0,0,0,0,0,0,0.020916,0,0,0,0,0,0,0,0,0,0,0,0,0.038969,0,0,0.0076802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.032583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017765,0,0,0,0,0,0,-0.0028438,0,0.013727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022132,-0.061982,0,0,0,0,-0.065465,0,-0.00056643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12683,0,0.0039927,0,0,0,0,0,0,0,0,0.00090932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064044,0,0,0,0,0,0,0,0,0,0.0074567,-0.055168,0,-0.00023893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012587,0,0,0.012877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00072981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0020861,0,0,0,0,0,0,0,0.012097,0,-0.0013382,0,0,0,0,0,-0.0039531,0
PADI4,0,0,0,0,0,0,0.051642,0,0,0,0,-0.0011042,-0.0089046,0,0,0,0,-0.0042095,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0037995,0,0,0,0,0,0,-0.0049856,0,0,0,0,0,0,0,0,0,0,0,-0.0067517,0,-0.021606,-0.0059595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0020037,0,0,0,0,0.016162,-0.0030712,0.034619,0,0,-0.0029227,0,0,0,-0.007726,0,0,0,0,0,0,0,-0.00070428,-0.043145,0,0,0,0,-0.0064312,0,-0.00031329,0,0,-0.010358,0,-0.010006,0,0,0,0,0,-0.0028471,0,0,0,0,0,0,0,0,0,-0.00073159,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0036741,-0.00044157,-0.0042893,0,0,0,0,0,0.015196,0,0,0,0,0,0,0,-0.0028398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0017989,0,0,0,-0.00041,-0.0016891,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0037105,0,0,0,0,0,0,0,0,-0.011917,0,0.049201,0,0,0,0,0,0,0,0.0043555,0,0,0,0,-0.0035981,0,0,0,-0.0036721,-0.0049994,-0.0056972,0,0,0,0,0,0,0,-0.011044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0046576,0,0,0,0,0,0,-0.00011817,0,0,0,0,0,0,0,-0.00028856,0,0,0,0,0,0,0,0,0,0,0,-0.00076129,0,0,0,0,0,0,-0.0037235,0.00069584,-6.96E-05,0,0,0,-0.0013772,0,0,0,0,-0.0032051,0,0,0,-0.0071782,-0.0043479,0,0,0,0,0,0,0,0,0.016722,0,0,0,0,0,0,0,-0.0072471,-0.00056015,0,-0.0042105,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0085399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0038088,0.0020636,0,0,0,0,0,0,0,-0.0011212,0,-0.00022841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD9,0,0,0,0,0,0,0,0,0,0,0,0,7.48E-05,0,0,0,0,0.002317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026412,0,0,0,0,0,0.00039661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011638,0
