"ABI1","ABL1","ABL2","ACSL3","AKAP9","AKT1","AKT2","ALDH2","ALK","APC","ARHGEF12","ARID1A","ARNT","ASPSCR1","ASXL1","ATF1","ATIC","ATM","ATP1A1","ATP2B3","ATRX","AXIN1","BAP1","BCL10","BCL11A","BCL11B","BCL2","BCL3","BCL6","BCL7A","BCL9","BCOR","BCR","BIRC3","BLM","BMPR1A","BRAF","BRCA1","BRCA2","BRD3","BRD4","BRIP1","BTG1","BUB1B","C2orf44","CACNA1D","CALR","CAMTA1","CANT1","CARS","CASP8","CBFA2T3","CBFB","CBLB","CBLC","CCDC6","CCNB1IP1","CCND1","CCND2","CCND3","CCNE1","CD74","CD79A","CD79B","CDC73","CDH1","CDH11","CDK4","CDK6","CDKN2A","CDKN2C","CEBPA","CHCHD7","CHEK2","CHIC2","CHN1","CIC","CIITA","CLTC","CLTCL1","CNOT3","COL1A1","COX6C","CREB1","CREB3L1","CREB3L2","CREBBP","CRTC3","CSF3R","CTNNB1","CYLD","DAXX","DDB2","DDIT3","DDX10","DDX5","DDX6","DICER1","DNM2","DNMT3A","EGFR","EIF4A2","ELF4","ELK4","ELN","EML4","EP300","EPS15","ERBB2","ERCC2","ERCC3","ERCC4","ERCC5","ERG","ETV1","ETV4","ETV5","ETV6","EWSR1","EXT1","EXT2","EZH2","FAM46C","FANCA","FANCC","FANCE","FANCF","FANCG","FBXO11","FBXW7","FCGR2B","FGFR1","FGFR1OP","FGFR2","FGFR3","FH","FHIT","FIP1L1","FLI1","FLT3","FNBP1","FSTL3","FUBP1","FUS","GAS7","GATA1","GATA2","GATA3","GMPS","GNA11","GNAS","GOLGA5","GPC3","GPHN","H3F3A","H3F3B","HERPUD1","HEY1","HIP1","HIST1H4I","HLF","HMGA1","HMGA2","HNRNPA2B1","HOXA11","HOXA9","HOXC11","HOXC13","HOXD11","HOXD13","HRAS","IDH1","IDH2","IKZF1","IL21R","IL6ST","IL7R","IRF4","ITK","JAK1","JAK2","JAK3","JUN","KCNJ5","KDR","KIF5B","KIT","KLF4","KRAS","KTN1","LASP1","LCK","LCP1","LHFP","LIFR","LMO1","LMO2","LPP","LYL1","MAF","MAFB","MALT1","MAP2K1","MAP2K2","MAP2K4","MAX","MDM2","MDM4","MED12","MEN1","MET","MITF","MKL1","MLF1","MLH1","MLLT1","MLLT10","MLLT3","MLLT4","MN1","MSH2","MSH6","MSN","MTCP1","MUC1","MUTYH","MYB","MYC","MYCL1","MYCN","MYD88","MYH11","MYH9","MYST4","NACA","NCOA1","NCOA2","NCOA4","NDRG1","NF1","NF2","NFE2L2","NFIB","NFKB2","NONO","NOTCH1","NOTCH2","NPM1","NR4A3","NRAS","NSD1","NT5C2","NTRK1","NTRK3","NUMA1","NUP214","NUP98","OMD","PAFAH1B2","PALB2","PAX5","PAX8","PBRM1","PBX1","PCM1","PCSK7","PDE4DIP","PDGFB","PDGFRA","PDGFRB","PER1","PICALM","PIK3CA","PIK3R1","PIM1","PLAG1","PMS1","PMS2","POT1","POU2AF1","PPARG","PPP2R1A","PRCC","PRDM1","PRDM16","PRF1","PRKAR1A","PTEN","PTPN11","PTPRC","RAC1","RAD21","RAD51L1","RAF1","RALGDS","RANBP17","RAP1GDS1","RARA","RB1","RBM15","RECQL4","RET","RNF43","RPL10","RPL22","RPL5","RPN1","RUNX1","SDC4","SDHB","SDHC","SDHD","X6.Sep","SET","SETBP1","SETD2","SF3B1","SFPQ","SFRS3","SH2B3","SH3GL1","SLC34A2","SMARCA4","SMARCB1","SMARCE1","SMO","SOCS1","SOX2","SRGAP3","SS18","SS18L1","SSX2","STAG2","STAT3","STAT5B","STK11","SUZ12","SYK","TAF15","TAL1","TBL1XR1","TCEA1","TCF12","TCF3","TCF7L2","TCL6","TERT","TFE3","TFEB","TFG","TFPT","TFRC","THRAP3","TMPRSS2","TNFAIP3","TNFRSF14","TNFRSF17","TOP1","TP53","TPM3","TPM4","TPR","TRIM27","TRIM33","TRIP11","TRRAP","TSC1","TSC2","TSHR","U2AF1","UBR5","USP6","WAS","WHSC1","WHSC1L1","WRN","WT1","WWTR1","XPA","XPC","XPO1","YWHAE","ZNF331","ZNF384","ZRSR2"
"CHI3L2","0","0","0","0","-0.00735269224330797","0","0.00132957146841501","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00950134012471943","0","0","0","0","0.00774352723145842","0","0","0","0","0","0","-0.000813047431857249","0","-0.00578623992869594","0.000664312053738432","0","0","0.000183104179759544","0.00372649118418077","0","0","0","0","0","0","0","0","0","0","0","-0.00950128353746942","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00524359523026041","0","-0.00463621531119651","0","0.0024983778707806","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00456569061438491","0","0","0","0.000190039437746858","0","0","0.00149421955519019","0","0","0","0","0","0","0","0","0","0","0.00190783002191396","0","0","0","0","0","-0.00157743754811197","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00362705471749931","0","0","-0.00118735499383169","0","0","0","0","0","0","0","0","0","-0.0107612957576384","0","0.0092948938077692","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00381567451467212","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0032266614389777","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00212586882512853","0","0","0","0","0","0","9.29966333997664e-06","0","0","0","0","0","0","0","0","0","0","0","-0.00308252256116458","0","0","0.00221834762683598","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00656861130995559","0","0","-0.00752526474595127","0","0","0","0.00332618908211555","-0.00446733335274941","0","0","0","0","-0.00169326698742343","0","0","0","0","0","0","0","-8.35169663775001e-05","-0.000867333690178754","0","-0.00185595334972764","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00100179957933397","0","0","0","-0.00297325611796356","0","0","0","0","0","0","-0.00250710642915779","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00544226740401679","0","0","0","0","0","0.000560349407865214","0","0","0","0","-0.00139312562695893","0","0","0","0.00922931884055294","0","0","0","0","0","0","-0.00226590878772518","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00425564662308641","-0.0025152358259854"
"PI3","0","0","0","0","0.00795093059631497","0","0.00175635775560262","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00646924050446792","0","0","0","0","-0.00921485908965297","0","0","0","0","0","0","0.000315833406632971","0","0.00879764570539371","0.00109853993585652","0","0","0.000870660013269852","0.00152442698179167","0","0","0","0","0","0","0","0","0","0","0","0.000870919903315999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00182376185662323","0","0.0100011990272912","0","-0.0044093410073629","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.0012545091515614","0","0","0","0","0","0","-0.00288631284802715","0","0","0","0","0","0","0","0","0","0","-0.0015616383682331","0","0","0","0","0","-0.00323719274503592","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00109891130153054","0","0","-0.00204199507935474","0","0","0","0","0","0","0","0","0","0.00332520149175361","0","0.00435762961909192","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00436646244675511","0","0","0.00176190046158278","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-8.44451265143806e-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0088206133215942","0","0","0","0","0","0","-0.000308868154630143","0","0","0","0","0","0","0","0","0","0","0","-0.0042503912461601","0","0","0.00556582172549934","0","0","0","0","0","0","0","0","0","0","0","0","0.00803773422434006","0.00363657375314717","0","0","0.0102975232433427","0","0","0","0.00911084846929594","0.00581683718599848","0","0","0","0","-0.000360617213135277","0","0","0","0","0","0","0","0.00125278684313235","-0.000891402656267124","0","0.00360423455707953","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0101265929120888","0","0","0","0.00537488542040228","0","0","0","0","0","0","0.0010866127858372","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00283044408952812","0","0","0","0","0","0.0090163578668765","0","0","0","0","0.00248862790824361","0","0","0","-0.00818265821807218","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00504825103461861","-0.000504929528055623"
"DNAJC15","0","0","0","0","0.00818539492378152","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00462220379298198","0","0","0","0","-0.00212276541085516","0","0","0","0","0","0","-0.00131090726804182","0","0.00819157715829073","0","0","0","0","-0.00148323451204817","0","0","0","0","0","0","0","0","0","0","0","0.00381523793626184","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.0133173991022865","0","-0.000782582896119903","0","-0.00160923102245858","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00410010783036577","0","0","-0.000822725068879465","0","0","0","0","0","0","0","0","0","0","-0.00217880206634706","0","0","0","0","0","-0.00561620294501453","0","0","0","0","-0.0028167152486729","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00486214641548384","0","0","-0.0032761009250495","0","0","0","0","0","0","0","0","0","0.000678699859608943","0","0.00448358857249072","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000399007875416486","0","0","-0.00202615821515583","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.0054361178344032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0078188033778448","0","0","0","0","0","0","-0.00019172256394249","0","0","0","0","0","0","0","0","0","0","0","0.00307845968573199","0","0","0.00120126377514898","0","0","0","0","0","0","0","0","0","0","0","0","0.00965487338049749","0.00136515137738912","0","0","-0.00104825170569769","0","0","0","0.0052175933611507","-0.000532162503648233","0","0","0","0","-0.00558486505777071","0","0","0","0","0","0","0","-0.00452541542414253","0","0","0.00170320270117263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00600992834357821","0","0","0","-0.000512782324585831","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00141837635527103","0","0","0","0","0","0.000498459930571492","0","0","0","0","0.00218284059529029","0","0","0","-0.00498846681856695","0","0","0","0","0","0","0.00157355700835978","0","0.0011805326701643","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00200645525187705","-0.00191169576083102"
"X9.Sep","0","0","0","0","0.00567826903990169","0","0.00158181331297007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00104702460612703","0","0","0","0","0","0","0","0","0","0","0","0.00138957463098852","0","0.00773316210321415","0.000821144003005121","0","0","0","0.000366975369128117","0","0","0","0","0","0","0","0","0","0","0","0.00072403880303242","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00213504320678667","0","-0.000983759231878347","0","-0.000232466051057657","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000430550063994582","0","0","0","0.00370091015086946","0","0","0.00131575412864444","0","0","0","0","0","0","0","0","0","0","0.00204159050491891","0","0","0","0","0","0.00189427312014662","0","0","0","0","0.000572230607632097","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00298365823687925","0","0","0","0","0","0","0","0","0","0","0","0","0.00248507553479678","0","-0.00582806335109666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00138871742777623","0","0","0.00352829590094887","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000139677307061501","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0126752390485777","0","0","0","0","0","0","0.000422235190902677","0","0","0","0","0","0","0","0","0","0","0","0.0055688309995166","0","0","0.00754114246814105","0","0","0","0","0","0","0","0","0","0","0","0","0.00618656682439995","0.00738678279965265","0","0","0.00339106313629363","0","0","0","0","-0.000686712297183614","0","0","0","0","-0.000198297703989332","0","0","0","0","0","0","0","0.000747954873161013","0.00135872179105672","0","0.000539930465931648","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00299702546298109","0","0","0","0","0","0","0.00310617094944925","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00282929186369609","0","0","0","0","0","0","0","0","0","0","0.00450973951091454","0","0","0","0.00323185747800975","0","0","0","0","0","0","0.00202518875581144","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00255442744875707"
"ABCC2","0","0","0","0","-0.0160299007102977","0","-0.0148191192296835","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00822058229053323","0","0","0","0","0.0078260975397714","0","0","0","0","0","0","0.00233343687496017","0","-0.00377510670084599","0.00478393997728552","0","0","0","0.00703839431959645","0","0","0","0","0","0","0","0","0","0","0","0.00261786500160506","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.0152582113208678","0","0.00294935879747836","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00578682119772458","0","0","0","-0.00194520237467071","0","0","0.00157716374213359","0","0","0","0","0","0","0","0","0","0","0.00734356631740673","0","0","0","0","0","0.00169544801755912","0","0","0","0","0.00321297768589734","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.0121053831743561","0","0","-7.01150775978901e-05","0","0","0","0","0","0","0","0","0","-0.0162790761664373","0","0.0047828848518896","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00176106206067305","0","0","0.00227934778284587","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00386200137437335","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.0103925021425123","0","0","0","0","0","0","0.00039907684415927","0","0","0","0","0","0","0","0","0","0","0","-0.00284630477915709","0","0","-0.00246104175933041","0","0","0","0","0","0","0","0","0","0","0","0","-0.0248733495276813","-0.00692387969964208","0","0","-0.0147709166961228","0","0","0","0.00223153284004706","-0.0154882307218071","0","0","0","0","0","0","0","0","0","0","0","0","-0.015090848441339","0.00470332983834941","0","-0.0203546940482985","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00735313516712142","0","0","0","-0.0044339618414174","0","0","0","0","0","0","-8.82440226680752e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00327001060596104","0","0","0","0","0","-0.0135640470550407","0","0","0","0","0.0148662845774773","0","0","0","0.00154577492341532","0","0","0","0","0","0","-0.00133731275429088","0","-5.30839532414613e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00115836794501267"
"CYP2E1","0","0","0","0","0.00152984236913091","0","0.00179928155481101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00522446920528624","0","0","0","0","0","0","0.00135566915114718","0","0.00269805291571592","0.00124088827254934","0","0","0.000781285100034806","0.000271141146903276","0","0","0","0","0","0","0","0","0","0","0","0.00998332127228803","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000372518782877665","0","0.00242219845217107","0","0.00334547600977295","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000645746954469538","0","0","0","0.00348525028031928","0","0","-0.00015203113118668","0","0","0","0","0","0","0","0","0","0","0.00378896288675741","0","0","0","0","0","0.00921400690887659","0","0","0","0","0.00270788373526287","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00872195894682004","0","0","0.0115969057120216","0","0","0","0","0","0","0","0","0","0","0","-0.00467926297034032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00492018878274562","0","0","0.00544198765113698","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0040091678565957","0","0","0","0","0","0","8.35746808244861e-05","0","0","0","0","0","0","0","0","0","0","0","0.00482642742231649","0","0","0.0026139075198806","0","0","0","0","0","0","0","0","0","0","0","0","0.00185631168476081","0.00430577974890455","0","0","0.00181628580163114","0","0","0","0.00684500126873552","0.00317266822145525","0","0","0","0","0.00714074239448447","0","0","0","0","0","0","0","0.0011097425461779","0.00388156074837606","0","0.000556138989523148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00528504881852282","0","0","0","0.00544462616621257","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00288904869424224","0","0","0","0","0","-0.00174122993016097","0","0","0","0","0.00538646838010418","0","0","0","0.00917048755373273","0","0","0","0","0","0","0.00162909307082821","0","0.000192127340753504","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00194962885725076","0.00272042452614834"
"CASP8","0","0","0","0","0.000652770978065792","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000857122039505089","0","0","0","0","-0.00350451933685711","0","0","0","0","0","0","0.00362529022798038","0","0.00680555317313328","0.00228249910004774","0","0","0","0.00328981016766878","0","0","0","0","0","0","0","0","0","0","0","0.00344829799937346","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00702655988830639","0","0.00146714941822216","0","0.00156959695422005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00396168192427991","0","0","0","0.00657647814413346","0","0","-0.00173070772669938","0","0","0","0","0","0","0","0","0","0","-0.0014934182524106","0","0","0","0","0","0.0116107375175744","0","0","0","0","-0.000487825808364576","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00285552955828021","0","0","-0.000593799324359782","0","0","0","0","0","0","0","0","0","0.00611375319771485","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00222975516600266","0","0","0.00560742713329565","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00619260129742246","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0124523141909049","0","0","0","0","0","0","-1.71815433253453e-05","0","0","0","0","0","0","0","0","0","0","0","0.00302420819278784","0","0","0.00736852829639671","0","0","0","0","0","0","0","0","0","0","0","0","0.0099586429239096","0.0119648338299513","0","0","0.00479085541001213","0","0","0","0.00229174044857103","0.00328540969606842","0","0","0","0","8.75831040999552e-05","0","0","0","0","0","0","0","-0.00137087120498375","0.000723796637021944","0","0.00768301248733112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00291698604947084","0","0","0","0.00828997220913963","0","0","0","0","0","0","0.00171200292593763","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.000301189256653797","0","0","0","0","0","-0.000452853944154635","0","0","0","0","0.00738135647309773","0","0","0","0.00523823455721245","0","0","0","0","0","0","0.00104803610569474","0","-0.00136254653290627","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00160300128160864","-0.00104358631533214"
"TJP2","0","0","0","0","-0.000799057138699343","0","-0.00530006482691581","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00425118999794495","0","0","0","0","0.000311172455034133","0","0","0","0","0","0","-0.000309425349491951","0","-0.00316103416149966","0.000484262156016983","0","0","-0.00116498701375109","0.000891438889039539","0","0","0","0","0","0","0","0","0","0","0","0.00240853105412031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00385287026616358","0","-0.0018520116732243","0","0.00405570807664334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.11436097024982e-05","0","0","0","0.00318211338356397","0","0","-0.00134117321935352","0","0","0","0","0","0","0","0","0","0","0.00251621178014201","0","0","0","0","0","0.00214558982034977","0","0","0","0","0.00020435820709797","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.0121223702195509","0","0","0.00455511950145126","0","0","0","0","0","0","0","0","0","-0.000194542792149261","0","0.00743268549078328","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00802403966040921","0","0","0.00791043770731646","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00157107581084285","0","0","0","0","0","0","0.000299902517687424","0","0","0","0","0","0","0","0","0","0","0","0.0023615724192509","0","0","0.00222246643056165","0","0","0","0","0","0","0","0","0","0","0","0","-0.00431842643007171","0.00426109061217827","0","0","-0.00250704556796391","0","0","0","0.0100682949170235","-0.000136386120546931","0","0","0","0","0.0113630271658247","0","0","0","0","0","0","0","-0.00400412701145658","0.00224726662744386","0","-0.000900783751971381","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-4.63133669741671e-06","0","0","0","-0.000833434212053212","0","0","0","0","0","0","-0.0031015037991645","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00216411330407399","0","0","0","0","0","-0.00620474906393","0","0","0","0","0.00780123912256093","0","0","0","0","0","0","0","0","0","0","-0.00277655142276388","0","-0.00127210693909984","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00182517880117066","0.00150473920962087"
"SFTPD","0","0","0","0","-0.0179933350875721","0","-0.013547530115579","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.0207726309295849","0","0","0","0","-0.00472265063681266","0","0","0","0","0","0","-0.000226034993822866","0","-0.0228307899635784","-0.00156756759706091","0","0","-0.0096207167807056","-0.00577335069974983","0","0","0","0","0","0","0","0","0","0","0","-0.0112816873196813","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00323615512899188","0","-0.000308374790164281","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00372650955773604","0","0","0","-0.0119506878930475","0","0","-0.00323158249695138","0","0","0","0","0","0","0","0","0","0","-0.00465402569476503","0","0","0","0","0","-0.00479742774448365","0","0","0","0","-0.00276266484554668","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00776500943121109","0","0","0","0","0","0","0","0","0","0","0","0","-0.0175843632957921","0","-0.0128351551058731","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00167529818853341","0","0","-0.00707056978571236","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00339415400097278","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.0210783901048702","0","0","0","0","0","0","-0.000535585758499262","0","0","0","0","0","0","0","0","0","0","0","-0.0141080941025011","0","0","-0.0115476962236448","0","0","0","0","0","0","0","0","0","0","0","0","-0.0168300641802168","-0.013316099618921","0","0","-0.000107688578655375","0","0","0","0.00255584555934748","-0.00666935093478841","0","0","0","0","-0.000973371354688001","0","0","0","0","0","0","0","-0.0141344187810788","-0.00444896344486757","0","-0.0124652352559132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00895909870221281","0","0","0","-0.0152887781271208","0","0","0","0","0","0","-0.00797117578970633","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.0106231209254014","0","0","0","0","-0.00116915772998745","0","0","0","-0.000357997397157347","0","0","0","0","0","0","-0.00681271039289878","0","-0.00455760678703698","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00717957490712717","-0.00137622752959682"
"COL18A1","0","0","0","0","0.000604783258547902","0","0.00322342255626467","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00552070962039655","0","0","0","0","-0.00291332361487816","0","0","0","0","0","0","-0.00174860470807189","0","-0.00313081896463476","-9.34572102296639e-06","0","0","-0.00091708646474464","-0.00105133593216698","0","0","0","0","0","0","0","0","0","0","0","-0.00839434584240732","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00446094422274808","0","-0.00341639234727931","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00335087826995033","0","0","0","-0.00206207674104261","0","0","-0.00192315882941408","0","0","0","0","0","0","0","0","0","0","-0.00363485781086171","0","0","0","0","0","0.00661251041388279","0","0","0","0","-0.00326756007739542","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0080551005068906","0","0","-0.00282051581262837","0","0","0","0","0","0","0","0","0","0.0029112131904732","0","-0.00803830254822978","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00179899325013875","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00541144044425709","0","0","0","0","0","0","-7.85364691095775e-05","0","0","0","0","0","0","0","0","0","0","0","-0.0042155011174946","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.12622369156759e-05","0.00329244036542573","0","0","0.010688109349627","0","0","0","0.00675069152017498","-0.00124305974840401","0","0","0","0","-0.00617355030589204","0","0","0","0","0","0","0","0","-0.00720734215054079","0","0.00229230954016083","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00459005228144514","0","0","0","0","0","0","0","0","0","0","0.000878096294036826","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00209883141738734","0","0","0","0","0","0","0","0","0","0","-0.00916559181704978","0","0","0","-0.00645321298230912","0","0","0","0","0","0","-0.000584843302694128","0","0.000568494724292698","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.00289259303771029","-0.00328672917553595"
